"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"HP50",0,0,0,0,1,0,0,"n"
"HP60",0,0,0,0,0,1,0,"n"
"HP61",0,0,0,0,1,1,0,"n"
"HU35",0,0,0,0,0,1,0,"n"
"HU38",0,0,0,0,0,1,0,"n"
"NB02",0,0,0,0,0,1,0,"n"
"NB13",0,0,0,0,0,1,0,"n"
"NB55",0,0,0,0,0,1,0,"n"
"NC20",0,0,0,0,1,0,0,"n"
"NC21",0,0,0,0,1,0,0,"n"
"NC22",0,0,0,0,1,0,0,"n"
"NC34",0,0,0,0,1,0,0,"n"
"NF09",1,0,0,0,0,0,0,"n"
"NF60",0,1,0,0,0,0,0,"n"
"NF70",0,1,0,0,0,0,0,"n"
"NF99",0,0,0,0,0,1,0,"n"
"NG07",0,0,0,0,0,1,0,"n"
"NH12",0,0,1,0,0,0,0,"n"
"NH13",0,0,0,1,0,0,0,"n"
"NH14",0,0,0,0,1,0,0,"n"
"NH24",0,0,0,1,1,0,0,"n"
"NM80",0,0,0,0,1,0,0,"n"
"NN15",0,0,0,0,1,0,0,"n"
"NN48",0,0,0,0,0,1,0,"n"
"NN53",0,0,0,1,0,0,0,"n"
"NN58",0,0,0,1,0,0,0,"n"
"NN73",0,0,0,0,1,0,0,"n"
"NN76",0,0,0,0,0,0,1,"n"
"NN80",0,0,0,0,1,0,0,"n"
"NO17",0,0,0,0,1,0,0,"n"
"NR93",0,0,0,0,1,0,0,"n"
"NS02",0,0,0,0,1,0,0,"n"
"NT02",0,0,0,0,1,0,0,"n"
"NT16",1,0,1,0,0,0,0,"n"
"NY21",0,0,0,0,1,0,0,"n"
"NY30",0,0,0,0,1,0,0,"n"
"NY31",0,0,0,0,1,1,1,"n"
"NY41",0,0,0,0,1,0,0,"n"
"NY63",0,0,0,0,1,1,1,"n"
"NY72",0,0,0,0,1,0,1,"n"
"NY73",0,0,0,0,0,1,1,"n"
"NY82",0,0,0,0,0,0,1,"n"
"SD79",0,0,0,0,1,0,0,"n"
"SD89",0,0,0,0,0,0,1,"n"
"SH65",0,0,1,0,0,1,0,"n"
