"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"D21",1,1,0,0,0,0,1,"n"
"NS84",0,0,0,0,1,0,1,"n"
"NT77",1,0,0,0,0,0,0,"n"
"NY75",0,0,1,1,1,1,1,"n"
"NY80",0,0,0,0,1,0,0,"n"
"NY81",0,0,1,1,1,0,0,"n"
"NY85",0,0,0,0,0,0,1,"n"
"NY87",1,0,0,0,0,0,0,"n"
"NY93",1,0,0,1,0,0,0,"n"
"NZ01",1,1,1,1,1,0,1,"n"
"NZ02",0,0,0,1,0,0,0,"n"
"NZ04",1,0,0,0,0,0,0,"n"
"NZ06",0,0,0,1,0,1,0,"n"
"NZ10",0,1,1,0,1,0,0,"n"
"NZ11",0,0,0,0,1,0,1,"n"
"NZ12",1,0,0,0,0,0,0,"n"
"NZ15",0,0,0,0,1,1,1,"n"
"NZ16",1,0,0,1,1,1,1,"n"
"NZ18",0,0,0,0,1,0,0,"n"
"NZ22",1,1,0,0,1,0,0,"n"
"NZ23",0,0,0,1,0,1,1,"n"
"NZ24",0,0,1,0,0,0,0,"n"
"NZ25",0,1,0,0,0,0,0,"n"
"NZ28",1,0,1,1,0,0,0,"n"
"NZ31",0,0,0,0,1,0,0,"n"
"NZ51",0,0,0,1,1,0,0,"n"
"NZ61",0,0,0,0,1,0,0,"n"
"NZ62",0,0,0,0,1,0,0,"n"
"NZ71",0,0,0,1,1,1,0,"n"
"NZ80",0,0,0,1,1,0,0,"n"
"NZ90",1,0,0,0,0,0,0,"n"
"SD47",0,0,0,1,1,1,0,"n"
"SD48",1,0,0,0,1,1,1,"n"
"SD58",0,0,0,0,0,0,1,"n"
"SD64",0,0,1,1,1,0,0,"n"
"SD74",0,0,0,0,0,1,0,"n"
"SD78",1,0,0,0,0,0,0,"n"
"SD86",1,0,0,0,0,0,0,"n"
"SD97",0,0,0,0,1,0,0,"n"
"SD99",1,0,1,0,0,0,0,"n"
"SE02",0,0,1,0,0,0,0,"n"
"SE04",0,0,0,0,0,1,0,"n"
"SE08",1,0,0,1,1,0,0,"n"
"SE09",0,0,0,0,1,0,0,"n"
"SE12",0,0,1,1,1,1,1,"n"
"SE19",1,1,0,0,0,0,0,"n"
"SE20",0,0,0,1,1,0,0,"n"
"SE26",1,0,0,0,0,0,0,"n"
"SE27",1,0,0,0,0,0,0,"n"
"SE29",1,1,0,0,0,0,0,"n"
"SE30",0,0,0,0,0,0,1,
"SE34",0,0,1,1,1,0,1,"n"
"SE35",0,0,0,0,0,0,1,"n"
"SE39",0,0,0,0,1,0,0,"n"
"SE44",1,0,1,1,1,0,0,"n"
"SE47",0,0,0,0,1,0,0,"n"
"SE50",0,1,1,1,0,1,0,"n"
"SE57",0,0,0,0,0,0,1,"n"
"SE58",1,0,1,1,1,0,1,"n"
"SE59",1,0,0,0,0,0,0,"n"
"SE60",0,0,0,1,0,0,0,"n"
"SE67",0,0,0,1,1,1,0,"n"
"SE68",1,0,1,1,1,1,1,"n"
"SE77",1,0,0,0,0,0,0,"n"
"SE78",0,0,0,1,1,1,0,"n"
"SE81",0,0,1,1,1,1,0,"n"
"SE88",1,0,0,0,1,1,1,"n"
"SE98",1,0,1,0,0,0,0,"n"
"SE99",0,0,0,1,1,0,0,"n"
"SJ06",0,0,0,0,0,0,1,"n"
"SJ15",0,0,0,0,0,0,1,"n"
"SJ22",0,0,0,1,0,0,0,"n"
"SJ38",1,0,0,0,0,0,0,"n"
"SJ58",0,0,1,0,1,0,0,"n"
"SJ60",1,0,1,1,1,1,1,"n"
"SJ88",1,0,1,0,1,1,1,"n"
"SJ98",0,0,0,0,1,0,0,"n"
"SJ99",1,0,1,0,0,1,0,"n"
"SK05",0,0,0,1,0,1,0,"n"
"SK07",1,0,0,0,0,0,0,"n"
"SK15",0,0,1,1,1,0,1,"n"
"SK16",1,0,0,1,1,1,1,"n"
"SK17",0,1,1,1,1,0,0,"n"
"SK25",0,1,1,1,1,0,0,"n"
"SK26",1,1,1,0,0,0,0,"n"
"SK28",0,0,1,1,0,1,1,"n"
"SK29",0,0,0,1,0,1,0,"n"
"SK35",0,1,0,0,0,0,0,"n"
"SK36",0,0,0,1,0,0,0,"n"
"SK37",0,0,1,1,1,1,1,"n"
"SK38",0,1,1,1,1,1,1,"n"
"SK43",1,1,1,0,1,0,0,"n"
"SK44",0,0,0,0,1,0,0,"n"
"SK45",1,0,0,0,0,0,0,"n"
"SK46",1,1,1,1,1,0,1,"n"
"SK47",0,1,1,1,1,1,0,"n"
"SK48",0,1,1,0,0,0,1,"n"
"SK56",1,1,1,0,1,0,1,"n"
"SK57",0,1,1,1,1,1,1,"n"
"SK58",1,1,1,1,1,1,1,"n"
"SK59",0,0,0,1,1,1,0,"n"
"SK65",0,0,0,0,1,0,1,"n"
"SK77",0,0,0,1,0,0,1,"n"
"SK78",0,0,0,1,0,0,1,"n"
"SK86",0,0,0,1,0,1,0,"n"
"SK87",0,0,0,0,1,0,0,"n"
"SK92",0,0,1,1,0,0,0,"n"
"SK97",1,0,1,1,1,1,1,"n"
"SO19",0,0,1,0,1,1,1,"n"
"SO40",0,0,0,1,1,0,0,"n"
"SO46",0,0,0,0,1,0,0,"n"
"SO48",0,0,0,0,1,1,0,"n"
"SO49",0,0,0,0,1,0,0,"n"
"SO50",1,0,0,1,0,0,0,"n"
"SO51",1,1,1,1,1,1,1,"n"
"SO52",1,0,0,0,0,0,0,"n"
"SO53",1,0,0,0,0,0,0,"n"
"SO59",0,0,0,1,0,1,0,"n"
"SO60",0,0,1,0,0,0,0,"n"
"SO73",1,0,0,0,1,0,0,"n"
"SO74",1,1,1,1,1,1,1,"n"
"SO79",0,0,0,1,0,0,0,"n"
"SO80",1,1,1,1,1,1,1,"n"
"SO81",0,1,0,1,1,1,1,"n"
"SO90",1,0,0,1,1,0,1,"n"
"SO91",0,0,1,1,1,1,1,"n"
"SO92",0,0,0,0,0,0,1,"n"
"SO97",0,0,0,1,1,0,1,"n"
"SO98",0,0,0,1,1,0,1,"n"
"SP00",1,0,0,1,0,0,0,"n"
"SP02",1,0,1,1,1,0,0,"n"
"SP07",0,0,0,1,1,0,0,"n"
"SP13",0,0,0,0,1,0,0,"n"
"SP15",0,0,1,0,0,0,0,"n"
"SP32",0,0,1,1,0,0,0,"n"
"SP42",0,0,1,1,0,0,0,"n"
"SP44",0,0,0,0,1,0,0,"n"
"SP52",1,0,1,1,0,0,0,"n"
"SP61",0,0,1,1,0,0,0,"n"
"SP70",0,0,1,1,1,0,1,"n"
"SP72",0,0,0,0,1,0,0,
"SP78",1,0,0,0,0,0,0,"n"
"SP80",1,1,1,1,1,1,1,"n"
"SP81",0,0,1,0,1,0,0,"n"
"SP88",0,0,0,0,1,0,0,"n"
"SP90",1,1,1,1,1,1,1,"n"
"SP91",1,1,1,1,1,1,0,"n"
"SP98",1,0,0,0,0,0,0,"n"
"SP99",0,0,0,0,1,1,1,"n"
"ST49",0,0,0,1,1,0,0,"n"
"ST59",1,0,1,1,1,1,0,"n"
"ST79",0,0,1,1,1,0,1,"n"
"ST89",0,0,1,1,1,0,1,"n"
"ST99",0,0,0,1,0,0,0,"n"
"SU13",0,0,0,0,0,0,1,"a"
"SU35",1,0,0,0,0,0,0,"n"
"SU42",0,0,1,1,0,0,0,"n"
"SU44",1,0,0,0,0,0,0,"n"
"SU53",1,0,0,0,0,0,0,"n"
"SU57",0,0,1,1,1,0,0,"n"
"SU61",1,0,0,1,0,1,0,"n"
"SU62",0,0,1,0,0,1,0,"n"
"SU63",1,0,0,0,0,0,0,"n"
"SU67",1,0,1,1,1,1,1,"n"
"SU68",0,0,1,1,1,1,1,"n"
"SU69",0,0,1,1,1,0,1,"n"
"SU71",1,0,0,0,0,0,0,"n"
"SU72",1,0,0,0,0,0,0,"n"
"SU73",1,0,0,0,0,0,1,"n"
"SU74",0,1,1,0,0,0,0,"n"
"SU77",0,0,1,1,0,0,0,"n"
"SU78",1,1,1,1,1,1,1,"n"
"SU79",1,1,1,1,1,1,1,"n"
"SU88",1,1,1,1,1,1,1,"n"
"SU89",1,1,1,1,1,1,1,"n"
"SU98",0,0,1,1,0,0,0,"n"
"SU99",0,0,1,1,1,1,1,"n"
"TF00",1,0,1,0,1,0,0,"n"
"TF01",1,0,1,1,1,0,1,"n"
"TF10",1,1,0,1,0,0,0,"n"
"TL00",1,0,0,1,1,1,1,"n"
"TL01",1,1,1,1,1,0,1,"n"
"TL05",1,0,1,1,1,0,0,"n"
"TL06",0,0,0,1,1,1,1,"n"
"TL09",0,0,0,0,1,0,1,"n"
"TL11",0,0,0,0,1,0,0,"n"
"TL12",1,0,0,0,1,0,0,"n"
"TL13",0,0,0,1,1,0,0,"n"
"TL14",0,0,0,1,1,1,1,"n"
"TL16",0,0,0,0,1,0,0,"n"
"TL17",1,0,0,0,0,0,0,"n"
"TL22",1,0,0,0,0,0,0,"n"
"TL27",1,0,0,0,0,0,0,"n"
"TL28",1,0,0,0,0,0,0,"n"
"TL36",0,0,0,1,0,0,0,"n"
"TL43",1,0,1,0,0,0,0,"n"
"TL53",1,0,0,1,1,0,0,"n"
"TL61",0,0,0,0,1,0,0,"n"
"TL63",1,0,1,1,1,0,1,"n"
"TL82",1,0,0,0,0,0,0,"n"
"TL86",0,0,1,0,0,0,0,"n"
"TL95",0,0,0,1,0,0,0,"n"
