"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"J37",1,0,0,0,0,0,0,"n"
"J49",1,0,0,0,0,0,0,"n"
"NO02",1,0,0,0,0,0,0,"n"
"NO03",0,0,0,0,0,0,1,
"NO11",0,0,0,0,0,1,1,
"NO12",1,0,1,1,1,1,1,"n"
"NO13",0,0,0,0,0,0,1,
"NO21",0,1,0,1,1,0,1,"n"
"NO22",0,0,1,1,1,1,1,"n"
"NO30",0,0,0,0,0,0,1,
"NO31",0,0,0,0,1,0,0,"n"
"NO32",1,0,0,0,0,0,1,"n"
"NO51",1,1,0,0,0,0,0,"n"
"NO65",0,0,0,1,0,0,0,"n"
"NO66",0,0,1,0,0,0,0,"n"
"NS32",1,0,0,0,0,0,0,"n"
"NS89",1,0,1,1,0,0,0,"n"
"NT07",0,0,0,0,0,0,1,
"NT18",0,0,1,0,0,0,0,"n"
"NT27",0,0,0,0,1,1,1,"n"
"NT52",0,0,0,0,0,1,1,
"NT53",1,0,0,0,1,1,0,"n"
"NT63",1,0,1,0,1,1,1,"n"
"NT67",1,0,0,0,0,0,1,"n"
"NT74",0,0,0,0,1,0,0,"n"
"NT77",0,0,0,0,0,0,1,
"NT83",1,0,0,1,0,1,1,"n"
"NT84",1,1,1,1,1,1,0,"n"
"NT94",1,0,1,1,1,0,1,"n"
"NT95",1,0,1,0,1,1,1,"n"
"NT96",1,0,0,0,0,0,0,"n"
"NU13",0,0,0,0,0,1,0,
"NU14",0,0,0,0,0,0,1,
"NU20",1,0,0,0,1,1,0,"n"
"NY00",0,0,1,0,0,0,0,"n"
"NY10",0,0,0,1,1,0,0,"n"
"NY18",0,0,0,0,0,0,1,
"NY35",0,0,1,0,0,0,0,"n"
"NY93",0,0,0,0,0,1,0,
"NY96",0,0,0,0,0,1,1,
"NZ01",1,0,0,1,0,0,0,"n"
"NZ10",1,0,1,1,0,0,1,"n"
"NZ13",0,0,0,0,0,0,1,
"NZ16",0,0,0,0,0,1,0,
"NZ21",1,0,0,0,1,1,1,"n"
"NZ24",1,0,0,0,0,0,1,
"NZ25",0,0,0,0,0,1,1,
"NZ26",1,0,0,0,0,1,1,
"NZ27",0,0,0,0,0,0,1,
"NZ30",0,1,0,0,0,0,0,"n"
"NZ31",0,0,0,0,0,0,1,
"NZ32",0,0,0,1,0,0,0,"n"
"NZ33",0,0,0,0,0,1,0,
"NZ34",0,0,0,0,1,1,0,"n"
"NZ36",1,0,0,0,0,1,0,
