"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"H24",0,0,0,0,0,0,1,
"J37",1,0,0,0,0,0,0,"a"
"NB56",0,0,0,0,0,1,0,
"NH64",0,0,0,1,0,0,0,"a"
"NJ36",0,1,0,0,0,0,1,
"NM22",0,0,0,0,0,0,1,
"NO33",0,0,1,0,0,0,0,"a"
"NO42",0,0,0,1,0,0,0,"a"
"NS38",1,0,0,0,0,0,0,"a"
"NS56",1,0,0,1,0,0,0,"a"
"NS66",0,0,0,1,1,0,0,"a"
"NT18",1,1,0,0,0,0,0,"a"
"NT28",0,0,1,0,0,0,0,"a"
"NT29",0,0,1,0,0,0,0,"a"
"NT73",1,0,1,0,0,0,0,"a"
"NT74",0,0,0,0,1,0,0,"a"
"NT94",0,0,0,0,0,1,0,
"NX40",0,0,0,0,1,0,0,"a"
"NX76",0,0,0,0,1,0,0,"a"
"NY61",0,0,0,1,0,0,0,"a"
"NY71",0,0,0,0,0,1,0,
"NZ29",0,0,0,0,0,0,1,
"NZ41",0,0,0,0,0,1,0,
"NZ42",0,0,1,0,0,0,0,"a"
"NZ44",0,0,0,0,0,0,1,
"NZ81",0,1,0,0,0,0,0,"a"
"R37",0,0,0,0,0,0,1,
"R55",1,0,0,0,0,0,0,"a"
"SC39",0,0,0,0,1,0,0,"a"
"SC49",1,0,0,0,0,0,0,"a"
"SD30",0,0,0,0,0,1,0,
"SD41",0,0,0,0,1,1,1,"a"
"SD42",0,0,0,0,0,0,1,
"SD46",0,0,0,0,0,1,0,
"SD51",0,0,0,0,0,1,0,
"SD52",1,1,0,0,0,1,0,"a"
"SD53",1,0,1,0,0,0,0,"a"
"SD60",0,0,1,0,0,0,0,
"SD62",0,0,0,1,1,0,0,"a"
"SD71",0,0,1,0,0,0,0,"a"
"SD81",0,0,0,1,0,0,0,
"SD95",0,0,0,0,0,0,1,
"SE02",0,0,0,0,0,0,1,
"SE11",0,0,0,1,0,0,0,"a"
"SE12",0,0,0,1,1,0,0,"a"
"SE13",0,0,0,1,1,0,1,"a"
"SE14",1,0,0,0,0,0,0,"a"
"SE33",0,0,0,1,0,0,0,
"SE43",0,0,0,0,0,0,1,
"SE48",1,0,0,0,0,0,0,"a"
"SE64",1,0,0,0,0,0,0,"a"
"SE72",0,0,0,1,0,0,0,"a"
"SE78",0,0,0,0,1,0,0,
"SH46",0,0,1,1,0,0,0,"a"
"SJ08",1,0,0,0,0,0,0,"a"
"SJ16",1,0,0,0,0,0,0,"a"
"SJ18",1,0,0,0,0,0,0,"a"
"SJ27",0,0,0,0,1,0,0,"a"
"SJ29",0,0,0,0,0,1,0,
"SJ36",1,0,0,0,0,0,0,"a"
"SJ37",0,0,0,0,1,0,0,"a"
"SJ38",0,0,0,0,0,1,0,
"SJ39",0,0,0,0,1,0,0,"a"
"SJ48",0,0,0,0,0,0,1,
"SJ49",0,0,0,0,0,1,0,
"SJ58",0,0,0,0,1,0,0,"a"
"SJ59",0,0,0,1,0,0,0,
"SJ67",0,0,0,0,0,1,0,
"SJ69",0,0,0,0,0,1,0,
"SJ70",0,0,0,0,0,1,0,
"SJ78",0,0,0,1,0,0,0,
"SJ84",0,0,0,1,0,0,0,"a"
"SJ86",0,0,0,0,0,1,0,
"SJ89",1,0,0,0,1,0,1,"a"
"SJ94",0,0,0,0,1,0,0,"a"
"SJ98",0,0,1,0,0,0,0,"a"
"SK04",1,0,0,0,0,0,0,"a"
"SK10",0,1,0,0,0,0,0,
"SK17",0,0,1,0,0,0,0,"a"
"SK22",0,0,0,1,0,0,0,"a"
"SK26",0,0,1,0,0,0,0,"a"
"SK32",0,0,0,1,0,0,0,"a"
"SK35",0,0,0,1,0,0,0,"a"
"SK37",0,0,0,0,1,0,0,"a"
"SK38",0,0,0,1,0,1,0,"a"
"SK50",0,0,0,0,0,1,0,
"SK52",0,0,0,0,0,0,1,
"SK53",0,0,1,0,0,1,1,
"SK60",0,0,1,0,1,0,0,"a"
"SK63",0,0,0,0,1,0,1,"a"
"SK83",0,0,0,0,0,1,0,
"SK85",0,0,0,1,0,0,0,
"SK92",0,0,1,0,0,0,0,"a"
"SN31",0,0,1,0,0,0,0,"a"
"SN40",0,0,1,0,0,0,0,"a"
"SO20",0,0,0,1,1,0,0,"a"
"SO51",1,0,0,0,0,0,0,"a"
"SO74",1,0,0,0,0,0,0,"a"
"SO84",0,0,0,0,0,0,1,
"SO85",0,0,0,0,0,1,1,
"SO87",0,0,1,0,1,0,0,"a"
"SO88",0,0,0,0,0,0,1,
"SO89",0,0,0,0,1,1,0,"a"
"SO96",0,0,0,0,0,0,1,
"SO99",0,0,0,1,0,1,0,"a"
"SP04",0,0,0,0,0,1,0,
"SP08",0,0,1,0,1,1,1,"a"
"SP09",0,0,0,0,1,1,0,
"SP14",0,0,0,0,0,1,0,
"SP19",0,0,0,0,0,1,0,
"SP20",0,0,1,1,0,0,0,"a"
"SP37",0,0,0,0,1,0,0,"a"
"SP38",1,0,1,0,0,0,0,"a"
"SP40",0,0,0,1,0,0,0,"a"
"SP45",0,0,0,0,1,0,0,"a"
"SP50",1,0,1,1,0,0,1,"a"
"SP56",0,0,0,0,0,1,0,
"SP61",0,0,0,1,0,0,0,"a"
"SP76",0,0,0,0,1,0,0,"a"
"SS43",0,0,0,1,0,0,0,"a"
"SS44",1,0,0,0,0,0,0,"a"
"SS69",0,0,0,0,0,0,1,
"ST09",0,0,0,0,0,0,1,
"ST29",0,0,0,1,0,0,0,"a"
"ST38",0,0,0,1,0,0,0,"a"
"ST41",0,0,0,0,1,0,0,"a"
"ST51",1,0,1,0,0,0,0,"a"
"ST56",0,0,0,1,0,1,0,"a"
"ST57",0,0,0,1,0,0,0,"a"
"ST61",1,0,1,0,0,0,0,"a"
"ST62",0,0,1,0,0,0,0,"a"
"ST72",1,0,0,0,0,0,0,"a"
"ST76",0,1,0,1,0,0,0,"a"
"ST94",0,0,0,0,0,0,1,
"ST95",0,0,1,0,0,0,0,"a"
"SU12",0,0,0,0,1,0,0,"a"
