"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"D40",1,0,0,0,0,0,0,"a"
"HU31",0,0,0,0,1,0,0,"a"
"HY41",0,0,0,0,1,0,0,"a"
"HY44",0,0,0,0,1,0,0,"a"
"J00",1,0,0,0,0,0,0,"a"
"J36",1,0,0,1,0,0,0,"a"
"J37",1,0,0,1,0,0,0,"a"
"J38",1,0,0,1,0,0,0,"a"
"J48",1,0,0,0,1,0,0,"a"
"J49",1,0,0,0,0,0,0,"a"
"J58",1,0,0,0,0,0,0,"a"
"N92",1,0,0,0,0,0,0,"a"
"NC80",1,0,0,0,0,0,0,"a"
"NH54",0,0,0,1,0,0,0,"a"
"NH55",0,1,1,0,1,0,0,"a"
"NH64",1,1,1,0,1,1,1,"a"
"NH65",0,0,1,0,0,0,0,"a"
"NH66",0,0,1,0,0,0,0,"a"
"NH67",0,0,0,1,0,0,0,"a"
"NH75",0,0,0,1,1,1,0,"a"
"NH76",0,0,1,0,0,1,0,"a"
"NH77",0,0,1,0,1,0,0,"a"
"NH78",0,0,1,1,1,0,1,"a"
"NH79",1,0,1,0,0,0,0,"a"
"NH81",0,0,0,0,0,1,0,
"NH84",0,0,0,1,0,0,1,"a"
"NH85",1,1,1,1,1,0,0,"a"
"NH86",0,0,0,1,0,0,0,"a"
"NH87",0,0,1,0,0,1,1,"a"
"NH88",0,0,1,1,1,1,1,"a"
"NH89",0,0,0,0,0,0,1,
"NH91",0,0,0,1,0,0,0,"a"
"NH94",0,0,0,1,0,0,0,"a"
"NH95",1,1,1,1,1,0,1,"a"
"NH96",0,0,1,0,0,0,1,
"NH98",0,0,1,0,1,1,0,"a"
"NJ02",0,0,1,0,1,0,0,"a"
"NJ05",1,1,1,0,1,1,1,"a"
"NJ06",1,1,1,0,1,1,1,"a"
"NJ14",0,0,0,0,0,0,1,
"NJ15",0,0,0,1,1,0,1,"a"
"NJ16",0,1,0,1,1,1,1,"a"
"NJ24",0,0,1,1,1,0,0,"a"
"NJ25",0,0,1,1,1,1,1,"a"
"NJ26",1,1,1,0,1,1,1,"a"
"NJ27",1,0,1,0,1,1,1,"a"
"NJ33",1,0,0,0,0,0,0,
"NJ35",0,0,0,0,0,0,1,
"NJ36",0,0,0,0,1,1,1,"a"
"NJ45",0,0,0,0,0,1,1,
"NJ46",0,0,1,1,0,1,0,"a"
"NN28",0,0,1,0,0,0,0,"a"
"NN79",1,0,0,0,0,0,0,
"NO01",0,0,1,0,0,0,0,"a"
"NO02",1,0,1,0,0,0,0,"a"
"NO11",0,0,1,1,0,0,0,"a"
"NO13",0,0,0,0,0,1,0,
"NO14",0,0,0,0,0,0,1,
"NO30",0,0,0,1,0,0,0,"a"
"NO32",0,0,1,1,0,0,0,"a"
"NO39",0,0,1,0,1,0,0,"a"
"NO41",0,1,1,0,1,0,1,"a"
"NO42",0,1,1,0,1,1,1,"a"
"NO43",0,0,1,0,0,0,0,"a"
"NO45",0,0,0,1,0,0,0,"a"
"NO50",1,1,0,0,0,0,0,"a"
"NO53",0,0,0,0,0,1,1,
"NO65",0,0,0,0,1,0,0,"a"
