"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"J38",0,0,0,1,0,0,0,"a"
"J56",0,0,0,0,0,0,1,
"NC52",0,0,0,0,0,0,1,
"NC70",0,0,0,0,0,0,1,
"NC80",0,0,0,0,0,0,1,
"NC90",0,0,0,0,0,0,1,
"ND01",0,0,0,0,0,0,1,
"NG88",0,0,0,0,0,0,1,
"NH78",0,0,0,0,0,0,1,
"NJ06",0,0,0,0,1,1,1,
"NJ16",0,0,0,0,1,0,1,"a"
"NS28",1,0,0,0,0,0,0,"a"
"NS66",1,0,0,0,0,0,0,"a"
"NT18",1,0,0,0,0,0,0,"a"
"NT28",1,0,0,0,0,0,0,"a"
"NU11",1,0,0,0,0,0,0,"a"
"NU14",0,0,0,1,1,0,0,"a"
"NZ24",0,0,1,0,0,0,0,
"S59",0,0,0,0,0,0,1,
"SC26",0,0,0,0,1,0,0,"a"
"SD33",0,0,0,0,0,0,1,
"SE13",0,0,0,0,0,1,0,
"SE92",0,0,0,0,0,1,0,
"SJ17",1,0,0,0,0,0,0,"a"
"SJ51",1,0,0,0,0,0,0,"a"
"SK26",0,0,0,0,0,0,1,
"SK27",1,0,0,0,0,0,0,"a"
"SK36",0,0,0,0,0,0,1,
"SK59",0,0,0,0,1,0,0,
"SK75",0,0,0,0,0,0,1,
"SN40",0,1,0,0,0,0,0,"a"
"SN41",0,0,0,0,0,1,0,
"SO02",0,1,0,0,0,0,0,"a"
"SO24",1,0,0,0,0,0,0,"a"
"SO57",1,0,0,0,0,0,0,
"SO74",1,0,0,0,0,0,0,"a"
"SP08",0,0,1,0,0,0,0,
"SP12",0,0,0,0,0,0,1,
"SP40",0,0,0,1,0,0,0,"a"
"SS79",0,1,0,0,0,0,0,"a"
"SS88",0,0,0,1,0,0,0,"a"
"ST61",1,0,1,0,1,0,0,"a"
"SU30",0,0,1,0,0,0,0,"a"
"SU77",0,0,1,0,1,0,0,"a"
"SU86",0,0,0,0,0,0,1,
"SU96",0,0,0,0,0,0,1,
"SX96",0,0,0,0,1,0,0,"a"
"SY49",1,0,0,0,0,0,0,"a"
"TF41",1,0,0,0,0,0,0,"a"
"TL20",0,0,0,0,0,0,1,
"TL30",0,0,0,0,0,0,1,
"TL41",0,0,0,0,0,0,1,
"TL66",1,0,0,0,0,0,0,"a"
"TM16",1,1,0,0,0,0,0,"a"
"TQ06",0,0,0,0,0,0,1,
"TQ08",0,0,0,0,0,0,1,
"TQ15",0,0,0,0,0,0,1,
"TQ16",0,0,0,0,0,0,1,
"TQ17",0,0,0,0,0,0,1,
"TQ18",0,0,0,0,0,0,1,
"TQ19",0,0,0,0,0,0,1,
"TQ26",0,0,0,0,0,0,1,
"TQ27",0,0,0,0,0,0,1,
"TQ28",0,0,0,0,0,0,1,
"TQ29",0,0,0,0,0,0,1,
"TQ37",0,0,0,0,0,0,1,
"TQ38",0,0,1,0,0,0,1,"a"
"TQ46",0,0,0,0,0,0,1,
"TQ47",0,0,0,0,0,0,1,
"TQ56",0,0,0,0,0,0,1,
"TQ57",0,0,0,1,0,0,1,"a"
"TQ59",0,0,0,0,0,0,1,
"TQ69",0,0,0,0,0,0,1,
"TQ76",1,1,1,1,1,0,0,"a"
"TQ77",1,0,0,0,0,0,0,"a"
"TR01",0,0,0,0,0,0,1,
"TR23",1,0,0,0,0,0,0,"a"
"TR34",0,0,0,0,0,0,1,
"TR35",1,0,0,0,0,0,0,"a"
"WV27",0,0,1,0,0,0,0,"a"
"WV38",1,1,0,0,0,0,0,"a"
"WV64",1,0,0,0,0,0,0,"a"
"WV65",0,0,1,0,0,0,0,"a"
