"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"HP60",0,0,0,0,0,0,1,"n"
"HT93",0,0,0,1,0,0,0,"n"
"HT94",0,0,0,1,0,0,1,"n"
"HU24",0,0,1,1,0,0,0,"n"
"HU28",0,0,0,0,1,0,0,"n"
"HU31",1,0,1,0,0,0,0,"n"
"HU32",0,0,1,0,0,0,0,"n"
"HU38",0,0,1,0,0,0,1,"n"
"HU43",1,0,0,0,0,0,1,"n"
"HY20",1,0,0,0,0,0,0,"n"
"HY21",0,0,1,1,1,1,1,"n"
"HY22",0,0,0,0,0,0,1,"n"
"HY33",0,0,0,0,0,0,1,"n"
"HY44",0,0,0,0,0,1,0,
"HZ26",1,0,0,0,0,0,0,"n"
"HZ27",0,0,1,0,0,0,1,"n"
"NA91",0,1,0,0,0,0,0,"n"
"NA92",0,1,0,0,0,0,0,"n"
"NB35",0,1,0,0,0,0,0,"n"
"NB56",0,1,1,0,1,1,0,"n"
"NC02",1,1,1,0,1,1,0,"n"
"NC03",0,0,0,0,1,0,0,"n"
"NC13",0,0,0,0,1,0,0,"n"
"NC14",0,0,0,1,1,0,0,"n"
"NC15",1,0,1,0,0,0,0,"n"
"NC16",0,0,1,0,0,0,0,"n"
"NC25",0,0,1,0,1,0,0,"n"
"NC26",0,0,1,1,0,0,0,"n"
"NC27",0,0,0,1,0,0,0,"n"
"NC36",0,0,0,1,0,0,0,"n"
"NC37",1,0,0,1,0,0,0,"n"
"NC45",0,0,0,0,0,0,1,"n"
"NC56",0,0,1,1,0,1,1,"n"
"NC66",1,0,1,1,0,0,1,"n"
"NC76",1,1,1,1,1,1,0,"n"
"NC86",1,1,1,1,1,1,1,"n"
"NC96",0,1,0,0,0,0,1,"n"
"ND07",0,0,0,0,0,1,0,
"ND38",0,0,0,0,0,0,1,"n"
"ND39",1,0,0,0,0,0,0,"n"
"NF60",0,1,0,0,0,0,0,"n"
"NG25",0,0,0,1,0,0,0,"n"
"NG26",0,0,1,1,0,0,0,"n"
"NG47",0,0,0,1,0,0,1,"n"
"NG89",0,1,0,0,0,0,0,"n"
"NL69",0,1,0,0,0,0,0,"n"
"NM33",1,0,0,0,0,0,0,"n"
"NM43",0,0,0,0,0,0,1,"n"
"NM48",0,1,0,0,0,0,0,"n"
