"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"G63",0,0,0,0,1,0,0,"n"
"G64",0,0,0,0,0,1,0,"n"
"G77",0,0,0,0,0,1,0,"n"
"G97",0,0,0,0,0,1,0,"n"
"J00",1,0,0,0,1,1,1,"n"
"J01",0,0,0,0,0,0,1,"n"
"J02",0,0,0,0,0,0,1,"n"
"J10",0,0,1,0,0,0,1,"n"
"J11",1,0,0,1,1,1,1,"n"
"J12",0,0,0,0,1,0,1,"n"
"J21",0,0,1,1,1,1,1,"n"
"J33",1,0,0,0,1,0,0,"n"
"J38",0,0,0,0,0,0,1,"n"
"J43",1,0,1,1,1,1,1,"n"
"J46",0,0,0,1,1,0,1,"n"
"J47",0,0,0,0,0,0,1,"n"
"J49",0,0,0,0,0,0,1,"n"
"J53",1,0,1,1,1,1,1,"n"
"J54",1,0,0,1,1,1,1,"n"
"J55",1,0,1,1,1,1,1,"n"
"J56",1,1,1,1,1,1,1,"n"
"J58",0,0,1,1,1,1,0,"n"
"J64",1,0,0,1,1,1,1,"n"
"J65",1,0,1,1,1,0,1,"n"
"J66",0,0,0,1,1,1,1,"n"
"J68",0,0,0,0,1,0,0,"n"
"L64",0,0,0,0,0,1,0,"n"
"L72",0,0,0,0,0,0,1,"n"
"L80",0,0,0,0,0,0,1,"n"
"L93",0,0,0,0,0,1,0,"n"
"M11",0,0,0,0,1,0,0,"n"
"M12",0,0,0,1,0,0,1,"n"
"M20",1,0,1,1,1,1,1,"n"
"M21",0,0,1,0,1,1,1,"n"
"M22",0,0,1,0,0,1,1,"n"
"M31",0,1,0,0,1,1,1,"n"
"M32",0,0,0,0,0,1,0,"n"
"NJ76",0,0,0,0,0,1,0,"n"
"NS06",0,1,0,0,0,0,0,"a"
"NS28",1,0,0,0,0,0,0,
"NU03",0,0,1,0,1,0,1,"n"
"NU04",0,0,0,1,1,1,1,"n"
"NU13",0,0,0,1,1,1,1,"n"
"NU14",0,0,0,1,1,1,1,"n"
"NU20",0,0,1,1,1,1,1,"n"
"NU21",0,0,1,1,1,1,1,"n"
"NU22",1,0,0,0,1,0,1,"n"
"NX03",0,0,0,1,0,0,0,"n"
"NX08",0,0,0,0,1,0,0,"n"
"NX13",1,0,0,1,1,0,0,"n"
"NX15",0,0,1,0,0,0,1,"n"
"NX34",0,0,0,0,1,0,0,"n"
"NX43",0,0,0,0,1,0,0,"n"
"NX44",1,0,0,0,0,0,1,"n"
"NX45",0,0,0,1,0,0,1,"n"
"NX54",0,0,0,1,1,0,1,"n"
"NX55",0,0,1,1,0,1,0,"n"
"NX64",0,0,0,1,1,1,1,"n"
"NX74",0,0,0,0,1,1,1,"n"
"NX84",0,0,1,1,0,0,1,"n"
"NX85",1,0,0,1,1,1,1,"n"
"NX92",0,0,1,0,0,0,1,"n"
"NX95",0,0,1,1,1,1,1,"n"
"NX96",0,0,0,0,0,0,1,"n"
"NY00",0,0,1,1,0,1,0,"n"
"NY03",0,0,1,0,0,0,0,"n"
"NY04",0,0,0,0,0,0,1,"n"
"NZ28",0,0,1,1,1,0,1,"n"
"NZ29",0,0,1,1,1,0,0,"n"
"NZ35",1,0,0,0,1,0,1,"n"
"NZ36",1,0,0,0,0,1,0,"n"
"NZ37",1,0,1,0,0,0,0,"n"
"NZ38",0,0,0,1,0,1,0,"n"
"NZ39",0,0,0,1,0,0,0,"n"
"NZ41",0,0,0,0,0,0,1,
"NZ45",1,0,0,0,0,0,0,"n"
"NZ52",1,1,1,0,1,1,0,"n"
"NZ53",1,0,0,0,0,0,0,"n"
"NZ80",1,0,1,0,0,0,0,"n"
"NZ81",1,0,1,0,0,0,0,"n"
"NZ91",0,0,0,0,1,0,0,"n"
"O07",0,0,0,0,1,0,0,"n"
"O09",0,0,1,0,1,0,1,"n"
"O13",0,0,0,0,1,0,1,"n"
"O14",0,0,0,0,0,0,1,"n"
"O16",0,0,0,1,1,0,1,"n"
"O17",0,0,1,1,1,1,1,"n"
"O18",0,0,1,0,1,0,1,"n"
"O19",0,0,0,0,1,0,1,"n"
"O21",0,1,0,0,0,0,1,"n"
"O22",1,0,0,0,0,0,1,"n"
"O23",1,1,1,1,1,1,1,"n"
"O24",0,0,1,1,1,1,1,"n"
"O25",1,0,0,1,1,1,1,"n"
"O26",0,0,0,0,1,0,0,"n"
"O30",1,0,0,0,1,1,1,"n"
"O35",0,0,0,0,1,0,1,"n"
"Q71",0,0,0,0,1,1,0,"n"
"R04",0,0,0,0,0,0,1,"n"
"R45",0,0,0,0,0,1,0,"n"
"S50",1,1,1,1,1,1,1,"n"
"S51",0,0,0,0,0,1,0,"n"
"S60",0,0,1,1,1,1,1,"n"
"S61",0,0,0,0,0,1,0,"n"
"S62",0,0,0,0,0,1,0,"n"
"S70",0,0,0,0,1,1,1,"n"
"S71",0,0,0,0,0,1,0,"n"
"S80",0,0,0,0,1,1,1,"n"
"S81",0,0,0,0,1,1,1,"n"
"S90",0,0,0,0,0,0,1,"n"
"SC16",1,1,0,0,0,0,0,"n"
"SC26",0,0,1,1,1,1,1,"n"
"SC36",0,0,0,0,0,0,1,"n"
"SC48",0,0,0,0,0,0,1,"n"
"SC49",1,0,0,0,0,0,0,"n"
"SD08",0,0,0,1,0,0,0,"n"
