"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B60",0,0,0,0,0,0,1,
"B61",0,0,0,0,0,0,1,"n"
"B71",0,0,0,0,1,1,1,"n"
"B72",0,0,0,0,1,0,1,"n"
"B73",0,0,0,0,0,0,1,
"B81",0,0,0,0,0,0,1,"n"
"B82",0,0,0,0,0,1,0,"n"
"B83",0,0,0,0,1,1,0,"n"
"B84",0,0,0,0,0,1,1,"n"
"B93",0,0,0,0,0,0,1,"n"
"C03",0,0,0,0,0,1,1,"n"
"C12",0,0,0,0,0,1,0,"n"
"C13",0,0,0,0,0,1,0,"n"
"C14",0,0,0,0,1,1,0,"n"
"C21",0,0,0,0,1,0,1,"n"
"C22",0,0,0,0,0,0,1,"n"
"C23",0,0,0,0,1,0,1,"n"
"C24",0,0,0,0,0,0,1,"n"
"C30",0,0,0,0,0,1,1,"n"
"C31",0,0,0,0,0,0,1,"n"
"C32",0,0,0,0,1,1,0,"n"
"C33",0,0,0,0,1,0,1,"n"
"C34",0,0,0,0,1,0,1,"n"
"C40",0,0,0,0,0,0,1,"n"
"C41",0,0,0,0,1,1,1,"n"
"C42",0,0,0,0,1,0,1,"n"
"C43",0,0,0,0,1,0,1,"n"
"C45",0,0,0,0,1,0,1,"n"
"C46",0,0,0,0,0,0,1,
"C50",0,0,0,1,1,0,1,"n"
"C51",0,0,0,0,1,0,1,"n"
"C52",0,0,0,0,1,0,1,"n"
"C53",0,0,0,0,1,0,0,"n"
"C54",0,0,0,0,1,0,1,"n"
"C60",0,0,0,1,1,1,1,"n"
"C61",0,0,0,0,1,1,1,"n"
"C62",0,0,0,0,1,1,1,"n"
"C63",0,0,0,0,1,0,1,"n"
"C64",0,0,0,0,0,0,1,"n"
"C70",0,0,0,1,1,1,1,"n"
"C71",0,0,0,1,0,1,1,"n"
"C72",0,0,0,0,1,1,1,"n"
"C73",1,0,0,0,1,1,1,"n"
"C80",0,0,0,0,0,0,1,"n"
"C81",0,0,0,1,1,0,1,"n"
"C82",0,0,0,0,0,1,1,"n"
"C83",0,0,0,0,1,1,1,"n"
"C84",0,0,0,0,0,1,1,"n"
"C90",0,0,0,1,1,1,0,"n"
"C91",0,0,0,0,0,0,1,"n"
"C92",0,0,0,0,0,1,1,"n"
"C93",0,0,0,0,0,0,1,"n"
"C94",0,0,0,0,1,1,1,"n"
