"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NZ13",0,0,0,0,0,0,1,
"NZ15",0,0,0,0,0,0,1,
"NZ16",0,0,0,0,0,0,1,
"NZ21",0,0,0,0,0,0,1,
"NZ25",0,0,0,0,0,0,1,
"NZ27",0,0,0,0,0,0,1,
"NZ30",0,0,0,0,0,0,1,
"NZ33",0,0,0,0,0,0,1,
"NZ35",0,0,0,0,0,0,1,
"NZ36",0,0,0,0,0,0,1,
"NZ45",0,0,0,0,0,0,1,
"SE03",0,0,0,0,0,0,1,
"SE04",0,0,0,0,0,0,1,
"SE32",0,0,0,0,0,0,1,
"SE33",0,0,0,0,0,0,1,
"SE42",0,0,0,0,0,0,1,
"SE55",0,0,0,0,0,0,1,
"SJ84",0,0,0,0,0,1,0,
"SJ91",0,0,0,0,0,1,0,
"SK91",0,0,0,0,0,0,1,
"SK94",0,0,0,0,0,0,1,
"SP40",0,0,0,0,0,0,1,
"SP79",0,0,0,0,0,0,1,
"SU23",0,0,0,0,0,0,1,
"SU35",0,0,0,0,0,0,1,
"SU43",0,0,0,0,0,0,1,
"SU44",0,0,0,0,0,0,1,
"SU45",0,0,0,0,0,0,1,
"SU46",0,0,0,0,0,0,1,
"SU52",0,0,0,0,0,0,1,
"SU53",0,0,0,0,0,0,1,
"SU54",0,0,0,0,0,0,1,
"SU61",0,0,0,0,0,0,1,
"SU63",0,0,0,0,0,0,1,
"SU64",0,0,0,0,0,0,1,
"SU65",0,0,0,0,0,0,1,
"SU69",0,0,0,0,0,0,1,
"SU73",0,0,0,0,0,0,1,
"SU74",0,0,0,0,0,0,1,
"SU84",0,0,0,0,0,0,1,
"TA00",0,0,0,0,0,0,1,
"TA21",0,0,0,0,0,0,1,
"TF06",0,0,0,0,0,0,1,
"TF07",0,0,0,0,0,0,1,
"TF10",0,0,0,0,0,0,1,
"TF11",0,0,0,0,0,0,1,
"TF13",0,0,0,0,0,0,1,
"TF15",0,0,0,0,0,0,1,
"TF16",0,0,0,0,0,0,1,
"TF17",0,0,0,0,0,0,1,
"TF20",0,0,0,0,0,0,1,
"TF21",0,0,0,0,0,1,0,"a"
"TF22",0,0,0,0,0,0,1,
"TF23",0,0,0,0,0,0,1,
"TF24",0,0,0,0,0,0,1,
"TF25",0,0,0,0,0,0,1,
"TF30",0,0,0,0,0,0,1,"a"
"TF31",0,0,0,0,0,0,1,"a"
"TF32",0,0,0,0,0,0,1,"a"
"TF33",0,0,0,0,0,0,1,
"TF34",0,0,0,0,0,0,1,
"TF40",0,0,0,0,0,0,1,
"TF42",0,0,0,0,0,0,1,
"TF43",0,0,0,0,0,0,1,"a"
"TF45",0,0,0,0,0,0,1,
"TF48",0,0,0,0,0,0,1,
"TF50",0,0,0,0,0,0,1,
"TF51",0,0,0,0,0,0,1,"a"
"TF52",0,0,0,0,0,0,1,"a"
"TF56",0,0,0,0,0,0,1,
"TF62",0,0,0,0,0,0,1,
"TL19",0,0,0,0,0,0,1,
"TL28",0,0,0,0,0,1,1,
"TL29",0,0,0,0,0,0,1,"a"
"TL46",0,0,0,0,0,0,1,
"TL47",0,0,0,0,0,0,1,
"TL49",0,0,0,0,0,0,1,
"TL56",0,0,0,0,0,0,1,
"TL57",0,0,0,0,0,0,1,
"TL58",0,0,0,0,0,0,1,
"TL59",0,0,0,0,0,0,1,"a"
"TL68",0,0,0,0,0,0,1,
"TL69",0,0,0,0,0,0,1,
"TL73",0,0,0,0,0,0,1,
"TQ07",0,0,0,0,0,0,1,
"TQ56",0,0,0,0,0,1,0,"n"
"TQ57",0,0,0,0,0,1,0,
