"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"H80",0,0,0,0,0,0,1,
"H99",0,0,0,0,0,0,1,
"HU31",0,0,0,0,1,0,0,"a"
"HU43",0,0,0,0,1,0,0,"a"
"HU56",0,0,0,0,1,0,0,"a"
"HY30",0,0,0,0,0,0,1,
"HY62",0,0,0,0,0,0,1,
"J21",0,0,0,0,0,0,1,
"J35",0,0,0,1,0,0,0,"a"
"J43",0,0,0,1,0,0,0,"a"
"J46",0,0,0,1,0,0,0,"a"
"N00",0,0,0,0,0,0,1,
"N11",0,0,0,0,0,0,1,
"N41",0,0,0,0,0,0,1,
"N42",0,0,0,0,0,0,1,
"N44",0,0,0,0,0,0,1,
"N81",0,0,0,0,0,0,1,
"NC40",0,0,0,0,0,0,1,
"NC51",0,0,0,0,0,0,1,
"NC70",0,0,0,0,0,0,1,
"NC71",1,0,0,0,0,0,0,"a"
"NC80",0,1,0,0,0,1,1,"a"
"NC83",0,0,0,0,0,0,1,
"NC90",0,0,0,0,0,0,1,
"NC96",0,0,0,0,0,1,0,
"ND01",1,0,1,0,1,0,1,"a"
"ND06",0,0,0,1,0,0,0,"a"
"ND12",0,0,0,0,0,0,1,
"ND13",0,0,1,0,0,0,0,"a"
"ND15",0,0,0,1,0,0,0,"a"
"ND16",0,0,0,0,0,1,0,
"ND23",0,0,0,0,0,0,1,
"ND26",0,0,0,0,1,0,1,"a"
"ND27",0,0,0,0,0,1,1,
"ND34",0,0,0,0,0,0,1,
"ND35",0,1,0,0,0,0,0,"a"
"ND49",0,0,0,0,0,0,1,
"NF71",0,0,0,0,0,1,0,
"NG62",0,0,0,0,0,0,1,
"NH19",0,0,0,0,0,0,1,
"NH30",0,0,0,1,0,0,0,"a"
"NH33",0,0,0,0,1,1,1,"a"
"NH36",0,0,0,0,0,1,0,
"NH43",0,0,1,0,0,0,0,
"NH44",0,0,0,1,0,0,1,"a"
"NH45",0,0,0,0,0,1,0,
"NH52",0,0,0,0,0,0,1,
"NH54",0,0,0,1,0,0,1,
"NH55",0,0,0,0,0,0,1,
"NH63",0,0,0,0,0,0,1,
"NH64",0,0,1,1,1,0,1,"a"
"NH65",0,0,1,1,0,1,0,"a"
"NH66",0,0,0,0,1,1,0,"a"
"NH70",0,0,0,0,0,0,1,
"NH74",0,0,1,1,0,0,1,"a"
"NH75",0,1,1,1,0,1,1,"a"
"NH76",0,0,1,0,0,1,0,"a"
"NH77",0,0,0,1,0,0,0,"a"
"NH78",0,0,1,0,0,1,1,"a"
"NH80",0,0,0,0,0,0,1,
"NH84",0,0,1,0,0,0,1,"a"
"NH85",0,0,1,1,0,0,1,"a"
"NH87",0,0,0,0,0,1,1,
"NH88",0,0,0,0,0,0,1,
"NH89",0,0,0,0,0,0,1,
"NH91",0,0,0,0,1,1,0,"a"
"NH92",0,0,0,0,0,1,1,
"NH93",0,0,0,0,0,1,0,
"NH94",0,0,0,0,0,0,1,
