"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C22",0,0,0,0,0,0,1,
"C23",0,0,0,0,0,0,1,
"C32",0,0,0,0,0,0,1,
"C33",0,0,0,0,0,0,1,
"C40",0,0,0,0,0,1,1,
"C41",0,0,0,0,0,1,1,
"C42",0,0,0,0,0,0,1,
"C50",0,0,0,0,0,0,1,
"C51",0,0,0,0,0,0,1,
"C60",0,0,0,0,1,0,0,"a"
"C61",0,0,0,0,1,1,1,"a"
"C62",0,0,0,1,1,1,1,"a"
"C63",0,0,0,0,0,0,1,
"C70",0,0,0,0,0,0,1,
"C71",0,0,0,0,0,0,1,
"C82",0,0,0,0,0,1,1,
"C83",0,0,0,0,0,1,1,
"C93",0,0,0,0,0,0,1,
"D00",0,0,0,0,0,1,1,
"D23",0,0,0,0,0,0,1,
"G11",0,0,0,0,0,1,1,
"G63",0,0,0,0,0,0,1,
"G64",0,0,1,0,0,1,1,"a"
"G65",0,0,1,0,0,0,0,"a"
"G72",0,0,0,0,0,1,0,
"G73",0,0,0,0,1,0,1,"a"
"H24",0,0,0,0,0,0,1,
"H26",0,0,0,0,0,1,0,
"H35",0,0,0,0,1,0,1,"a"
"H47",0,0,0,0,0,1,0,
"H67",0,0,0,0,1,0,0,"a"
"H74",0,0,0,0,0,0,1,
"H77",0,0,0,1,1,1,1,"a"
"H86",0,0,0,0,0,1,0,
"H87",0,0,0,1,1,1,1,"a"
"H89",0,0,0,0,0,0,1,
"H97",0,0,0,0,1,1,1,"a"
"H98",0,0,0,0,0,1,1,
"H99",0,0,0,0,1,1,0,"a"
"HU43",0,0,0,0,0,0,1,
"HU44",0,0,0,0,0,0,1,
"J02",0,0,0,0,0,0,1,
"J09",0,0,0,0,0,1,0,
"J14",0,0,0,0,0,0,1,
"J18",0,0,0,0,0,0,1,
"J28",0,0,0,0,0,0,1,
"J29",0,0,0,0,0,0,1,
"J32",0,0,0,0,0,0,1,
"J37",0,0,0,0,1,0,0,"a"
"J38",0,0,0,1,1,0,0,"a"
"J45",0,0,0,0,0,0,1,
"J48",0,0,0,0,0,0,1,
"J56",0,0,0,0,0,0,1,
"L98",0,0,1,0,0,0,1,"a"
"M82",0,0,1,0,1,0,0,"a"
"N38",0,0,0,0,1,0,0,"a"
"NC50",0,0,0,0,0,0,1,
"NC51",0,0,0,0,0,0,1,
"NC70",0,0,0,0,0,0,1,
"NC80",0,0,0,0,0,0,1,
"NG24",0,0,0,0,0,0,1,
"NG36",0,0,0,0,0,0,1,
"NG43",0,0,0,0,0,0,1,
"NG44",0,0,0,0,0,1,1,
"NG50",0,0,0,0,0,0,1,
"NG53",0,0,0,1,1,1,1,"a"
"NG60",0,0,0,0,0,1,1,
"NH44",0,0,0,0,0,0,1,
"NH45",0,0,0,0,0,1,1,
"NH54",0,0,0,0,0,0,1,
"NH55",0,0,0,0,0,1,1,
"NH63",0,0,0,0,0,0,1,
"NH64",0,0,0,0,0,1,1,
"NH65",0,0,0,0,0,1,0,
"NH66",0,0,0,0,0,0,1,
"NH68",0,0,0,0,0,0,1,
"NH69",0,0,0,0,0,0,1,
"NH74",0,0,0,0,0,0,1,
"NH78",0,0,0,0,0,0,1,
"NH85",0,0,1,0,0,0,1,"a"
"NH89",0,0,0,0,0,0,1,
"NH95",0,0,1,1,0,0,1,"a"
"NJ04",0,0,0,0,0,1,1,
"NJ05",0,0,0,0,1,1,1,"a"
"NJ06",0,0,0,0,0,1,1,
"NJ13",0,0,0,1,0,0,1,"a"
"NJ15",0,0,0,0,0,0,1,
"NJ16",0,0,1,0,1,0,1,"a"
"NJ25",0,0,0,0,0,1,1,
"NJ26",0,0,0,0,1,1,1,
"NJ35",0,0,0,0,0,1,0,
"NJ36",0,0,0,0,0,1,1,
"NJ42",0,0,0,0,0,0,1,
"NJ44",0,0,0,0,0,1,1,
"NJ45",0,0,1,0,0,0,0,
"NJ46",0,0,1,0,0,1,1,"a"
"NJ55",0,0,0,0,0,0,1,
"NJ65",0,0,0,0,0,0,1,
"NJ66",0,0,0,0,0,0,1,
"NJ70",0,0,0,0,0,0,1,
"NJ71",0,0,0,0,0,1,0,
"NJ72",0,0,0,0,1,0,0,"a"
"NJ73",0,0,0,0,1,1,1,"a"
"NJ80",0,0,0,0,0,0,1,
"NJ81",0,0,0,0,0,1,1,
"NJ85",0,0,0,0,0,0,1,
"NJ90",0,0,0,0,0,1,1,
"NJ94",0,0,0,0,0,0,1,
"NM34",0,0,0,0,0,1,0,
"NN05",0,0,0,0,0,0,1,
"NN06",0,0,0,1,0,0,0,"a"
"NN31",0,0,0,0,0,0,1,
"NN50",0,0,0,0,0,0,1,
"NN60",0,0,0,0,0,0,1,
"NN65",0,0,1,0,0,0,1,"a"
"NN70",0,0,0,0,0,1,1,
"NN72",0,0,0,1,1,0,1,"a"
"NN75",1,0,1,0,0,0,0,"a"
"NN82",0,0,0,0,0,0,1,
"NN85",0,0,1,0,0,0,0,"a"
"NN91",0,0,0,0,0,1,0,
"NN94",0,0,0,0,0,1,1,
"NN95",0,0,0,0,1,0,1,"a"
"NN96",0,0,0,0,0,0,1,
"NO02",0,0,0,0,0,1,1,
"NO04",0,0,0,0,0,0,1,
"NO08",0,0,0,0,0,0,1,
"NO09",0,0,0,0,0,0,1,
"NO12",0,0,0,0,0,1,1,
"NO13",0,0,0,0,0,1,1,
"NO20",0,0,0,0,0,0,1,
"NO23",0,0,0,0,0,1,0,
"NO24",0,0,0,0,0,1,0,
"NO31",0,0,0,1,1,0,0,"a"
"NO32",0,0,0,0,1,0,1,"a"
"NO33",0,0,0,0,0,0,1,
"NO55",0,0,0,0,0,1,0,
"NO61",0,0,0,0,0,0,1,
"NO69",0,0,0,0,1,1,1,"a"
"NO78",0,0,0,0,0,1,0,
"NO79",0,0,0,0,0,1,1,
"NO89",0,0,0,0,0,0,1,
"NR39",0,0,0,0,0,0,1,
"NR82",0,0,1,0,0,0,0,"a"
"NR83",1,0,1,0,0,0,0,"a"
"NR88",1,0,0,1,0,0,0,"a"
"NR89",0,0,0,0,0,1,0,
"NS06",0,0,0,0,0,1,1,
"NS18",0,0,0,0,0,0,1,
"NS25",0,0,0,0,0,0,1,
"NS27",0,0,0,0,1,1,1,"a"
"NS28",1,1,1,1,1,0,1,"a"
"NS30",0,0,0,0,0,0,1,
"NS31",0,0,0,0,0,0,1,
"NS32",0,0,0,0,0,0,1,"a"
"NS35",0,0,0,0,1,1,1,"a"
"NS36",0,0,0,0,1,1,0,"a"
"NS37",0,0,1,1,1,0,0,"a"
"NS38",0,0,0,1,1,0,1,"a"
"NS42",0,0,0,0,0,1,1,
"NS43",0,0,0,0,0,0,1,"a"
"NS44",0,0,0,1,0,0,0,"a"
"NS46",0,0,0,0,1,1,1,"a"
"NS47",0,0,0,0,0,0,1,
"NS52",0,0,0,0,1,0,1,"a"
"NS55",0,0,0,1,1,1,1,"a"
"NS56",0,0,0,1,1,1,1,"a"
"NS57",0,0,0,1,1,0,1,"a"
"NS59",0,0,0,1,1,0,0,"a"
"NS65",0,0,0,1,1,1,1,"a"
"NS66",0,0,0,1,1,1,1,"a"
"NS67",0,0,0,1,0,0,0,
"NS70",0,0,0,0,0,0,1,
"NS75",0,0,0,0,1,1,1,"a"
"NS77",0,0,0,0,0,0,1,
"NS79",0,0,0,0,0,0,1,
"NS85",0,0,0,0,1,0,0,"a"
"NS86",0,0,0,0,0,0,1,
"NS89",0,0,0,0,0,0,1,
"NS92",0,0,0,0,0,0,1,
"NS93",0,0,0,0,0,0,1,
"NS96",0,0,0,0,0,0,1,
"NS97",0,0,0,0,1,0,0,"a"
"NT04",0,0,0,0,1,0,0,"a"
"NT06",0,0,0,0,0,1,1,
"NT07",1,0,0,0,1,1,1,"a"
"NT13",0,0,0,0,0,0,1,
"NT15",0,0,0,0,0,0,1,
"NT16",0,0,1,0,1,1,1,"a"
"NT17",0,0,0,0,1,0,0,"a"
"NT23",0,0,0,0,0,0,1,
"NT24",0,0,0,1,0,0,0,"a"
"NT25",0,0,0,0,0,0,1,
"NT26",0,0,1,1,1,1,1,"a"
"NT27",0,0,1,1,1,1,1,"a"
"NT29",0,0,1,0,1,0,1,"a"
"NT33",0,0,0,0,0,0,1,
"NT36",0,0,0,1,1,1,1,"a"
"NT37",1,1,1,1,1,1,1,"a"
"NT40",0,0,0,0,0,0,1,
"NT41",0,0,0,1,1,1,1,"a"
"NT42",0,0,0,0,1,0,1,"a"
"NT43",0,0,0,1,1,0,1,"a"
"NT46",0,0,0,0,0,0,1,
"NT47",0,0,0,0,0,1,1,
"NT51",0,0,0,0,1,1,1,"a"
"NT53",0,0,0,0,0,0,1,
"NT57",0,0,0,0,0,1,1,
"NT60",0,0,0,0,0,0,1,
"NT61",0,0,0,0,0,1,0,
"NT62",0,0,0,0,0,1,0,
"NT63",0,0,0,0,1,0,0,"a"
"NT67",0,0,0,0,1,0,0,"a"
"NT73",0,0,0,0,0,1,0,
"NT74",0,0,0,0,1,0,1,"a"
"NT77",0,0,1,0,0,0,1,"a"
"NT84",0,0,0,0,0,1,0,
