"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NT08",1,0,1,0,0,0,0,"a"
"NZ52",0,0,0,0,0,1,0,
"SD72",0,0,0,0,0,0,1,
"SD86",0,0,0,0,1,0,1,
"SP62",0,0,0,1,0,0,0,
"SP70",0,0,1,0,0,0,1,"a"
"SP95",0,0,0,1,0,0,0,
"ST85",0,0,0,1,0,0,1,"a"
"SU26",1,1,0,0,0,0,0,"a"
"SU36",1,0,1,0,0,0,1,"a"
"SU37",0,0,1,0,0,0,0,
"SU79",1,0,1,0,0,0,0,"a"
"SU99",1,0,0,0,0,0,0,"a"
"SZ48",0,0,0,0,0,0,1,
"TL05",1,0,0,1,1,0,0,"a"
"TQ09",1,0,1,0,0,0,0,"a"
"TQ19",1,0,0,0,0,0,0,"a"
"TQ55",0,0,0,0,0,0,1,
