"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NO10",0,0,0,1,0,0,0,
"NO30",0,0,0,0,1,0,0,
"NT08",0,0,0,0,1,0,0,
"NT29",0,0,0,0,1,0,1,
"NY92",0,0,0,0,0,1,0,
"NZ36",0,0,0,0,0,0,1,
"NZ41",0,0,0,0,1,0,0,
"NZ52",0,0,0,0,1,0,0,
"SD46",0,0,1,0,1,0,0,
"SD47",0,0,0,0,0,1,0,
"SD92",0,0,0,0,0,1,0,
"SE13",0,0,0,0,0,1,1,
"SJ36",0,0,1,0,0,0,0,
"SK26",0,0,0,0,0,0,1,
"SO83",1,0,1,0,0,0,0,
"ST09",0,0,0,1,0,0,0,
"SU88",0,0,1,1,0,0,0,
"SU98",0,0,1,0,0,0,0,
"SW62",0,0,1,0,0,0,0,
"SW64",0,0,1,0,0,0,0,
"TL45",0,0,0,0,0,1,0,
"TL70",0,0,1,0,0,0,0,
"TQ26",1,0,1,0,0,0,0,
"TQ29",0,0,0,0,1,0,0,
"TQ37",1,1,0,0,0,0,0,
"TQ38",0,0,0,0,1,0,0,
"TQ53",0,1,0,0,0,0,0,
"TQ67",0,1,0,0,0,0,0,
