"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"H24",0,0,1,0,0,0,0,"a"
"H61",1,0,0,0,0,0,0,"a"
"HU44",1,0,0,0,0,0,0,"a"
"J18",1,0,0,0,0,0,0,"a"
"J39",0,0,0,0,1,0,0,
"J57",0,0,0,0,0,1,0,
"J58",1,0,0,0,0,0,0,"a"
"M22",1,0,0,0,0,0,0,"a"
"N97",0,0,0,0,0,0,1,
"NH64",0,0,0,1,0,0,0,"a"
"NH85",0,0,1,0,0,0,0,
"NH95",0,1,1,0,0,0,0,
"NJ05",1,1,1,0,0,0,0,
"NJ16",1,0,0,0,0,0,0,
"NJ24",0,0,1,0,0,0,0,
"NJ25",1,0,1,0,0,0,0,
"NJ26",0,0,0,1,0,0,0,
"NJ35",1,0,0,0,0,0,0,"a"
"NJ36",0,1,0,0,0,0,0,
"NO02",1,0,0,0,0,0,0,
"NO21",1,0,0,0,0,0,0,"a"
"NO22",0,0,0,0,0,1,0,
"NO30",1,0,0,0,0,0,0,"a"
"NO31",1,0,0,0,0,0,0,"a"
"NO40",1,0,0,0,0,0,0,"a"
"NO42",1,0,0,0,0,0,0,"a"
"NO45",1,0,0,0,0,0,0,"a"
"NO75",0,0,0,0,0,1,0,
"NR39",1,0,0,0,0,0,0,
"NS27",1,0,0,0,0,0,0,"a"
"NS35",1,0,0,0,0,0,0,
"NS47",1,0,0,0,0,0,0,"a"
"NS56",1,0,0,0,0,0,0,"a"
"NS57",1,0,0,0,0,0,0,"a"
"NS66",1,0,0,0,0,0,0,"a"
"NS93",1,0,0,0,0,0,0,"a"
"NS98",1,0,0,0,0,0,0,"a"
"NT03",1,0,0,0,0,0,1,"a"
"NT08",1,0,0,0,0,0,0,"a"
"NT17",1,0,0,0,0,0,0,"a"
"NT18",1,0,0,0,0,0,0,"a"
"NT26",1,0,0,0,0,0,0,"a"
"NT27",1,0,1,1,0,0,0,"a"
"NT28",1,0,0,0,0,0,0,"a"
"NT29",0,0,1,0,0,0,0,"a"
"NT36",1,0,1,0,0,0,1,"a"
"NT39",0,0,1,0,0,0,0,"a"
"NT43",1,0,0,0,0,0,0,
"NT51",1,0,1,0,0,0,0,"a"
"NT53",1,0,1,0,0,0,0,"a"
"NT57",1,0,0,0,0,0,0,"a"
"NT58",1,0,0,0,0,0,0,"a"
"NT61",1,0,1,0,0,0,0,"a"
"NT75",1,1,0,0,0,0,0,"a"
"NT81",1,0,1,0,0,0,0,"a"
"NT83",0,0,0,0,0,0,1,
"NT86",1,0,0,0,0,0,0,"a"
"NU11",1,0,0,0,0,0,0,"a"
"NU21",1,0,0,0,0,0,0,"a"
"NU22",0,0,0,1,0,0,0,"a"
"NY45",0,0,0,0,0,0,1,
"NY62",0,0,0,0,0,1,0,
"NZ10",1,0,1,0,0,0,0,"a"
"NZ13",1,0,0,0,0,0,0,"a"
"NZ26",1,0,0,0,0,0,0,"a"
"NZ36",1,0,0,0,0,0,0,"a"
"NZ40",0,0,0,0,0,1,0,
"NZ41",0,0,0,0,0,1,0,
"NZ43",0,0,0,1,1,0,0,"a"
"NZ44",1,0,0,1,0,0,0,"a"
"NZ45",1,0,0,0,0,0,0,
"NZ50",0,0,0,0,0,0,1,
"NZ53",1,0,0,0,0,0,0,"a"
"NZ71",1,0,0,0,0,0,0,"a"
"O13",1,0,0,0,0,0,0,"a"
"O21",1,0,0,0,0,0,0,"a"
"O22",0,0,0,0,1,0,0,"a"
"O23",1,0,1,0,0,0,0,"a"
"Q40",1,0,0,0,0,0,0,"a"
"R14",0,0,0,0,1,0,0,"a"
"R25",0,0,0,0,1,0,0,"a"
"R35",0,0,0,0,1,0,0,"a"
"R55",1,0,0,0,1,0,0,"a"
"R66",1,0,0,0,0,0,0,"a"
"S51",0,0,0,0,0,1,0,
"SC39",0,0,0,0,0,1,0,
"SC49",0,0,0,1,1,0,0,"a"
"SD32",1,0,1,0,0,0,0,"a"
"SD33",1,0,1,0,0,0,0,"a"
"SD42",1,0,0,0,0,0,0,
"SD44",1,0,0,0,0,0,0,
"SD51",0,0,0,0,0,0,1,
"SD52",0,0,0,0,0,1,0,
"SD59",0,0,0,0,0,1,0,
"SD61",0,0,0,0,0,0,1,
"SD62",1,0,0,0,1,0,0,
"SD70",1,0,0,1,0,0,0,
"SD72",0,0,1,0,0,0,0,
"SD80",1,0,0,0,0,0,0,
"SD83",1,0,0,0,0,0,0,
"SE14",1,0,1,0,0,0,0,"a"
"SE22",0,0,0,0,1,0,0,"a"
"SE35",0,0,0,1,0,0,0,
"SE37",0,0,0,1,0,0,0,"a"
"SE38",1,0,0,0,0,0,0,"a"
"SE43",0,0,0,0,0,0,1,
"SE48",1,0,0,0,0,0,0,"a"
"SE64",1,0,0,0,0,0,0,"a"
"SE65",1,0,0,0,0,0,0,"a"
"SE72",1,0,0,0,0,0,0,"a"
"SE81",1,0,0,1,0,0,0,"a"
"SE90",1,0,0,0,0,0,0,
"SE93",1,0,0,0,0,0,0,"a"
"SE94",0,0,0,0,0,0,1,
"SE97",1,0,0,0,0,0,0,"a"
"SE98",1,0,0,0,0,0,0,"a"
"SH33",0,0,0,1,0,0,0,"a"
"SH37",0,0,0,0,0,0,1,
"SJ16",0,0,0,0,1,0,0,"a"
"SJ18",1,0,0,0,0,0,0,"a"
"SJ26",1,0,0,0,0,0,0,"a"
"SJ36",1,0,0,0,0,0,0,"a"
"SJ39",1,0,0,0,0,0,0,
"SJ40",0,0,0,1,0,0,0,"a"
"SJ46",0,0,0,0,0,0,1,
"SJ47",0,0,0,0,0,0,1,
"SJ48",1,0,0,0,0,0,1,
"SJ50",1,0,0,0,0,1,0,
"SJ59",0,0,0,0,1,0,0,
"SJ60",1,0,0,0,0,0,0,
"SJ69",0,0,0,1,0,1,0,
"SJ78",1,0,0,0,0,0,0,"a"
"SJ79",0,0,0,0,1,0,0,
"SJ80",0,0,0,0,1,0,1,"a"
"SJ81",1,0,0,0,0,0,0,"a"
"SJ89",0,0,0,1,0,0,0,
"SJ90",0,0,0,0,0,0,1,
"SJ94",1,0,0,0,0,0,0,"a"
"SJ95",1,0,0,0,0,0,0,"a"
"SJ99",0,0,0,0,1,0,0,"a"
"SK01",1,0,0,0,0,0,0,"a"
"SK04",1,0,0,0,0,0,0,"a"
"SK12",0,0,0,0,0,1,0,
"SK14",1,0,1,0,0,0,0,"a"
"SK22",0,0,0,1,0,0,0,"a"
"SK26",0,0,0,0,0,1,0,
"SK33",1,0,0,0,0,0,0,"a"
"SK36",0,0,1,0,1,0,0,"a"
"SK37",0,0,0,1,0,0,0,"a"
"SK38",0,0,0,0,0,1,0,
"SK39",0,0,0,0,1,0,0,"a"
"SK43",1,0,0,0,0,0,0,"a"
"SK44",1,0,1,0,0,0,1,"a"
"SK53",1,0,1,0,1,0,0,"a"
"SK54",1,0,0,0,0,0,0,
"SK56",0,0,1,0,0,0,0,
"SK57",1,0,1,0,0,0,0,"a"
"SK62",0,0,0,0,0,0,1,
"SK66",0,0,0,0,0,0,1,
"SK70",0,0,0,0,0,0,1,
"SK73",1,0,0,0,0,0,1,"a"
"SK79",0,0,0,0,0,0,1,
"SK81",0,0,0,0,0,0,1,
"SK85",0,0,1,0,0,0,0,
"SK89",1,0,0,0,0,0,0,"a"
"SK94",1,0,0,0,0,0,0,
"SK96",0,0,0,0,1,0,0,"a"
"SK97",1,0,0,0,0,0,0,
"SK99",1,0,0,0,0,0,0,
"SN40",0,0,0,0,0,0,1,
"SN56",0,0,0,0,1,0,0,
"SN58",1,0,0,0,0,0,0,"a"
