"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NH19",0,0,0,0,0,0,1,
"SE32",0,0,0,0,0,0,1,
"SE54",0,0,0,0,0,0,1,
"SE62",0,0,0,0,0,0,1,
"SK53",0,0,0,0,0,1,0,
"SK55",0,0,0,0,0,1,0,
"SN14",0,0,0,0,1,0,1,
"SN24",0,0,0,0,1,0,0,
"SN44",0,0,0,0,1,0,0,
"SN46",0,0,0,0,1,0,0,
"SN54",0,0,0,0,1,0,0,
"SN57",0,0,0,0,1,0,0,
"SN58",0,0,0,0,1,0,0,
"SN67",0,0,0,0,1,0,0,
"SN69",0,0,0,0,1,0,0,
"SO02",0,0,0,0,0,0,1,
"SO78",0,0,0,0,0,1,0,
"SP07",0,0,0,0,0,1,0,
"SP84",0,0,0,0,1,0,0,
"SS59",0,0,0,0,0,0,1,
"SU22",0,0,0,0,0,0,1,
"SZ19",0,0,0,0,0,0,1,
