"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"S60",0,0,0,0,0,1,0,
"SD20",0,0,0,0,0,1,1,
"SD21",0,0,0,0,0,1,1,
"SD30",0,0,0,0,0,1,0,
"SD31",0,0,0,0,0,1,1,
"SD32",0,0,0,0,0,0,1,
"SD33",0,0,0,0,0,0,1,
"SD34",0,0,0,0,0,0,1,
"SD40",0,0,0,0,0,1,0,
"SD43",0,0,0,0,0,0,1,
"SD46",0,0,0,0,0,0,1,
"SD52",0,0,0,0,0,0,1,
"SD60",0,0,0,0,0,1,1,
"SD62",0,0,0,0,0,0,1,
"SD70",0,0,0,0,0,0,1,
"SH28",0,0,0,0,0,1,0,
"SH36",0,0,0,0,0,1,1,
"SJ28",0,0,0,0,0,1,0,
"SJ29",0,0,0,0,0,1,0,
"SJ39",0,0,0,0,0,0,1,
"SJ48",0,0,0,0,0,0,1,
"SJ57",0,0,0,0,0,0,1,
"SJ58",0,0,0,0,0,1,0,
"SJ59",0,0,0,0,0,0,1,
"SJ68",0,0,0,0,0,1,0,
"SJ69",0,0,0,0,0,1,0,
"SK45",0,0,0,0,0,0,1,
"SK53",0,0,0,0,0,1,1,
"SK54",0,0,0,0,0,1,1,
"SK55",0,0,0,0,0,0,1,
"SK57",0,0,0,0,0,0,1,
"SK58",0,0,0,0,0,0,1,
"SK63",0,0,0,0,0,1,0,
"SK65",0,0,0,0,0,0,1,
"SK75",0,0,0,0,0,0,1,
"SN30",0,0,0,0,1,0,0,"a"
"SN42",0,0,0,0,1,0,0,"a"
"SN50",0,0,0,0,0,1,0,
"SN73",0,0,0,0,1,0,0,"a"
"SO04",0,0,0,0,0,1,0,
"SO55",0,0,0,0,1,0,0,"a"
"SO98",0,0,0,0,0,1,0,
"SP03",0,0,0,1,0,0,0,"a"
"SP87",0,0,0,0,0,1,0,
"SS43",0,0,0,0,0,1,0,
"SS49",0,0,0,0,1,1,0,"a"
"SS79",0,0,0,1,0,1,0,"a"
"ST36",0,0,0,0,1,0,0,"a"
"ST38",0,0,0,0,0,1,0,
"ST46",0,0,0,0,0,0,1,
"ST64",0,0,0,0,0,0,1,
"SU28",0,0,0,0,0,0,1,
"SU46",0,0,0,0,0,0,1,
"SU56",0,0,0,0,0,0,1,
"SU57",0,0,0,0,0,0,1,
"SU77",0,0,0,0,1,0,0,
"SU86",0,0,0,0,0,1,0,
"SU87",0,0,0,0,1,0,1,
"SU96",0,0,0,0,0,1,1,
"SU97",0,0,0,0,0,0,1,
"SV81",0,0,0,0,1,1,0,"a"
"SV91",0,0,0,0,1,1,0,"a"
"SX35",0,0,0,0,1,0,0,"a"
"SX97",0,0,0,0,1,1,1,"a"
"SX98",0,0,1,0,0,1,1,
"SY28",0,0,0,0,1,0,0,"a"
"SY88",0,0,0,0,0,1,0,
"SZ07",0,0,0,0,0,1,0,
"SZ09",0,0,0,0,0,1,0,
"SZ19",0,0,0,0,1,0,0,
"SZ29",0,0,0,0,0,0,1,
"TF94",0,0,0,0,0,1,1,
"TG04",0,0,0,1,1,0,0,"a"
"TL04",0,0,0,0,0,1,0,
"TL46",0,0,0,0,0,1,0,
"TM14",0,0,0,1,0,0,0,"a"
"TQ05",0,0,0,0,0,0,1,
"TQ06",0,0,0,0,0,0,1,
"TQ08",0,0,0,0,0,1,0,
"TQ16",0,0,0,0,0,1,1,
"TQ17",0,0,0,0,0,1,0,
"TQ19",0,0,0,0,0,0,1,
"TQ28",0,0,0,0,0,0,1,
"TQ34",0,0,0,0,0,1,0,
"TQ37",0,0,0,0,0,0,1,
"TR02",0,0,0,0,1,0,0,"a"
"TR34",0,0,0,0,1,0,1,"a"
"V55",0,0,0,0,0,1,0,
