"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NY22",0,0,0,1,0,0,0,"a"
"SD31",0,0,0,0,0,0,1,
"SK22",1,0,1,0,0,0,0,"a"
"SK96",0,0,0,0,0,0,1,
"SO74",0,0,0,0,0,0,1,
"SP07",0,0,0,0,0,1,0,
"SP40",0,0,0,0,0,0,1,
"SP50",0,1,0,0,0,0,0,"a"
"SS94",0,0,0,0,0,1,0,
"ST22",0,0,0,0,0,1,0,
"ST57",0,0,0,0,1,0,0,"a"
"ST86",0,0,0,0,0,0,1,
"SU40",0,0,0,0,0,1,0,
"SU60",0,0,0,0,0,1,0,
"SU67",0,0,0,0,0,0,1,
"SU73",0,0,1,0,0,0,0,"a"
"SU74",0,0,0,0,0,1,0,
"SU77",0,0,0,0,0,0,1,
"SV80",0,0,0,0,0,1,0,
"SZ07",0,0,0,0,0,0,1,
"SZ69",0,0,1,0,0,1,0,
"TF84",0,0,0,0,0,1,0,
"TL02",1,0,0,0,0,0,0,"a"
"TL30",0,0,0,1,0,0,0,"a"
"TL31",0,0,0,0,1,0,0,"a"
"TL92",0,0,0,0,0,0,1,
"TM08",0,0,0,0,0,0,1,
"TM13",0,0,0,0,1,0,0,"a"
"TQ08",1,0,0,0,0,0,1,"a"
"TQ09",1,0,1,0,0,0,0,"a"
"TQ16",0,0,0,1,0,0,1,
"TQ17",0,0,0,0,0,1,1,
"TQ26",0,0,0,0,0,0,1,
"TQ27",0,0,0,0,0,0,1,
"TQ28",0,0,0,0,0,1,1,
"TQ29",0,0,0,0,0,0,1,
"TQ37",0,0,0,0,0,1,1,
"TQ38",0,0,0,0,0,0,1,
"TQ48",0,0,1,1,0,0,0,"a"
"TQ49",0,0,0,0,0,0,1,
"TQ57",0,0,0,1,1,0,0,"a"
"TQ58",0,0,0,0,0,1,1,
"TQ75",0,0,0,0,0,1,1,
"TR06",0,0,0,0,0,0,1,
"TR13",0,1,0,0,0,0,0,"a"
