"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NC40",0,0,0,0,0,0,1,
"NC50",0,0,0,0,0,0,1,
"NC80",0,0,0,0,0,0,1,
"NC90",0,0,0,0,0,0,1,
"ND01",0,0,0,0,0,0,1,
"NG83",0,0,0,0,0,0,1,
"NG92",0,0,0,0,0,0,1,
"NH59",0,0,0,0,0,0,1,
"NH68",0,0,0,0,0,0,1,
"NH69",0,0,0,0,0,0,1,
"NH78",0,0,0,0,0,0,1,
"NH89",0,0,0,0,0,0,1,
"NN95",0,0,0,0,0,0,1,
"NT27",0,0,0,0,0,0,1,
"NU00",0,0,0,0,1,0,0,
"NU05",0,0,0,0,0,0,1,
"NU13",0,0,0,0,0,0,1,
"NY30",0,0,0,0,0,0,1,
"SC16",0,0,0,0,0,0,1,
"SC27",0,0,0,0,1,0,0,"a"
"SC37",0,0,0,0,1,0,0,"a"
"SC39",0,0,0,0,1,0,1,
"SC48",0,0,0,0,1,0,0,"a"
"SD49",0,0,0,0,0,1,0,
"SD84",0,0,0,0,0,0,1,
"SD85",0,0,0,0,0,0,1,
"SD86",0,0,0,0,0,0,1,
"SD94",0,0,0,0,0,0,1,
"SE13",0,0,0,0,0,1,0,
"SK26",0,0,0,0,0,0,1,
"SK67",0,0,0,0,0,0,1,
"SO85",0,0,0,0,0,1,0,
"SO99",0,0,0,0,1,0,0,
"SP09",0,0,0,0,0,1,0,
"SP62",0,0,0,1,0,0,0,"a"
"SU28",0,0,0,0,1,0,0,"a"
"SU38",0,0,0,0,1,0,0,"a"
"SU46",0,0,0,0,0,0,1,
"SU49",0,0,0,0,0,0,1,
"SU58",0,0,0,0,0,0,1,
"SU67",0,0,0,0,0,0,1,
"SU68",0,0,0,0,1,0,0,"a"
"SU77",0,0,0,0,1,0,0,"a"
"SU86",0,0,0,0,1,0,1,"a"
"SU87",0,0,0,0,1,0,0,"a"
"SU88",0,0,0,0,0,0,1,
"SU93",0,0,0,0,0,0,1,
"SU97",0,0,0,0,1,0,1,"a"
"TA10",0,0,0,0,0,0,1,
"TF01",0,0,0,0,0,0,1,
"TL00",0,0,0,0,0,0,1,
"TL11",0,0,0,0,1,0,0,
"TQ04",0,0,0,0,0,0,1,
"TQ05",0,0,0,0,0,0,1,
"TQ06",0,0,0,0,0,0,1,
"TQ07",0,0,0,0,0,0,1,
"TQ08",0,0,0,0,0,1,0,
"TQ16",0,0,0,0,0,0,1,
"TQ17",0,0,0,0,0,0,1,
"TQ18",0,0,0,0,0,1,1,
"TQ25",0,0,0,0,1,0,0,"a"
"TQ26",0,0,0,0,0,0,1,
"TQ27",0,0,0,0,0,0,1,
"TQ28",0,0,0,0,0,1,1,
"TQ29",0,0,0,0,0,0,1,
"TQ35",0,0,0,0,0,0,1,
"TQ36",0,0,0,0,0,0,1,
"TQ37",0,0,0,0,0,0,1,
"TQ39",0,0,0,0,0,0,1,
"TQ45",0,0,0,0,0,0,1,
"TQ47",0,0,0,0,0,0,1,
"TQ57",0,0,0,0,0,0,1,
"TQ59",0,0,0,0,0,0,1,
"TQ80",0,0,0,0,1,0,0,
