"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"SE13",0,0,0,0,1,0,0,"a"
"SE92",0,0,0,1,0,0,0,"a"
"SJ84",0,0,0,1,0,0,0,"a"
"SK22",1,1,1,0,0,0,0,"a"
"SK28",0,0,0,1,0,0,0,
"SK46",0,0,0,1,0,0,0,"a"
"SK75",0,0,0,1,0,0,0,"a"
"SO60",0,0,1,0,0,0,0,"a"
"SO83",1,0,1,0,0,0,0,"a"
"SP47",0,0,1,0,0,0,0,"a"
"ST27",0,1,0,0,0,0,0,"a"
"SU73",0,0,1,0,0,0,0,
"SZ57",0,0,1,0,0,0,0,"a"
"TA20",0,0,1,0,0,0,0,"a"
"TA21",1,0,1,0,0,0,0,"a"
"TA30",1,0,1,0,0,0,0,"a"
"TF07",0,0,1,0,0,0,0,"a"
"TF80",0,0,0,1,0,0,0,"a"
"TQ25",0,0,1,0,0,0,0,"a"
