"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NG72",0,0,0,0,0,0,1,
"NG77",0,0,0,0,0,0,1,
"NG83",0,0,0,0,0,0,1,
"NG88",0,0,0,0,0,0,1,
"NH78",0,0,0,0,0,0,1,
"SK45",0,0,0,0,0,0,1,
"SK47",0,0,0,0,0,0,1,
"SU29",0,0,0,0,0,0,1,
"SU48",0,0,0,0,0,0,1,
"SU97",0,0,0,0,1,0,0,
"SW62",0,0,0,0,0,0,1,
"SW63",0,0,0,0,0,0,1,
"SX09",0,0,0,0,1,0,0,
"TG14",0,0,0,0,0,0,1,
"TQ06",0,0,0,0,0,0,1,
"TQ17",0,0,0,0,0,0,1,
"TQ18",0,0,0,0,0,0,1,
"TQ20",0,0,0,0,0,1,0,
"TQ25",0,0,0,0,0,0,1,
"TQ26",0,0,0,0,0,0,1,
"TQ27",0,0,0,0,0,0,1,
"TQ28",0,0,0,0,0,0,1,
"TQ37",0,0,0,0,0,0,1,
"TQ38",0,0,0,0,0,0,1,
"TQ46",0,0,0,0,0,0,1,
"TQ48",0,0,0,0,0,0,1,
"TQ52",0,0,0,0,0,1,0,
"TQ60",0,0,0,0,0,1,0,
"TQ71",0,0,0,0,0,0,1,
"TQ82",0,0,0,0,0,0,1,
"TR01",0,0,0,0,0,0,1,
"TR02",0,0,0,0,0,0,1,
"TV59",0,0,0,0,0,1,1,
