"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NS56",0,0,0,0,0,1,1,
"NS66",0,0,0,0,0,1,0,
"NT04",0,0,0,0,0,1,0,
"NZ40",0,0,0,0,0,1,0,
"NZ52",0,0,0,0,0,0,1,
"S81",0,0,0,0,0,0,1,
"SD77",0,0,0,0,0,0,1,
"SD87",0,0,0,0,0,0,1,
"SE03",0,0,0,0,0,0,1,
"SE05",0,0,0,0,0,0,1,
"SE13",0,0,0,0,1,1,1,
"SE22",0,0,0,0,0,0,1,
"SE25",0,0,0,0,0,0,1,
"SE32",0,0,0,0,0,0,1,
"SJ08",0,0,0,0,0,0,1,
"SJ17",0,0,0,0,0,0,1,
"SJ46",0,0,0,0,1,0,0,
"SJ58",0,0,0,0,0,0,1,
"SJ66",0,0,0,0,0,0,1,
"SJ82",0,0,0,0,0,1,0,
"SJ84",0,0,0,0,0,0,1,
"SJ85",0,0,0,0,0,1,0,
"SJ87",0,0,0,0,0,0,1,
"SJ90",0,0,0,0,0,1,0,
"SJ92",0,0,0,0,0,1,1,
"SJ94",0,0,0,0,0,1,0,
"SJ98",0,0,0,0,0,0,1,
"SK01",0,0,0,0,0,1,0,
"SK04",0,0,0,0,0,1,1,
"SK07",0,0,0,0,0,1,0,
"SK16",0,0,0,0,0,0,1,
"SK34",0,0,0,0,0,0,1,
"SK43",0,0,0,0,0,1,1,
"SK45",0,0,0,0,0,1,1,
"SK46",0,0,0,0,0,1,0,
"SK52",0,0,0,0,0,1,0,
"SK53",0,0,0,0,0,1,1,
"SK54",0,0,0,0,0,1,1,
"SK55",0,0,0,0,0,1,1,
"SK56",0,0,0,0,0,1,1,
"SK57",0,0,0,0,0,0,1,
"SK58",0,0,0,0,0,0,1,
"SK63",0,0,0,0,1,1,1,
"SK64",0,0,0,0,1,1,1,
"SK65",0,0,0,0,0,0,1,
"SK66",0,0,0,0,0,0,1,
"SK67",0,0,0,0,0,0,1,
"SK68",0,0,0,0,0,1,1,
"SK69",0,0,0,0,0,0,1,
"SK73",0,0,0,0,1,1,1,
"SK74",0,0,0,0,0,0,1,
"SK75",0,0,0,0,0,0,1,
"SK76",0,0,0,0,0,1,1,
"SK77",0,0,0,0,0,0,1,
"SK80",0,0,0,0,0,0,1,
"SK84",0,0,0,0,0,0,1,
"SK85",0,0,0,0,0,1,1,
"SK98",0,0,0,0,0,0,1,
"SN66",0,0,0,0,1,0,0,
"SN81",0,0,0,0,0,0,1,
"SO24",0,0,0,0,0,0,1,
"SO76",0,0,0,0,0,1,0,
"SO77",0,0,0,0,1,1,0,
"SO83",0,0,0,0,0,1,1,
"SO84",0,0,0,0,1,1,1,
"SO85",0,0,0,0,0,0,1,
"SO86",0,0,0,0,0,1,0,
"SO87",0,0,0,0,0,1,0,
"SO88",0,0,0,0,1,1,0,
"SO89",0,0,0,0,0,1,1,
"SO93",0,0,0,0,0,0,1,
"SO94",0,0,0,0,0,0,1,
"SO96",0,0,0,0,0,1,1,
"SO97",0,0,0,0,0,1,1,
"SO98",0,0,0,0,0,1,0,
"SO99",0,0,0,0,0,1,0,
"SP06",0,0,0,0,0,0,1,
"SP07",0,0,0,0,0,1,0,
"SP09",0,0,0,0,0,1,1,
"SP17",0,0,0,0,0,1,0,
"SP19",0,0,0,0,0,1,0,
"SP83",0,0,0,0,1,0,0,
"SU10",0,0,0,0,0,0,1,
"SU24",0,0,0,0,0,0,1,
"SU60",0,0,0,0,0,1,0,
"SU61",0,0,0,0,0,0,1,
"SU62",0,0,0,0,0,0,1,
"SU70",0,0,0,0,0,0,1,
"SU71",0,0,0,0,0,0,1,
"SU72",0,0,0,0,0,1,0,
"SU83",0,0,0,0,0,1,0,
"SU90",0,0,0,0,0,0,1,
"SU95",0,0,0,0,0,0,1,
"SU96",0,0,0,0,0,0,1,
"SX87",0,0,0,0,0,0,1,
"SY98",0,0,0,0,0,1,1,
"SZ29",0,0,0,0,0,0,1,
"SZ79",0,0,0,0,0,0,1,
"SZ89",0,0,0,0,0,0,1,
"SZ99",0,0,0,0,0,0,1,
"TF04",0,0,0,0,0,0,1,
"TF36",0,0,0,0,0,0,1,
"TF45",0,0,0,0,0,0,1,
"TF90",0,0,0,0,0,0,1,
"TG02",0,0,0,0,0,0,1,
"TG11",0,0,0,0,0,0,1,
"TG13",0,0,0,0,0,0,1,
"TG20",0,0,0,0,0,0,1,
"TG22",0,0,0,0,0,0,1,
"TG23",0,0,0,0,0,0,1,
"TG40",0,0,0,0,0,0,1,
"TG51",0,0,0,0,0,0,1,
"TL07",0,0,0,0,0,0,1,
"TL16",0,0,0,0,0,1,1,
"TL17",0,0,0,0,0,1,0,
"TL35",0,0,0,0,0,0,1,
"TL99",0,0,0,0,0,0,1,
"TM09",0,0,0,0,0,0,1,
"TM34",0,0,0,0,0,0,1,
"TM49",0,0,0,0,0,0,1,
"TQ04",0,0,0,0,0,0,1,
"TQ05",0,0,0,0,0,1,0,
"TQ06",0,0,0,0,1,0,0,
"TQ10",0,0,0,0,0,0,1,
"TQ16",0,0,0,0,1,0,0,
"TQ18",0,0,0,0,0,0,1,
"TQ25",0,0,0,0,0,1,0,
"TQ26",0,0,0,0,0,0,1,
"TQ28",0,0,0,0,1,0,0,
