"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NH85",0,0,1,0,0,0,0,"a"
"NU00",0,0,0,0,0,0,1,
"NX84",0,0,0,0,1,0,0,"a"
"R55",1,0,0,0,0,0,0,"a"
"SC39",0,0,0,0,1,0,0,"a"
"SC49",0,0,0,0,1,0,0,
"SD31",1,0,0,0,0,0,0,
"SD32",0,0,1,1,0,0,0,"a"
"SD46",0,0,0,0,0,1,0,
"SD59",0,0,0,0,0,1,0,
"SD81",1,0,0,0,0,0,0,
"SD90",1,0,0,0,0,0,0,
"SE13",0,0,0,0,1,0,1,"a"
"SE25",0,0,0,0,0,0,1,
"SE72",0,0,0,0,1,0,0,"a"
"SJ15",0,0,0,0,0,0,1,
"SJ39",1,0,0,0,0,0,0,
"SJ51",0,0,0,0,0,0,1,
"SJ56",0,0,0,0,0,0,1,
"SJ57",0,0,0,0,0,0,1,
"SJ75",0,0,0,0,0,0,1,
"SJ76",0,0,0,0,0,0,1,
"SJ84",0,0,0,0,0,0,1,
"SJ86",0,0,0,0,0,0,1,
"SK00",0,0,0,0,0,1,0,
"SK33",0,0,0,0,0,0,1,
"SK38",0,0,0,0,0,1,0,
"SK53",0,0,0,0,0,1,0,
"SK54",0,0,0,0,0,1,0,
"SK62",0,0,0,0,0,0,1,
"SK64",0,0,0,0,0,0,1,
"SK73",0,0,0,0,1,0,0,"a"
"SK93",0,0,0,0,0,1,0,
"SK99",0,0,0,0,1,0,0,
"SN58",0,0,0,0,1,0,0,"a"
"SO81",1,0,0,1,0,0,0,"a"
"SO82",1,0,0,0,0,0,0,"a"
"SO83",0,0,0,0,0,0,1,
"SO89",0,0,0,0,0,1,0,
"SP08",0,0,0,1,0,1,0,"a"
"SP09",0,0,0,0,1,0,0,"a"
"SP18",0,0,0,0,0,1,0,
"SP66",0,0,0,0,0,0,1,
"SP75",0,0,0,0,1,0,0,"a"
"SP83",0,0,0,0,0,1,0,
"SP88",0,0,0,0,0,0,1,
"SP89",0,0,0,0,0,0,1,
"SP92",0,0,0,1,0,0,0,
"SS20",0,0,0,0,0,0,1,
"SS70",0,0,0,0,0,1,0,
"SS84",0,0,0,1,1,0,0,"a"
"ST12",0,0,0,0,0,0,1,
"ST30",0,0,0,0,1,0,0,
"ST34",0,0,0,0,0,0,1,
"ST39",0,0,0,0,0,0,1,
"ST43",0,0,0,0,1,0,1,"a"
"ST44",0,0,0,0,1,0,1,"a"
"ST45",0,0,0,0,0,0,1,
"ST47",0,0,0,0,1,0,1,"a"
"ST51",0,0,0,0,0,0,1,
"ST52",0,0,0,0,1,0,1,
"ST53",0,0,0,0,0,0,1,
"ST56",0,0,0,0,0,0,1,
"ST57",1,1,0,0,1,0,0,"a"
"ST59",0,0,0,1,0,1,0,
"ST63",0,0,0,0,1,0,1,"a"
"ST67",1,1,0,0,1,0,0,"a"
"ST68",0,0,0,0,0,0,1,
"ST79",0,0,0,0,0,1,0,
"ST83",0,0,0,0,0,0,1,
"ST84",0,0,0,0,1,0,0,
"ST85",0,0,0,1,0,0,0,
"ST86",0,0,0,0,0,0,1,
"ST87",0,0,0,0,0,0,1,
"ST96",1,0,0,0,0,0,1,"a"
"ST97",1,0,0,0,0,0,0,"a"
"SU10",0,0,0,0,0,0,1,
"SU12",0,0,0,0,0,0,1,
"SU30",0,0,0,0,0,1,1,
"SU41",0,0,0,0,1,1,0,"a"
"SU43",0,0,0,0,0,0,1,
"SU60",0,0,0,0,0,1,0,
"SU72",0,0,0,0,0,0,1,
"SU73",0,0,1,0,0,0,1,
"SU88",0,0,0,0,0,0,1,
"SU89",0,0,0,0,0,1,0,
"SU90",0,0,0,0,0,1,0,
"SU95",0,0,0,0,0,1,0,
"SW33",1,0,0,0,0,0,0,"a"
"SW43",1,0,0,0,0,0,0,"a"
"SW63",0,0,0,0,0,1,0,
"SW64",0,0,0,0,1,0,0,"a"
"SW83",1,0,0,0,0,0,0,
"SX45",0,0,0,0,0,1,1,
"SY78",0,0,0,0,0,0,1,
"SY79",0,0,0,0,0,0,1,
"SY88",0,0,0,0,0,0,1,
"SY98",0,0,0,0,0,1,0,
"SZ08",0,0,0,0,1,1,0,
"SZ09",0,0,0,0,0,0,1,
"SZ19",0,0,0,0,0,0,1,
"SZ39",0,0,0,0,0,1,0,
"SZ79",0,0,0,0,1,0,0,"a"
"TA02",1,0,0,0,1,0,0,"a"
"TA32",0,0,0,0,1,0,0,"a"
"TF72",0,1,0,0,0,0,0,
"TF73",0,1,0,0,0,0,0,"a"
"TG23",0,0,0,0,0,1,0,
"TL02",0,0,0,1,0,0,0,
