"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"HY20",0,0,0,0,0,0,1,
"NB02",0,0,0,0,0,1,0,
"NM63",0,0,0,1,0,0,0,
"NY30",0,0,1,1,0,0,0,
"NY42",0,0,1,1,0,0,0,
"NY76",0,0,1,0,0,0,0,
"SD39",0,0,0,1,0,0,0,
"SD77",1,0,0,0,0,0,0,
"SH53",0,0,1,0,0,0,0,
"SH54",0,0,1,1,0,0,0,
"SH56",0,0,1,0,0,1,0,
"SH64",0,0,1,0,0,0,0,
"SH65",1,0,0,1,0,0,0,
"SH66",0,0,0,0,1,0,0,
"SH71",1,0,1,0,0,0,0,
"SH77",0,0,0,1,0,0,0,
"SN78",0,0,0,0,1,0,0,
"SN94",0,0,0,0,0,1,0,
"ST91",0,0,0,0,1,0,0,
