"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B61",1,0,1,0,1,1,0,"n"
"B70",0,0,1,0,1,1,1,"n"
"B71",0,0,0,0,1,0,0,
"B72",0,0,0,0,1,1,1,"n"
"B82",0,0,0,0,0,0,1,
"B83",0,0,0,0,1,1,1,"n"
"B84",0,0,0,0,0,0,1,
"B92",1,0,0,0,0,0,0,"n"
"B93",1,0,0,0,1,1,1,"n"
"C03",0,0,1,0,1,1,1,"n"
"C04",0,0,0,0,0,0,1,
"C13",0,0,0,0,0,0,1,
"C14",0,0,1,0,1,1,1,"n"
"C23",0,0,0,0,0,0,1,
"C24",1,0,0,0,1,0,1,"n"
"C32",0,0,0,0,0,1,1,
"C33",0,0,0,0,1,0,1,"n"
"C34",0,0,0,0,1,0,0,"n"
"C45",0,0,0,0,0,1,1,
"C54",0,0,1,0,1,0,1,"n"
"C55",0,0,0,0,0,0,1,
"C63",1,0,1,1,1,1,1,"n"
"C64",0,0,1,0,0,1,1,"n"
"C73",1,1,0,1,1,1,0,"n"
"C83",0,0,1,0,1,1,1,"n"
"C84",0,0,0,1,1,0,1,"n"
"C94",0,0,0,1,0,0,1,
"D04",1,0,1,1,1,0,1,"n"
"D14",1,0,1,1,0,0,1,"n"
"D15",0,0,0,0,0,0,1,
"D22",1,0,0,1,1,0,1,"n"
"D23",0,0,0,0,0,0,1,
"D40",0,0,0,0,1,1,1,"n"
"F52",1,0,0,0,0,0,0,"n"
"F60",0,0,1,0,0,0,0,"n"
"F61",0,0,0,0,0,0,1,
"F62",0,0,0,0,1,0,1,"n"
"F63",0,0,0,0,0,0,1,
"F71",0,0,0,0,1,0,1,"n"
"F72",0,0,0,0,0,0,1,
"F73",0,0,0,0,0,0,1,
"G13",0,0,0,0,1,0,1,
"G22",0,0,0,0,1,0,1,"n"
"G23",0,0,0,0,1,0,1,"n"
"G43",0,0,0,0,0,0,1,
"G48",0,0,1,0,0,0,0,"n"
"G53",0,0,0,0,1,1,1,"n"
"G54",0,0,0,0,1,1,1,"n"
"G57",0,0,0,0,0,0,1,
"G58",0,0,0,0,0,0,1,
"G63",0,0,0,0,1,1,1,"n"
"G64",0,0,0,0,1,1,1,"n"
"G65",0,0,0,0,1,1,1,"n"
"G67",0,0,1,0,1,0,1,"n"
"G69",0,0,0,0,0,0,1,
"G75",0,0,0,0,0,0,1,
"G77",0,0,0,0,0,1,1,
"G79",0,0,0,0,1,0,1,"n"
"G85",0,0,0,0,0,0,1,
"G86",0,0,0,0,1,1,1,"n"
"G87",0,0,0,1,1,1,1,"n"
"HP50",0,0,1,0,0,0,1,"n"
"HP60",1,0,0,0,0,0,0,"n"
"HP61",1,0,1,0,1,1,1,"n"
"HT93",1,0,0,0,0,0,0,"n"
"HU15",0,0,0,0,1,0,0,"n"
"HU27",0,0,1,0,1,1,1,"n"
"HU28",0,0,0,0,1,0,0,"n"
"HU31",0,0,1,1,1,1,1,"n"
