"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"J36",1,0,0,0,0,0,0,
"NT35",1,0,0,0,0,0,0,
"NT39",0,0,1,0,0,0,0,
"NZ04",0,0,0,0,1,0,0,
"NZ36",1,0,0,0,0,0,0,
"NZ53",1,0,0,0,0,0,0,
"SE13",0,0,0,0,1,0,0,
"SE43",0,0,0,0,0,1,1,
"SE82",0,0,0,0,0,0,1,
"SH53",0,0,0,0,0,0,1,
"SJ36",0,0,0,1,0,0,0,
"SJ39",1,0,0,0,0,0,0,
"SJ46",1,0,0,0,0,0,0,
"SK57",0,0,0,0,0,0,1,
"SK60",0,0,0,0,0,0,1,
"SP26",1,0,0,0,0,0,0,
"SP36",1,0,0,0,0,0,0,
"SP41",1,0,0,0,0,0,0,
"SP53",0,0,0,0,1,0,0,
"SP77",0,0,0,0,0,0,1,
"SS79",1,0,0,0,0,0,0,
"ST84",0,0,0,0,0,1,0,
"ST93",0,0,0,0,1,0,0,
"SU20",1,0,0,0,0,0,0,
"SU36",0,0,0,0,0,1,0,
"SU57",0,0,1,0,0,0,0,
"SU58",0,0,1,0,0,0,0,
"SU67",1,0,0,0,1,0,0,
"SU68",0,0,0,0,0,0,1,
"SU85",0,0,1,0,0,0,0,
"SU86",1,0,0,0,0,0,0,
"SU89",0,0,0,0,1,0,0,
"SW64",0,0,0,0,1,0,0,
"SW81",0,0,0,0,1,0,0,
"SX99",0,0,0,1,0,0,0,
"SZ19",1,0,0,0,0,0,0,
"SZ39",1,0,0,0,0,0,0,
"TL09",0,0,0,0,0,0,1,
"TL19",0,0,0,0,0,1,0,
"TL86",1,0,0,0,0,0,0,
"TM11",0,0,0,0,0,0,1,
"TM14",0,0,0,0,0,1,0,
"TM47",0,0,0,0,1,0,0,
"TQ05",1,0,0,0,0,0,0,
"TQ06",0,1,0,0,0,0,0,
"TQ16",1,0,0,0,0,0,0,
"TQ17",1,0,0,0,0,1,0,
"TQ19",0,0,0,0,1,0,0,
"TQ21",1,0,0,0,0,0,0,
"TQ25",1,0,0,0,0,0,0,
"TQ26",1,0,0,0,0,0,0,
"TQ27",1,0,0,0,0,0,0,
"TQ28",1,0,0,0,0,0,0,
"TQ31",1,0,0,0,0,0,0,
"TQ35",1,0,0,0,0,0,0,
"TQ37",1,0,0,0,0,0,0,
"TQ40",1,0,0,0,0,0,0,
"TQ46",1,0,0,0,0,0,0,
"TQ48",1,0,0,0,0,0,0,
"TQ75",1,0,1,0,0,0,0,
"TQ81",1,0,0,0,0,0,0,
"TQ86",0,0,1,0,0,0,0,
"TQ98",0,0,0,0,0,0,1,
"TR34",0,0,1,0,0,0,0,
"TR35",0,0,1,0,0,0,0,
"WA50",0,1,0,0,1,0,0,
"WA60",0,0,0,0,1,0,0,
"WV27",1,0,0,0,0,0,0,
"WV38",1,0,0,0,0,0,0,
"WV54",0,1,0,0,0,0,0,
"X79",0,0,0,0,0,0,1,
