"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B84",1,0,0,0,1,1,0,"n"
"B93",0,0,1,0,1,1,1,"n"
"C03",1,0,0,0,0,0,0,"n"
"C14",1,0,1,0,1,0,1,"n"
"C24",1,0,0,0,0,0,0,"n"
"C45",0,0,0,0,0,1,1,
"D05",0,0,0,0,1,0,0,"n"
"D22",1,0,0,0,0,0,0,"n"
"D32",0,0,0,0,0,1,0,
"F51",1,0,0,0,0,0,0,"n"
"F52",1,0,0,0,0,0,0,"n"
"F62",0,0,0,0,1,0,0,
"F63",0,0,1,0,1,0,1,"n"
"G22",0,0,0,0,1,0,0,
"G47",0,0,0,0,1,0,1,"n"
"G54",0,0,0,0,1,1,1,"n"
"G57",0,0,1,0,1,0,1,"n"
"G63",0,0,1,0,1,0,0,"n"
"G64",0,0,1,0,1,1,1,"n"
"G69",0,0,0,0,1,1,1,"n"
"G76",0,0,0,0,1,1,1,"n"
"G77",0,0,1,0,0,0,0,"n"
"J10",0,0,0,0,0,0,1,
"J31",0,0,0,0,0,1,1,
"J32",0,0,1,0,0,1,1,"n"
"J33",0,0,0,0,0,1,1,
"J43",0,0,0,1,1,1,1,"n"
"J48",1,0,0,0,1,0,0,"n"
"J53",1,0,1,1,1,1,1,"n"
"J54",0,1,1,0,0,0,0,"n"
"J55",0,0,1,1,1,1,1,"n"
"J58",0,0,1,1,1,0,1,"n"
"J64",0,0,1,0,0,0,1,"n"
"J65",1,0,1,0,0,1,0,"n"
"J66",0,0,0,0,1,0,0,"n"
"L46",1,0,0,0,0,0,0,"n"
"L54",0,0,1,1,1,1,1,"n"
"L55",0,0,1,1,1,0,1,"n"
"L56",1,0,0,0,1,1,1,"n"
"L63",1,0,1,0,1,0,1,"n"
"L64",0,0,0,0,1,1,0,"n"
"L65",0,0,0,0,1,0,1,"n"
"L67",1,0,0,0,0,0,0,"n"
"L68",1,0,0,0,0,0,1,"n"
"L69",0,0,0,0,0,0,1,
"L71",0,0,0,1,1,0,1,"n"
"L73",0,0,0,0,1,0,0,"n"
"L76",0,0,0,0,0,0,1,
"L79",0,0,1,0,0,0,0,"n"
"L80",1,0,1,0,1,0,1,"n"
"L81",0,0,0,0,0,0,1,
"L82",0,0,1,1,1,1,1,"n"
"L89",0,0,1,0,0,0,0,"n"
"L90",1,0,0,0,1,1,1,"n"
"L92",0,0,0,0,0,0,1,
"M00",1,0,1,0,1,1,1,"n"
"M02",0,0,0,0,0,1,1,
"M10",0,0,1,1,1,1,1,"n"
"M11",0,0,1,0,0,1,1,"n"
"M12",0,0,0,1,0,0,1,"n"
"M21",0,0,0,0,1,1,1,"n"
"M31",0,0,0,0,0,0,1,
"NA93",1,0,0,0,0,0,0,"n"
"NB03",1,1,0,0,1,1,1,"n"
"NB10",0,1,0,0,0,0,0,"n"
"NC86",0,0,1,0,0,0,0,"n"
"NM26",0,0,0,0,0,1,1,
"NM46",0,0,1,1,0,0,1,"n"
"NO64",0,0,0,0,0,1,0,
"NR24",0,0,0,0,0,0,1,
"NR26",0,0,0,0,0,0,1,
"NR39",1,1,1,0,0,0,1,"n"
"NR51",0,0,0,1,1,1,1,"n"
"NR60",0,0,0,0,0,1,1,
"NR70",0,0,0,0,0,1,0,
"NS14",0,0,1,0,0,0,0,"n"
"NS20",0,0,0,0,1,1,0,"n"
"NS21",1,1,0,0,1,1,0,"n"
"NS33",0,0,0,0,0,0,1,
"NT67",0,0,0,0,0,0,1,
"NU21",1,0,0,0,0,0,0,"n"
"NW95",0,0,1,0,0,0,0,"n"
"NW96",0,0,1,0,0,0,0,"n"
"NX04",0,0,1,0,0,0,0,"n"
"NX05",0,0,0,0,0,0,1,
"NX06",1,0,0,0,0,0,0,"n"
"NX08",0,0,1,1,1,0,0,"n"
"NX13",1,0,1,1,1,1,1,"n"
"NX15",1,0,0,0,0,0,0,"n"
