"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C73",0,1,1,1,1,0,0,"n"
"C83",0,1,0,0,1,0,0,"n"
"NC55",0,0,0,0,0,0,1,"n"
"NH55",0,0,0,0,1,1,1,"n"
"Q83",1,1,0,0,0,0,0,"n"
"Q93",1,0,1,0,0,0,0,"n"
"SH32",1,0,1,0,0,0,0,"n"
"SH33",1,1,0,0,0,0,0,"n"
"SH43",1,0,0,0,0,0,0,"n"
"SH50",1,0,0,0,0,0,0,"n"
"SH53",1,1,1,1,1,1,1,"n"
"SH61",0,0,1,1,1,0,1,"n"
"SH63",0,0,1,1,1,1,1,"n"
"SH64",0,0,0,1,1,0,0,"n"
"SU30",0,0,1,1,1,1,1,"n"
"SX64",1,0,1,1,1,1,1,"n"
"SX87",1,0,0,0,0,0,0,"n"
"SY98",1,1,0,0,0,0,0,"n"
"SZ07",0,0,0,0,0,1,0,"n"
"SZ08",1,1,1,0,0,0,0,"n"
"SZ19",1,0,0,1,1,1,1,"n"
"SZ29",1,0,0,0,0,0,0,"n"
"SZ39",1,0,0,0,0,0,0,"n"
"T27",1,0,0,0,0,0,0,"n"
