"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C62",0,0,0,1,0,0,1,"a"
"G03",0,0,0,0,1,0,0,"a"
"H24",0,0,0,0,0,0,1,
"H32",0,0,0,0,0,1,1,
"H44",0,0,0,0,0,0,1,
"H96",0,1,0,0,0,0,0,"a"
"J18",0,1,0,1,1,0,0,"a"
"J47",0,0,0,0,0,1,0,
"N09",0,0,0,1,0,0,0,
"NC40",0,0,0,0,1,0,0,
"NC51",0,0,0,0,0,0,1,
"NG24",0,0,0,1,0,0,1,
"NG53",0,0,0,0,1,0,0,"a"
"NH62",0,0,0,0,0,0,1,
"NJ13",0,0,0,0,0,0,1,
"NJ46",0,0,0,0,0,1,0,
"NM35",0,0,0,0,0,0,1,
"NM66",0,0,0,0,0,0,1,
"NM95",0,0,0,1,0,0,0,"a"
"NN00",0,0,0,0,1,0,0,"a"
"NN45",0,0,0,0,1,0,0,"a"
"NN60",0,0,0,1,1,1,0,"a"
"NN70",0,0,0,0,1,0,0,"a"
"NN72",0,0,0,0,1,0,0,"a"
"NN91",0,0,0,0,0,0,1,
"NN94",0,0,1,0,0,0,0,"a"
"NN95",0,0,0,1,1,0,0,"a"
"NN96",0,0,0,1,1,0,0,"a"
"NO02",0,0,0,0,1,0,0,"a"
"NO03",0,0,0,0,1,0,0,"a"
"NO04",0,0,0,0,1,0,0,"a"
"NO20",0,0,0,1,1,0,0,"a"
"NO21",0,0,0,0,1,0,0,"a"
"NO40",0,0,0,0,1,0,0,"a"
"NO41",0,0,0,1,1,0,0,"a"
"NO61",0,0,0,1,0,0,0,"a"
"NO69",0,0,0,0,0,0,1,
"NO79",0,0,1,0,0,1,1,
"NR77",0,0,0,1,0,0,0,"a"
"NS16",0,0,0,0,0,0,1,
"NS24",0,0,0,0,0,0,1,
"NS37",0,0,0,1,0,0,0,"a"
"NS38",0,0,0,0,1,0,0,"a"
"NS48",0,0,0,1,0,0,0,"a"
"NS57",0,0,0,0,0,0,1,
"NS59",0,0,0,0,0,0,1,
"NS89",0,0,0,1,0,0,0,
"NT00",0,0,0,0,0,0,1,
"NT03",0,0,0,0,0,0,1,
"NT08",0,0,0,0,1,0,0,"a"
"NT09",0,0,0,1,0,0,0,"a"
"NT13",0,0,1,0,1,0,1,"a"
"NT17",0,0,0,0,0,1,1,
"NT18",0,0,0,0,1,0,1,"a"
"NT19",0,0,0,0,1,0,1,"a"
"NT21",0,0,0,0,1,1,0,"a"
"NT26",0,0,0,0,0,1,1,
"NT52",0,0,0,0,1,0,0,"a"
"NT72",0,0,0,0,1,0,0,"a"
"NT73",0,0,0,0,0,1,1,
"NX54",0,0,0,1,1,0,0,"a"
"NX64",0,0,0,0,1,0,1,"a"
"NX65",0,0,0,0,0,0,1,
"NX79",0,0,0,1,0,0,0,"a"
"NX85",0,0,0,1,1,0,0,"a"
"NX95",0,0,0,1,1,0,0,"a"
"NX96",0,0,0,1,1,0,0,"a"
"NX98",0,0,0,0,0,0,1,
"NY21",0,0,0,0,0,0,1,
"NY30",0,0,0,1,1,0,1,"a"
"NY31",0,0,0,0,0,0,1,
"NY37",0,0,0,1,0,0,0,"a"
"NY45",0,0,0,0,0,0,1,
"NZ07",0,0,0,0,0,1,0,
"NZ28",0,0,0,0,0,1,0,
"R75",0,0,0,0,0,0,1,
"SC26",0,0,0,0,1,0,0,"a"
"SC38",0,0,0,0,0,0,1,
"SD33",0,0,0,0,0,0,1,
"SD37",0,0,0,0,0,0,1,
"SD41",0,0,0,0,0,0,1,
"SD47",0,0,1,0,0,1,1,
"SD48",0,0,0,1,1,1,0,"a"
"SD49",0,0,0,1,1,0,0,"a"
"SD52",0,0,0,0,0,0,1,
