"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C03",0,0,0,0,0,1,0,
"C41",0,0,0,0,0,1,1,
"C50",0,0,0,0,0,1,0,
"C51",0,0,0,0,0,0,1,
"C62",0,0,0,0,1,1,1,"a"
"C63",0,0,0,0,1,1,0,"a"
"C73",0,0,0,1,1,1,1,"a"
"C81",0,0,0,0,0,1,0,
"C82",0,0,0,0,0,1,1,
"C83",0,0,0,0,1,1,1,"a"
"C90",0,0,0,0,1,1,1,
"C91",0,0,0,0,1,1,1,"a"
"C92",0,0,0,0,0,1,0,
"D02",0,0,0,0,0,1,0,
"D10",0,0,0,0,0,1,0,
"D23",0,0,0,0,0,0,1,
"D30",0,0,0,0,1,0,1,"a"
"D31",0,0,0,0,1,1,1,"a"
"G20",0,0,0,0,0,1,0,
"G40",0,0,0,0,0,0,1,
"G53",0,0,0,0,0,0,1,
"G62",0,0,0,0,1,1,0,"a"
"G72",0,0,0,0,0,1,1,
"G73",0,0,0,0,1,0,0,"a"
"G74",0,0,0,0,1,0,0,"a"
"G80",0,0,0,0,0,0,1,
"G81",0,0,1,0,0,1,0,"a"
"G82",0,0,0,0,1,0,0,"a"
"G84",0,0,0,0,0,0,1,
"G85",0,0,0,0,0,0,1,
"G87",0,0,0,0,1,0,0,"a"
"G93",0,0,0,0,1,1,0,"a"
"G96",0,0,0,0,1,0,0,"a"
"H05",0,0,0,0,0,1,0,
"H06",0,0,0,0,0,1,0,
"H09",0,0,0,0,1,0,0,"a"
"H15",0,0,0,0,0,1,0,
"H16",0,0,0,0,0,1,0,
"H23",0,0,0,0,0,1,0,
"H24",0,0,0,0,1,1,0,"a"
"H25",0,0,0,0,0,1,0,
"H27",0,0,0,0,0,1,0,
"H29",0,0,0,0,0,0,1,
"H32",0,0,0,0,0,1,0,
"H33",0,0,0,0,0,1,0,
"H34",0,0,0,0,0,1,0,
"H38",0,0,0,0,0,1,0,
"H44",0,0,0,0,0,1,1,
"H45",0,0,0,0,0,1,0,
"H46",0,0,0,0,0,1,0,
"H48",0,0,0,0,0,1,0,
"H53",0,0,0,0,0,1,0,
"H55",0,0,0,0,0,1,0,
"H56",0,0,0,0,0,1,0,
"H61",0,0,0,0,0,1,0,
"H75",0,0,0,0,0,1,0,
"H76",0,0,0,0,0,1,0,
"H77",0,0,0,0,0,1,0,
"H79",0,0,0,0,0,1,0,
"H84",0,0,0,0,0,0,1,
"H85",0,0,0,0,0,0,1,
"H86",0,0,0,0,0,1,0,
"H87",0,0,0,0,0,1,0,
"H88",0,0,0,0,0,1,0,
"H93",0,0,0,0,0,1,0,
"H94",0,0,0,0,0,1,1,
"H95",0,0,0,0,0,1,1,
"H96",0,0,0,0,0,0,1,
"H99",0,0,0,0,0,1,1,
"HY42",0,0,0,0,1,0,1,
"J00",0,0,0,0,0,0,1,
"J02",0,0,0,0,0,1,1,
"J03",0,0,0,0,0,0,1,
"J04",0,0,0,0,0,1,1,
"J05",0,0,0,0,0,1,0,
"J06",0,0,0,0,0,1,0,
"J08",0,0,0,0,0,1,0,
"J11",0,0,0,0,0,0,1,
"J14",0,0,0,0,0,0,1,
"J15",0,0,0,0,1,1,0,"a"
"J16",0,0,0,0,0,1,1,
"J17",0,0,0,0,0,1,0,
"J18",0,0,0,0,1,1,1,"a"
"J21",0,0,0,0,0,1,0,
"J23",0,0,0,0,0,1,0,
"J25",0,0,0,0,0,1,1,
"J26",0,0,0,0,1,1,1,"a"
"J27",0,0,0,0,1,1,0,"a"
"J28",0,0,0,0,0,1,1,
"J29",0,0,0,0,1,0,0,"a"
"J31",0,0,0,0,0,0,1,
"J32",0,0,0,0,0,1,0,
"J33",0,0,0,0,1,1,1,"a"
"J34",0,0,0,0,0,1,0,
"J35",0,0,0,0,0,0,1,
"J36",0,0,0,0,1,1,1,"a"
"J37",0,0,0,0,1,1,1,"a"
"J38",0,0,0,0,1,1,0,"a"
"J39",0,0,0,0,1,0,0,"a"
"J44",0,0,0,0,0,1,1,
"J45",0,0,0,0,1,1,0,"a"
"J46",0,0,0,0,0,1,1,
"J47",1,0,0,1,1,1,1,"a"
"J48",0,0,0,1,0,1,1,"a"
"J49",0,0,0,1,0,0,1,"a"
"J54",0,0,0,0,0,1,1,
"J55",0,0,0,0,0,1,1,
"J56",0,0,0,0,0,1,1,
"J58",0,0,0,0,0,1,0,
"M15",0,0,0,0,0,1,1,
"M20",0,0,0,0,0,0,1,
"M40",0,0,0,0,0,0,1,
"M41",0,0,0,0,0,0,1,
"M50",0,0,0,0,1,0,0,"a"
"M99",0,0,0,0,1,0,0,"a"
"N01",0,0,0,0,0,1,0,
"N09",0,0,0,0,1,1,1,"a"
"N22",0,0,0,0,0,0,1,
"N31",0,0,0,0,0,1,1,
"N32",0,0,0,0,0,1,1,
"N37",0,0,0,1,0,0,0,"a"
"N45",0,0,0,0,0,0,1,
"N51",0,0,0,0,0,1,0,
"N72",0,0,0,0,0,1,0,
"N79",0,0,0,0,0,0,1,
"N92",0,0,0,0,0,0,1,
"N93",0,0,0,0,0,1,1,
"NB32",0,0,0,0,0,0,1,
"NB43",0,0,0,0,0,0,1,
"NC10",0,0,0,0,0,0,1,
"NC14",0,0,0,0,1,0,1,"a"
"NC30",0,0,0,0,1,1,0,
"NC40",0,0,0,0,0,0,1,
"NC50",0,0,0,1,1,0,1,"a"
"NC51",0,0,0,0,0,0,1,
"NC60",0,0,0,0,0,0,1,
"NC70",0,0,0,0,0,0,1,
"NC71",1,0,0,0,0,0,0,"a"
"NC74",0,0,0,0,0,1,0,
"NC80",0,0,0,0,0,0,1,
"NC82",0,0,0,0,0,0,1,
"NC90",0,0,0,0,0,0,1,
