"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B81",0,0,0,0,0,1,0,
"B93",0,0,0,0,1,0,0,"n"
"C01",0,0,0,1,1,0,1,"n"
"C03",1,0,0,0,1,1,1,"n"
"C12",0,0,0,0,0,0,1,
"C14",1,0,0,0,1,1,1,"n"
"C23",0,0,0,0,1,0,0,"n"
"C24",1,1,0,0,1,0,0,"n"
"C32",1,0,0,0,0,0,0,"n"
"C33",0,0,0,0,1,0,0,"n"
"C34",0,0,0,0,1,0,0,"n"
"C40",0,0,1,0,1,0,0,"n"
"C42",0,0,0,0,1,0,0,"n"
"C62",0,0,0,0,1,0,0,"n"
"C80",0,0,0,0,1,0,0,"n"
"C83",1,0,0,0,0,0,0,"n"
"C90",0,0,0,1,0,0,0,"n"
"C91",1,0,1,0,0,0,0,"n"
"C94",1,0,0,0,0,0,0,"n"
"D02",0,0,0,0,1,0,0,"n"
"D10",0,0,0,0,1,0,0,"n"
"D11",0,0,0,0,1,0,0,"n"
"F60",0,0,0,0,1,0,0,"n"
"G20",1,0,0,0,0,0,0,"n"
"G30",0,0,0,0,1,0,0,"n"
"G33",0,0,0,0,0,0,1,
"G63",1,0,0,0,0,0,0,"n"
"G73",0,1,0,0,0,1,0,"n"
"G79",1,0,0,0,0,1,0,"n"
"G84",0,0,0,1,0,0,0,"n"
"G95",0,1,0,0,1,0,0,"n"
"H00",0,0,0,1,0,1,0,"n"
"H05",0,1,0,0,1,1,0,"n"
"H06",0,0,0,0,1,0,0,"n"
"H10",0,0,0,0,0,0,1,
"H12",0,0,0,0,0,0,1,
"H15",1,1,0,0,1,1,1,"n"
"H16",0,0,0,1,1,0,1,"n"
"H19",0,0,0,0,1,0,0,"n"
"H26",0,0,0,0,0,1,1,
"H31",0,0,1,0,0,0,0,"n"
"H32",0,0,1,1,1,1,0,"n"
"H33",0,0,0,0,1,0,0,"n"
"H37",0,0,1,0,0,0,0,"n"
"H39",1,0,0,0,0,0,0,"n"
"H42",0,0,0,0,1,0,0,"n"
"H44",0,0,0,0,1,0,0,"n"
"H47",1,0,1,0,0,0,0,"n"
"H49",0,0,0,0,0,0,1,
"H52",1,0,0,0,0,0,0,"n"
"H54",0,0,0,0,1,0,0,"n"
"H60",0,0,0,0,0,1,0,
"H61",1,0,1,0,0,0,1,"n"
"H64",0,0,0,0,1,0,0,"n"
"H65",0,0,1,0,0,0,0,"n"
"H68",0,0,1,0,0,0,0,"n"
"H70",0,0,0,0,0,0,1,"n"
"H71",1,0,0,0,1,0,1,"n"
"H72",1,0,1,0,0,0,0,"n"
"H73",0,0,0,0,1,0,0,
"H75",0,0,0,0,1,0,0,"n"
"H76",0,0,0,0,1,0,0,"n"
"H81",0,0,0,0,0,0,1,
"H82",0,0,0,0,0,1,1,
"H85",0,0,0,0,1,0,0,"n"
"H87",0,0,0,0,0,0,1,
"H88",0,0,0,0,1,0,0,"n"
"H93",1,0,0,1,0,0,0,"n"
"H94",0,0,0,1,1,0,0,"n"
"H96",0,0,1,1,1,0,0,"n"
"H97",0,0,0,1,0,0,0,"n"
"H98",0,0,1,1,1,0,1,"n"
"H99",1,0,1,1,1,0,0,"n"
"HP50",1,0,1,0,1,1,0,"n"
"HP51",0,0,0,0,1,0,0,"n"
"HP61",0,0,1,0,1,1,0,"n"
"HU14",0,0,0,0,1,0,0,"n"
"HU15",0,0,1,0,1,1,0,"n"
"HU24",1,0,0,0,1,1,1,"n"
"HU25",0,0,1,0,1,1,0,"n"
"HU26",0,0,0,0,1,0,0,"n"
"HU31",1,0,1,1,1,1,1,"n"
"HU33",0,0,1,0,1,0,0,"n"
"HU35",0,0,1,0,1,1,0,"n"
"HU36",0,0,0,0,1,0,0,"n"
