"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B93",0,0,0,0,1,1,1,"n"
"C03",1,0,0,0,1,0,0,"n"
"C83",0,0,1,0,0,0,0,"n"
"C94",0,0,0,1,1,1,1,"n"
"D04",0,0,0,0,1,0,0,"n"
"D14",1,0,0,0,0,0,0,"n"
"D23",1,0,0,0,0,0,0,"n"
"F52",0,0,0,0,1,0,0,"n"
"F61",0,0,0,0,0,0,1,"n"
"F62",0,0,0,0,1,0,1,"n"
"F63",0,0,0,0,1,0,1,"n"
"F71",0,0,0,0,1,0,1,"n"
"G86",0,0,0,0,0,1,0,"n"
"J10",0,0,0,0,1,0,1,"n"
"J20",0,0,0,0,0,0,1,"n"
"J21",1,0,0,0,0,1,0,"n"
"J33",1,0,0,0,0,0,0,"n"
"J43",0,0,0,0,1,0,1,"n"
"J46",0,0,0,0,0,0,1,"n"
"J49",0,0,0,1,0,0,0,"n"
"J54",0,0,1,0,0,0,0,"n"
"J64",1,0,1,1,0,1,1,"n"
"J65",0,1,0,0,0,0,0,"n"
"L54",0,0,0,0,1,0,0,"n"
"L55",0,0,1,1,1,0,1,"n"
"L56",0,0,0,0,1,0,0,"n"
"L63",0,0,0,1,0,0,1,"n"
"L65",0,0,0,0,0,0,1,"n"
"L72",0,0,0,0,1,0,1,"n"
"L80",1,0,1,0,0,0,1,"n"
"L90",1,0,0,0,1,1,1,"n"
"M00",1,0,1,0,0,0,0,"n"
"M10",0,0,1,1,1,1,1,"n"
"M31",0,0,0,0,0,1,1,"n"
"NC26",0,0,1,0,0,0,0,"n"
"ND48",0,0,1,0,1,0,1,"n"
"ND49",0,0,1,0,0,1,0,"n"
"NF71",1,1,1,1,0,1,1,"n"
"NG30",0,0,0,0,1,1,1,"n"
"NL69",0,1,0,1,1,1,1,"n"
"NL94",1,0,0,0,1,1,1,"n"
"NM04",0,0,1,0,0,0,1,"n"
"NM15",0,1,0,0,1,1,1,"n"
"NM22",0,0,0,0,0,0,1,"n"
"NM26",0,1,0,0,1,1,0,"n"
"NM68",0,0,1,0,0,0,0,"n"
"NO40",0,0,1,0,1,0,0,"n"
"NO41",0,0,0,0,0,0,1,"n"
"NO43",0,0,0,0,1,0,0,"n"
"NO53",1,0,0,0,1,0,0,"n"
"NO60",1,0,0,0,0,0,0,"n"
"NO63",0,0,0,0,1,0,0,"n"
"NO64",0,0,0,0,1,0,0,"n"
"NO75",0,0,0,0,1,0,0,"n"
"NR15",0,1,1,1,1,1,1,"n"
"NR26",0,1,1,0,0,0,1,"n"
"NR34",0,0,0,0,1,0,0,"n"
"NR35",0,1,1,0,0,0,0,"n"
"NR38",1,0,0,0,0,0,0,"n"
"NR60",0,0,1,1,1,1,1,"n"
"NR62",0,0,1,0,0,1,1,"n"
"NR70",0,0,0,0,0,0,1,"n"
"NR82",0,0,1,0,1,1,0,"n"
"NR92",0,0,1,0,0,0,0,"n"
"NS03",0,0,1,0,0,0,0,"n"
"NS10",0,0,0,0,0,0,1,"n"
"NS20",1,0,1,0,0,0,0,"n"
"NS32",1,1,1,0,0,0,1,"n"
"NS98",1,0,0,0,0,0,0,"n"
"NT48",1,0,1,0,0,0,0,"n"
"NT58",0,0,0,0,0,0,1,"n"
"NT67",0,0,0,0,1,0,0,"n"
"NU04",0,0,0,1,1,0,0,"n"
"NU14",0,0,0,0,0,1,0,"n"
"NU20",0,0,0,1,1,1,1,"n"
"NW95",1,0,1,1,1,0,0,"n"
"NW96",0,0,0,1,0,1,0,"n"
"NX04",1,0,1,1,1,1,1,"n"
"NX08",0,1,1,0,1,0,1,"n"
"NX13",1,0,1,1,0,1,1,"n"
"NX15",1,0,0,0,1,1,1,"n"
"NX18",0,0,1,0,0,0,1,"n"
"NX25",0,0,1,0,0,1,1,"n"
"NX30",0,1,1,0,1,1,1,"n"
"NX33",0,0,0,1,1,1,1,"n"
"NX34",1,0,1,1,0,0,1,"n"
"NX40",0,0,1,1,1,0,1,"n"
"NX43",0,0,0,0,1,1,0,"n"
"NX44",0,0,0,0,0,0,1,"n"
"NX90",0,0,0,1,0,1,1,"n"
"NX91",0,0,1,1,1,0,0,"n"
"NX92",0,0,1,1,0,1,1,"n"
"NX93",0,0,0,0,0,1,0,"n"
"NX95",1,0,0,1,1,0,1,"n"
"NY00",0,1,1,1,1,1,1,"n"
"NY02",0,0,1,0,0,0,0,"n"
"NY03",0,0,1,1,0,1,0,"n"
"NY04",0,0,1,1,1,1,1,"n"
"NY05",0,0,0,0,1,1,1,"n"
"NY15",0,0,1,1,1,1,1,"n"
"NY16",1,0,0,0,0,0,0,"n"
"NY21",0,0,0,1,0,0,0,
"NY25",0,0,0,1,0,0,0,"n"
"NY26",0,0,0,0,1,0,1,"n"
"NY36",0,0,0,1,1,0,0,"n"
"NY53",0,0,0,0,0,0,1,
"NZ25",0,1,0,0,0,0,0,"n"
"NZ29",0,0,0,0,1,0,0,"n"
"NZ36",1,1,0,0,1,0,0,"n"
"NZ37",0,0,0,1,1,1,1,"n"
"NZ43",1,0,0,0,0,1,0,"n"
"NZ44",1,0,0,0,0,0,0,"n"
"NZ52",1,0,0,0,0,0,0,"n"
"NZ80",0,0,0,0,1,0,0,"n"
"O17",1,0,0,0,0,1,1,"n"
"O18",1,0,0,0,0,0,1,"n"
"O22",1,0,0,0,0,0,0,"n"
"O23",0,1,1,0,1,0,1,"n"
"O24",0,0,0,0,1,0,1,"n"
"O25",0,0,0,0,1,0,0,"n"
"O30",0,0,0,0,1,1,1,"n"
"O31",0,0,0,0,0,0,1,"n"
"Q30",1,0,1,0,0,0,0,"n"
"Q51",0,0,1,0,1,1,1,"n"
"Q61",0,0,0,0,1,0,0,"n"
"Q71",1,0,0,0,1,0,1,"n"
"Q72",0,0,0,0,1,1,1,"n"
"Q75",0,0,0,0,0,0,1,"n"
"Q97",0,0,0,0,0,0,1,"n"
"S50",1,0,1,0,1,0,1,"n"
"S60",1,0,1,0,1,1,1,"n"
"S70",0,0,0,0,0,0,1,"n"
"S80",0,0,0,1,1,1,1,"n"
"S90",1,0,1,1,1,1,1,"n"
"SC16",0,0,0,0,1,0,0,"n"
"SC26",1,1,1,1,1,1,1,"n"
"SC27",1,0,0,0,0,1,0,"n"
"SC39",1,0,0,0,1,0,1,"n"
"SC49",1,1,0,0,0,0,0,"n"
"SD08",0,0,0,0,0,0,1,"n"
"SD09",0,0,1,1,1,1,1,"n"
"SD16",0,0,1,1,1,0,1,"n"
"SD17",0,0,1,1,1,1,1,"n"
"SD18",0,0,1,1,1,0,1,"n"
"SD20",0,0,1,1,1,1,1,"n"
"SD21",0,1,1,1,1,0,1,"n"
"SD26",0,0,1,1,1,0,1,"n"
"SD27",0,0,0,1,1,1,0,"n"
"SD28",0,0,0,1,1,0,0,"n"
"SD31",1,0,1,1,1,1,1,"n"
"SD32",1,1,1,1,1,0,0,"n"
"SD33",1,0,1,0,0,0,1,"n"
"SD34",1,0,1,1,1,1,1,"n"
"SD38",0,0,0,1,0,0,0,"n"
"SD45",0,0,0,0,0,0,1,"n"
"SD46",0,0,1,0,0,0,0,"n"
"SH12",1,0,1,0,1,0,0,"n"
"SH13",0,0,1,0,1,1,0,"n"
"SH22",0,0,1,0,1,0,1,"n"
"SH24",0,0,0,0,1,0,0,"n"
"SH27",0,0,1,1,1,1,1,"n"
"SH28",0,0,0,1,0,0,1,"n"
"SH32",1,0,1,0,1,1,1,"n"
"SH33",1,0,1,0,1,1,1,"n"
"SH34",0,0,0,0,1,0,0,"n"
"SH36",1,0,1,1,1,1,1,"n"
"SH37",0,0,1,0,1,1,1,"n"
"SH43",0,0,1,0,1,1,1,"n"
"SH44",0,0,0,0,1,0,0,"n"
"SH45",0,0,0,0,1,1,1,"n"
"SH46",0,0,1,0,1,1,1,"n"
"SH48",0,0,0,0,0,0,1,"n"
"SH50",0,0,1,1,1,0,1,"n"
"SH51",0,0,0,1,0,0,1,"n"
"SH52",0,0,1,0,1,1,1,"n"
"SH53",0,0,1,0,1,1,1,"n"
"SH58",0,0,1,1,0,0,1,"n"
"SH61",0,0,1,0,1,0,1,"n"
"SH67",0,0,0,0,1,0,0,"n"
"SH77",1,0,0,0,1,1,1,"n"
"SH78",0,0,1,0,1,1,1,"n"
"SH88",1,0,0,0,0,0,0,"n"
"SH97",1,0,0,0,0,0,0,"n"
"SH98",0,0,0,1,0,0,0,"n"
"SJ08",1,0,1,1,1,1,1,"n"
"SJ28",1,0,0,0,0,0,0,"n"
"SJ29",1,0,0,0,0,0,0,"n"
"SJ39",1,0,0,0,0,0,0,"n"
"SJ48",1,0,1,0,0,0,0,"n"
"SM72",0,0,1,0,1,0,0,"n"
"SM80",0,0,1,1,1,1,1,"n"
"SM81",0,0,1,0,0,0,0,"n"
"SN10",0,0,1,1,0,0,0,"n"
"SN14",1,0,1,1,1,1,0,"n"
"SN20",0,0,1,0,1,0,1,"n"
"SN25",0,1,1,0,1,1,0,"n"
"SN30",0,0,1,0,1,1,1,"n"
"SN31",0,0,1,0,1,0,1,"n"
"SN40",0,0,1,0,1,1,1,"n"
"SN57",0,0,1,0,1,0,1,"n"
"SN58",1,0,1,0,0,0,0,"n"
"SN59",0,0,0,1,1,0,1,"n"
"SN69",0,0,1,1,1,0,1,"n"
"SO87",1,0,0,0,0,0,0,"a"
"SR89",0,0,0,1,1,1,1,"n"
"SR99",1,0,1,1,1,0,1,"n"
"SS09",0,0,1,1,1,1,1,"n"
"SS10",1,0,1,1,1,0,1,"n"
"SS19",1,0,1,0,1,1,1,"n"
"SS20",1,1,1,1,1,1,1,"n"
"SS43",1,0,1,1,1,1,1,"n"
"SS44",0,0,1,1,1,1,1,"n"
"SS48",0,1,1,1,1,1,1,"n"
"SS49",1,0,1,0,1,1,1,"n"
"SS58",1,0,1,1,1,1,1,"n"
"SS59",0,0,0,0,1,1,1,"n"
"SS69",0,0,1,1,1,1,1,"n"
"SS77",0,0,0,0,1,0,1,"n"
"SS78",0,0,1,1,1,1,1,"n"
"SS79",0,0,1,0,1,0,1,"n"
"SS84",1,0,0,0,0,0,0,"n"
"SS87",0,0,0,1,1,0,1,"n"
"SS88",0,0,1,0,0,0,0,"n"
"SS94",0,0,1,0,0,0,0,"n"
"ST06",0,0,1,0,0,0,0,"n"
"ST17",0,0,0,0,0,1,0,"n"
"ST24",0,0,1,0,0,0,0,"n"
"ST25",0,0,0,0,1,1,1,"n"
"ST35",0,0,1,0,0,0,0,"n"
"ST36",0,0,1,0,1,0,1,"n"
"SU40",0,0,1,1,0,0,0,"n"
"SU50",0,0,1,0,1,1,0,"n"
"SU60",0,0,1,0,0,0,0,"n"
"SU70",0,0,1,1,1,1,0,"n"
"SU80",0,0,1,0,0,0,0,"n"
"SU81",0,0,0,0,0,0,1,
"SU90",0,0,1,0,0,0,0,"n"
"SV80",0,1,1,1,1,1,1,"n"
"SV81",0,1,0,1,1,1,1,"n"
"SV90",0,0,0,0,1,0,0,"n"
"SV91",1,1,1,1,1,1,1,"n"
"SW32",1,0,1,1,1,1,1,"n"
"SW42",0,0,1,0,0,0,1,"n"
"SW43",1,0,1,1,1,0,0,"n"
"SW52",1,0,1,0,0,1,1,"n"
"SW53",1,1,1,1,1,1,1,"n"
"SW54",1,1,1,1,1,1,1,"n"
"SW61",1,0,1,1,1,1,1,"n"
"SW62",1,0,1,1,1,1,1,"n"
"SW64",1,0,1,1,1,1,1,"n"
"SW71",1,0,1,1,1,1,1,"n"
"SW72",1,0,1,1,1,0,0,"n"
"SW73",0,0,0,0,1,0,0,"n"
"SW75",1,0,1,1,1,1,1,"n"
"SW76",1,0,1,1,1,1,1,"n"
"SW81",0,0,0,0,1,0,0,"n"
"SW82",0,0,1,1,0,1,1,"n"
"SW83",1,0,1,1,0,1,1,"n"
"SW84",0,0,0,1,0,0,0,"n"
"SW85",0,0,1,0,0,0,0,"n"
"SW86",1,0,1,0,1,0,1,"n"
"SW87",1,0,1,1,1,1,1,"n"
"SW93",1,0,1,1,0,0,0,"n"
"SW94",1,0,1,0,1,1,1,"n"
"SW97",1,1,1,0,1,1,1,"n"
"SW98",1,0,0,0,0,0,0,"n"
"SX04",1,0,1,1,0,1,0,"n"
"SX05",1,0,1,1,1,1,1,"n"
"SX15",0,0,0,1,1,1,0,"n"
"SX25",1,0,1,0,0,0,0,"n"
"SX35",1,0,1,1,0,1,0,"n"
"SX54",0,0,0,0,0,1,0,"n"
"SX64",0,0,1,1,1,1,1,"n"
"SX73",0,0,1,1,1,1,1,"n"
"SX74",1,0,0,1,0,0,0,"n"
"SX84",0,0,1,1,1,1,1,"n"
"SX95",1,0,0,1,0,0,0,"n"
"SX97",1,0,1,1,1,1,1,"n"
"SX98",0,0,1,1,0,1,1,"n"
"SY08",1,0,1,1,1,1,1,"n"
"SY18",0,0,1,0,0,0,0,"n"
"SY28",0,0,1,0,0,0,0,"n"
"SY39",1,0,0,0,0,1,0,"n"
"SY48",1,1,0,1,0,1,0,"n"
"SY49",1,0,1,0,0,0,0,"n"
"SY58",1,1,0,0,1,1,1,"n"
"SY67",1,1,1,1,1,1,1,"n"
"SY68",0,0,0,0,0,0,1,"n"
"SY78",1,0,1,0,0,0,0,"n"
"SY87",0,0,0,0,0,1,0,"n"
"SY97",1,0,0,1,0,1,0,"n"
"SZ07",1,0,0,0,0,0,1,"n"
"SZ08",1,1,1,1,1,1,1,"n"
"SZ09",1,0,0,0,0,0,0,"n"
"SZ19",1,0,1,1,1,1,1,"n"
"SZ29",0,0,0,1,0,0,0,"n"
"SZ38",1,0,1,0,1,1,1,"n"
"SZ39",0,0,1,1,1,1,0,"n"
"SZ47",0,0,0,0,0,1,0,"n"
"SZ49",0,1,1,1,1,1,1,"n"
"SZ57",0,0,0,0,1,0,0,"n"
"SZ59",0,0,1,0,0,1,0,"n"
"SZ68",0,0,1,0,1,1,1,"n"
"SZ69",1,0,1,1,1,1,1,"n"
"SZ79",1,0,1,1,1,1,1,"n"
"SZ89",0,0,1,0,1,1,1,"n"
"SZ99",0,0,0,0,0,0,1,"n"
"T00",1,0,1,1,1,1,1,"n"
"T01",1,0,0,0,1,1,1,"n"
"T10",1,0,1,1,1,1,1,"n"
"T11",0,0,0,0,1,0,1,"n"
"T12",0,0,0,1,1,1,1,"n"
"T13",0,0,0,0,1,1,1,"n"
"T14",1,0,1,0,1,1,1,"n"
"T24",0,0,1,0,1,1,1,"n"
"T25",1,1,0,1,1,0,1,"n"
