"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B70",0,0,0,0,1,0,0,
"B72",0,0,0,0,0,1,0,
"B93",0,0,0,0,0,0,1,
"B94",0,0,0,0,1,0,0,"a"
"C02",0,0,0,0,0,0,1,
"C03",0,0,0,0,1,0,1,"n"
"C04",0,0,0,0,1,0,0,"n"
"C14",0,0,0,0,1,0,0,"n"
"C20",0,0,0,0,0,0,1,
"C21",0,0,0,0,0,0,1,
"C22",0,0,0,0,0,0,1,
"C23",0,0,0,0,1,1,1,"n"
"C30",1,0,0,0,1,1,1,"n"
"C31",0,0,0,0,1,1,1,"n"
"C32",1,0,0,0,1,0,0,"a"
"C33",0,0,0,0,1,0,0,"a"
"C34",0,0,0,0,1,1,1,"a"
"C40",0,0,0,0,1,1,0,"n"
"C41",0,0,0,0,1,0,1,"n"
"C42",0,0,0,0,1,0,1,"n"
"C50",0,0,0,0,0,1,0,
"C51",0,0,0,0,1,0,1,"n"
"C52",0,0,0,1,1,0,1,"n"
"C53",0,0,0,0,1,0,0,"a"
"C54",0,0,0,0,1,0,0,"a"
"C55",0,0,0,0,0,0,1,
"C60",0,0,0,0,1,0,1,"n"
"C61",0,0,0,0,1,0,1,"n"
"C62",0,0,0,0,1,0,1,"n"
"C63",0,0,0,0,1,0,1,"n"
"C70",0,0,0,0,1,0,0,"n"
"C71",0,0,0,0,1,0,0,"n"
"C72",0,0,0,0,1,0,1,"n"
"C73",0,0,0,0,1,0,1,"n"
"C80",0,0,0,0,0,0,1,
"C81",0,0,0,0,1,0,1,"n"
"C82",0,0,0,0,1,0,1,"n"
"C83",0,0,0,0,1,1,1,"n"
"C84",0,0,0,0,1,0,1,"n"
"C90",0,0,0,0,1,1,1,"n"
"C91",0,0,0,0,1,1,1,"n"
"C92",0,0,0,0,1,0,1,"n"
"C94",0,0,0,0,1,0,1,"n"
"D00",0,0,0,0,1,0,0,"n"
"D10",0,0,0,0,1,0,0,"n"
"D13",0,0,0,0,1,0,0,"n"
"D14",0,0,0,0,1,0,0,"n"
"D22",0,0,0,0,0,0,1,
"D23",0,0,0,0,1,0,1,"n"
"D30",0,0,0,0,0,0,1,
"D31",0,0,0,0,1,0,1,"n"
"D40",0,0,0,0,1,0,1,"n"
"F62",0,0,0,0,0,0,1,
"G20",0,0,0,0,0,0,1,
"G33",0,0,0,0,1,0,0,"n"
"G48",0,0,0,0,1,0,0,"n"
"G52",0,0,1,0,0,0,0,"n"
"G53",0,0,0,0,1,0,0,"n"
"G54",0,0,0,0,0,0,1,
"G62",0,0,0,0,1,0,0,"n"
"G63",1,0,0,0,0,0,1,
"G64",0,0,0,0,1,0,1,"n"
"G73",0,0,0,0,0,0,1,
"G75",0,0,0,0,0,0,1,
"G79",0,0,0,0,1,0,0,"n"
"G80",0,0,1,0,0,0,0,"n"
"G91",0,0,1,0,0,0,0,"n"
"G93",0,0,0,0,0,0,1,
"H03",0,0,1,0,0,0,0,"n"
"H14",0,0,0,0,1,0,0,"n"
"H15",0,1,0,0,1,0,0,"n"
"H18",0,0,0,0,0,1,0,
