"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B70",0,0,0,0,1,0,0,"n"
"C41",0,0,0,1,0,0,0,"n"
"C62",1,0,0,0,0,0,0,"n"
"C72",1,0,0,0,0,0,0,"n"
"C73",0,1,0,0,0,0,0,"n"
"C81",0,0,0,1,0,0,0,"n"
"D00",0,0,0,1,1,0,1,"n"
"D01",0,0,0,0,0,0,1,
"D03",0,0,0,1,1,0,0,"n"
"D10",1,0,0,0,1,1,1,"n"
"D31",0,0,0,0,0,1,0,
"F90",0,0,0,0,0,1,0,
"F92",0,0,0,0,0,0,1,
"G33",0,0,0,0,0,1,0,
"G40",0,0,0,0,0,1,1,
"G50",0,0,0,0,0,1,0,
"G51",0,0,0,0,1,0,0,"n"
"G52",0,0,0,0,1,1,1,"n"
"G57",0,0,0,1,0,0,0,"n"
"G58",0,0,0,0,0,0,1,
"G61",0,0,0,0,0,0,1,
"G62",1,0,0,0,0,1,1,"n"
"G63",0,0,0,0,1,0,0,"n"
"G70",0,0,0,0,1,1,1,"n"
"G73",0,0,0,0,0,1,0,
"G79",0,0,0,0,1,0,0,"n"
"G82",0,0,0,0,1,0,0,"n"
"G83",0,0,0,0,1,1,0,"n"
"G87",0,0,0,0,1,0,0,"n"
"H03",1,0,0,0,0,1,0,"n"
"H10",0,0,0,0,1,0,1,"n"
"H20",0,0,0,0,0,0,1,
"H32",1,1,0,0,0,0,0,"n"
"H42",0,1,0,0,0,1,0,"n"
"H44",0,0,0,0,1,0,0,"n"
"H47",1,0,0,0,0,1,0,"n"
"H48",0,0,0,1,0,0,0,"n"
"H52",0,0,0,0,1,1,0,"n"
"H53",0,1,1,0,0,0,0,"n"
"H58",0,0,0,1,0,0,0,"n"
"H59",0,0,1,0,0,0,0,"n"
"H62",0,0,0,0,0,1,0,
"H63",0,0,0,0,0,1,0,
"H65",0,0,0,0,0,1,0,
"H74",0,0,0,0,1,1,1,"n"
"H76",0,0,0,0,0,1,0,
"H77",0,0,1,0,0,0,0,
"H81",0,0,0,0,1,0,1,"n"
"H83",1,0,0,0,0,0,0,"n"
"H85",0,0,0,0,1,0,1,"n"
"H86",1,0,1,1,1,1,0,"n"
"H87",0,0,1,0,0,0,0,
"H93",0,0,0,0,1,0,0,
"H94",0,0,0,0,1,1,1,"n"
"H95",0,0,0,0,1,1,1,"n"
"H96",1,0,1,1,1,0,0,"n"
"H97",1,0,1,1,1,0,0,"n"
"H98",1,0,1,1,1,0,0,"n"
"H99",1,0,1,1,0,0,1,"n"
"J00",0,0,0,0,0,0,1,
"J01",0,0,0,0,1,0,0,"n"
"J02",0,0,0,0,1,1,1,"n"
"J03",0,0,0,0,1,1,1,"n"
"J04",0,0,0,1,1,1,1,"n"
"J05",1,0,1,1,1,1,1,"n"
"J06",1,1,1,1,1,1,0,"n"
"J08",1,0,1,1,1,0,1,"n"
"J09",0,0,0,1,1,0,1,"n"
"J10",0,0,0,0,1,0,0,"n"
"J11",0,0,0,0,0,0,1,"n"
"J12",1,1,0,0,1,0,0,"n"
"J14",0,0,0,1,1,0,0,"n"
"J15",1,0,0,1,1,0,0,"n"
"J16",1,0,1,1,0,0,0,"n"
"J17",0,0,0,1,1,0,1,"n"
"J18",1,0,1,1,1,0,1,"n"
"J24",0,0,1,0,1,0,0,"n"
"J26",1,0,1,1,1,0,0,"n"
"J33",0,0,0,0,0,1,1,
"J36",1,0,0,1,1,0,0,"n"
"J37",1,0,0,1,1,1,1,"n"
"J38",0,0,0,0,1,0,0,"n"
"J44",0,0,0,0,0,1,1,
"J45",0,0,0,0,1,1,0,"n"
"J46",0,0,0,0,0,1,0,
"J47",1,0,0,0,0,1,0,"n"
"J48",1,0,0,0,0,1,1,"n"
"J49",0,0,0,0,0,1,0,
"J54",0,0,1,0,0,0,0,"n"
"J55",0,1,0,0,0,0,0,"n"
"L54",0,0,0,0,0,1,0,
"L75",0,0,0,0,0,0,1,
"L80",0,0,0,0,0,0,1,
"L81",0,0,0,1,0,0,0,
"L84",0,0,0,0,1,0,0,"n"
"L86",0,0,0,1,0,0,0,"n"
"L90",0,0,0,1,0,1,0,
"L94",0,0,0,0,1,0,0,"n"
"L95",0,0,0,0,0,1,1,"n"
"M00",0,0,0,0,1,0,0,"n"
"M05",0,0,0,0,0,1,1,
"M06",0,0,0,0,0,1,0,
"M07",0,0,0,0,0,0,1,
"M08",0,0,0,0,0,1,1,
"M09",0,0,0,0,0,0,1,
"M10",1,0,0,0,1,0,1,"n"
"M11",0,0,0,0,1,0,0,"n"
"M14",0,0,0,0,0,1,1,"n"
"M15",0,0,0,0,0,0,1,
"M16",0,0,0,0,0,1,1,
"M17",0,0,0,0,0,0,1,
"M18",0,0,0,0,0,0,1,
"M19",0,0,0,0,0,0,1,
"M20",0,0,0,1,1,1,1,"n"
"M21",0,0,0,0,0,1,1,
"M22",0,0,0,0,0,0,1,"n"
"M23",0,0,0,0,0,1,1,"n"
"M24",0,0,0,0,0,1,1,"n"
"M25",0,0,0,0,0,0,1,
"M26",0,0,0,0,0,1,1,
"M27",0,0,0,0,0,0,1,
"M28",0,0,0,0,1,1,0,"n"
"M29",0,0,0,0,1,0,0,"n"
"M30",1,0,0,0,0,1,1,"n"
"M31",0,0,0,0,0,0,1,
"M32",0,0,0,0,1,0,1,"n"
"M33",0,0,0,0,1,1,0,"n"
"M34",0,0,0,0,1,0,1,"n"
"M35",0,0,0,0,1,0,1,"n"
"M36",0,0,0,0,1,0,1,"n"
"M37",0,0,0,0,0,0,1,
"M38",0,0,0,0,1,0,1,"n"
"M39",0,0,0,0,1,0,0,"n"
"M40",0,0,0,0,0,1,1,
"M41",1,0,0,0,0,0,1,"n"
"M42",0,0,0,0,1,0,1,"n"
"M44",0,0,0,0,0,0,1,
"M45",0,0,0,0,0,0,1,
"M46",0,0,0,0,1,0,1,"n"
"M47",0,0,0,0,0,0,1,
"M48",0,0,0,0,0,0,1,
"M50",0,0,0,0,1,0,1,"n"
"M51",0,0,0,0,0,0,1,
"M52",0,0,0,0,1,0,1,"n"
"M54",0,0,0,0,1,0,1,"n"
"M55",0,0,0,0,1,0,1,"n"
"M58",0,0,0,0,0,0,1,
"M62",0,0,0,0,0,0,1,
"M63",0,0,0,0,1,0,0,"n"
"M64",0,0,0,0,0,1,0,"n"
"M65",0,0,0,0,1,0,1,"n"
"M66",0,0,0,0,0,1,0,"n"
"M67",0,0,0,0,0,0,1,
"M68",0,0,0,0,0,1,0,
"M71",0,0,0,0,1,1,1,"n"
"M74",0,0,0,0,0,1,0,"n"
"M75",0,0,0,0,0,1,0,"n"
"M79",0,0,0,0,1,1,1,"n"
"M80",0,0,0,0,0,0,1,
"M81",0,0,0,0,1,0,1,"n"
"M91",0,0,0,1,0,0,1,"n"
"M96",0,0,0,0,1,0,0,"n"
"M99",0,0,0,0,0,0,1,
"N01",0,0,0,0,0,0,1,
"N04",0,0,0,0,1,0,0,"n"
"N05",0,0,0,0,1,0,0,"n"
"N06",0,0,0,0,0,0,1,
"N07",0,0,0,0,1,0,1,"n"
"N09",1,0,0,0,1,0,0,"n"
"N12",0,0,0,0,0,0,1,
"N15",0,0,0,0,1,0,0,"n"
"N16",0,0,0,0,1,0,0,"n"
"N17",0,0,0,0,1,0,0,"n"
"N18",0,0,0,0,0,0,1,
"N19",1,0,0,0,1,1,1,"n"
"N21",0,0,0,0,0,0,1,
"N22",0,0,0,0,0,0,1,
"N24",0,0,0,0,1,0,0,"n"
"N26",0,0,0,0,1,0,0,"n"
"N27",0,0,0,0,1,0,0,"n"
"N28",0,0,0,0,1,0,0,"n"
"N29",0,0,0,0,1,0,1,"n"
"N31",0,0,0,0,1,1,1,"n"
"N32",0,0,0,0,0,0,1,
"N33",0,0,0,0,1,1,1,"n"
"N35",0,0,0,0,0,0,1,
"N37",0,0,0,0,1,0,0,"n"
"N38",0,0,0,0,1,0,0,"n"
"N40",0,0,0,0,1,0,1,"n"
"N42",0,0,0,0,0,0,1,
"N44",0,0,0,0,0,0,1,
"N45",0,0,0,0,0,0,1,
"N48",0,0,0,0,0,1,0,
"N50",1,0,0,0,1,1,0,"n"
"N51",0,0,0,0,1,0,1,"n"
"N53",0,0,0,0,0,0,1,
"N54",0,0,0,0,0,0,1,
"N57",0,0,0,0,0,0,1,
"N60",0,0,0,0,1,0,1,"n"
"N61",0,0,0,0,0,0,1,
"N62",0,0,0,0,0,1,1,
"N63",0,0,0,0,0,0,1,
"N66",0,0,0,0,0,0,1,
"N70",0,0,0,0,0,0,1,
"N71",0,0,0,0,1,0,1,"n"
"N72",0,0,0,0,1,1,1,"n"
"N74",0,0,0,0,1,0,0,"n"
"N80",0,0,0,0,0,0,1,
"N81",0,0,0,0,1,1,1,"n"
"N83",0,0,0,0,1,1,1,"n"
"N89",0,0,0,0,0,1,0,
"N92",0,0,0,0,1,0,0,"n"
"NC31",1,0,0,0,0,0,0,"n"
"NC50",1,0,1,0,0,0,0,"a,n"
"ND16",0,0,0,1,0,0,0,"a"
"ND26",0,0,0,1,0,0,0,"a"
"NG53",0,1,0,0,0,0,0,
"NG88",0,0,0,0,0,0,1,"n"
"NG94",0,0,1,0,0,0,0,"n"
"NH19",0,0,0,0,1,0,0,"n"
"NH30",0,0,0,0,0,0,1,
"NH42",0,0,0,0,0,0,1,
"NH43",0,0,0,1,0,0,0,"n"
"NH44",0,0,0,1,1,0,1,"n"
"NH52",0,0,0,0,0,0,1,"n"
"NH53",0,0,0,0,0,0,1,
"NH54",0,1,1,1,1,1,1,"n"
"NH55",0,0,1,0,0,0,0,"n"
"NH64",0,1,0,1,1,1,1,"n"
"NH65",0,0,0,1,0,0,0,"n"
"NH67",0,0,1,0,0,1,1,"n"
"NH70",0,0,0,1,0,0,0,"n"
"NH73",0,0,0,0,0,0,1,
"NH74",0,0,0,1,0,0,0,"n"
"NH75",0,0,1,0,0,0,1,"n"
"NH77",0,0,1,0,0,0,0,"n"
"NH79",1,0,0,0,0,0,0,"n"
"NH80",0,0,0,1,0,1,1,"n"
"NH81",0,0,0,1,1,1,1,"n"
"NH82",0,0,0,0,0,0,1,
"NH84",0,0,0,0,1,0,0,"n"
"NH85",0,0,1,0,0,0,1,
"NH87",0,0,0,1,0,0,0,
"NH89",0,0,0,0,0,0,1,
"NH91",0,0,0,1,1,0,1,"n"
"NH92",0,0,1,1,1,1,1,"n"
"NH93",0,0,0,0,1,0,0,"n"
"NH94",0,0,1,1,0,0,0,"n"
"NH95",0,0,1,0,0,0,1,"n"
"NJ02",0,0,1,1,1,1,1,"n"
"NJ03",0,0,0,0,1,0,1,"n"
"NJ04",0,0,0,0,0,0,1,
"NJ05",1,1,1,0,1,1,1,"n"
"NJ06",0,0,1,0,1,0,0,"n"
"NJ13",1,0,1,1,1,1,1,"n"
"NJ14",0,0,1,0,1,1,1,"n"
"NJ15",0,0,0,0,0,1,1,
"NJ16",0,0,0,1,0,0,1,
"NJ20",1,0,0,0,0,0,0,"n"
"NJ22",0,0,0,0,0,1,0,"n"
"NJ24",0,0,1,1,1,1,1,"n"
"NJ25",0,0,0,1,1,0,1,"n"
"NJ26",0,1,1,0,0,0,1,"n"
"NJ32",0,0,0,1,0,0,0,"n"
"NJ33",0,0,0,0,0,1,0,
"NJ35",0,0,1,1,1,1,1,"n"
"NJ36",0,0,1,1,1,1,1,"n"
"NJ50",1,0,0,0,0,0,0,"n"
"NJ51",0,0,0,0,0,0,1,
"NJ52",0,0,0,0,0,1,1,
"NJ53",0,0,1,0,0,0,0,"n"
"NJ61",0,0,0,0,0,0,1,
"NJ62",0,0,0,0,0,1,0,
"NJ64",0,0,0,0,0,0,1,
"NJ66",1,0,0,0,0,0,0,"n"
"NJ70",1,0,0,0,0,0,0,"n"
"NJ71",0,0,0,0,1,0,0,"n"
"NJ75",0,0,0,1,1,1,1,"n"
"NJ80",1,0,1,0,1,1,1,"n"
"NJ81",1,0,0,0,0,0,0,"n"
"NJ90",1,0,1,0,1,1,1,"n"
"NJ91",0,0,0,0,0,1,0,
"NM54",1,0,0,1,0,0,0,"n"
"NM70",0,0,0,1,1,0,0,"a"
"NM80",0,0,1,0,1,0,0,"a"
"NM84",0,0,0,1,1,0,0,"n"
"NM86",0,0,1,1,0,0,0,"n"
"NM90",0,0,1,0,1,0,0,"n"
"NM94",0,0,0,0,1,0,0,"n"
"NM96",1,0,0,0,0,0,0,"n"
"NN00",0,1,1,0,1,0,0,"a,n"
"NN02",1,0,0,0,0,0,0,"n"
"NN05",0,0,1,0,1,0,0,"n"
"NN06",1,0,0,0,0,0,1,"n"
"NN07",0,0,0,1,0,1,0,"n"
"NN18",0,0,0,0,0,1,0,
"NN20",0,0,0,0,0,0,1,
"NN22",1,0,0,0,0,0,0,"n"
"NN30",0,0,0,0,0,0,1,
"NN40",0,0,0,0,1,0,0,"n"
"NN50",0,0,0,0,1,0,1,"n"
"NN51",0,0,1,1,1,0,1,"n"
"NN52",1,0,1,0,0,0,0,"n"
"NN60",1,0,0,0,1,0,1,"n"
"NN62",0,0,0,0,1,0,0,"n"
"NN64",0,0,1,0,0,0,0,"n"
"NN65",0,0,0,0,1,0,0,"n"
"NN67",0,0,0,0,0,0,1,
"NN70",0,0,0,0,1,1,1,"n"
"NN72",0,0,0,1,0,0,0,"n"
"NN73",0,0,1,1,0,0,0,"n"
"NN74",1,1,1,1,0,1,1,"n"
"NN75",0,0,0,0,0,0,1,
"NN79",0,0,0,1,0,0,1,
"NN80",1,0,0,1,0,0,0,"n"
"NN82",0,0,0,0,1,0,1,"n"
"NN83",0,0,0,0,0,1,0,"n"
"NN84",1,0,0,0,0,1,1,"n"
