"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NC21",0,0,0,1,1,1,1,"n"
"NG42",1,0,0,0,0,0,0,"n"
"NH80",1,0,0,0,1,0,1,
"NJ00",0,0,0,1,1,0,1,"n"
"NJ10",1,0,0,0,0,0,0,
"NJ23",1,0,0,0,0,0,0,
"NJ55",1,0,0,0,0,0,0,
"NJ56",1,0,0,0,0,0,0,
"NN37",0,0,0,0,0,0,1,
"NN75",0,0,0,0,0,1,0,
"NN99",0,0,0,0,1,1,1,"n"
"NO19",0,0,0,1,1,0,0,"n"
"NO28",0,0,1,0,0,0,0,
"NT65",1,0,0,0,0,0,0,
"NY69",0,0,0,0,1,1,1,"n"
"NY84",0,0,0,0,0,0,1,
"NY85",0,0,0,0,0,0,1,
"SE98",1,0,0,0,0,0,0,
"SO73",0,0,0,1,1,0,0,"n"
"SO74",1,0,0,0,0,0,0,
"SO80",1,0,0,0,0,0,0,"n"
"SO87",1,0,0,0,0,0,0,"n"
"SU83",1,0,0,0,0,0,0,"n"
