"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C51",0,0,0,0,1,0,0,"a"
"G30",0,0,0,0,1,0,0,"a"
"G51",0,0,0,0,1,0,0,"a"
"H15",0,0,0,0,0,0,1,
"H32",0,0,0,0,0,0,1,
"H39",0,0,0,0,0,1,0,
"HP60",0,0,0,0,0,0,1,
"HU44",0,0,0,0,0,0,1,
"J08",0,0,0,0,0,1,0,
"J11",0,0,0,0,0,1,0,
"J12",0,0,0,0,1,0,0,"a"
"J18",0,0,0,0,0,1,0,
"J38",0,0,0,0,0,1,0,
"J48",0,0,0,0,0,1,0,
"N21",0,0,0,0,0,0,1,
"N42",0,0,0,0,0,0,1,
"NC40",0,0,0,0,0,0,1,
"NC51",0,0,0,0,0,0,1,
"NC80",0,0,0,0,0,0,1,
"NC90",0,0,0,0,0,0,1,
"NG35",0,0,0,1,0,0,1,"a"
"NG75",0,0,0,0,0,0,1,
"NG77",0,0,0,0,0,0,1,
"NG81",0,0,0,0,0,0,1,
"NG82",0,0,0,0,0,0,1,
"NG83",0,0,0,0,0,0,1,
"NG85",0,0,0,0,0,0,1,
"NG88",0,0,0,0,0,0,1,
"NG90",0,0,0,0,0,0,1,
"NG91",0,0,0,0,0,0,1,
"NH18",0,0,0,0,0,0,1,
"NH59",0,0,0,0,0,0,1,
"NH68",0,0,0,0,0,0,1,
"NH78",0,0,0,0,0,1,1,
"NH79",0,0,0,0,0,0,1,
"NH88",0,0,0,0,0,0,1,
"NH89",0,0,0,0,0,0,1,
"NH94",0,0,1,0,1,0,1,"a"
"NJ03",0,0,0,0,1,0,0,"a"
"NJ15",0,0,0,0,1,0,0,"a"
"NJ16",0,0,0,0,0,0,1,
"NJ25",0,0,0,0,1,0,0,"a"
"NJ26",0,0,0,0,1,0,1,"a"
"NJ36",0,0,0,0,0,0,1,
"NJ62",0,0,0,0,0,0,1,
"NJ66",0,0,0,0,1,0,0,
"NJ81",0,0,0,0,0,1,0,
"NM49",0,0,0,0,0,1,0,
"NN10",0,0,0,0,1,0,0,"a"
"NN18",0,0,0,0,0,0,1,
"NN86",0,0,0,0,0,1,0,
"NN94",0,0,0,0,0,0,1,
"NO30",0,0,0,0,0,1,0,
"NO31",0,0,0,0,1,0,0,"a"
"NO33",0,0,1,0,1,0,0,"a"
"NO79",0,0,0,0,0,1,0,
"NO88",0,0,0,0,0,0,1,
"NO99",0,0,0,0,0,1,0,
"NS03",0,0,0,0,1,0,0,"a"
"NS15",0,0,0,0,0,0,1,
"NS16",0,0,0,0,0,0,1,
"NS28",0,0,0,1,1,0,0,
"NS30",0,0,0,0,0,0,1,
"NS31",0,0,0,0,0,0,1,
"NS36",0,0,0,0,1,0,0,"a"
"NS37",0,0,0,0,1,0,0,
"NS42",0,0,0,0,0,0,1,
"NS46",0,0,0,0,1,0,1,"a"
"NS47",0,0,0,0,1,0,0,"a"
"NS55",0,0,0,0,0,1,0,
"NS56",0,0,0,0,1,1,0,"a"
"NS66",0,0,0,0,0,1,1,
"NS67",0,0,0,0,0,0,1,
"NS74",1,0,0,0,0,0,0,"a"
"NS75",0,0,0,0,1,0,0,"a"
"NS76",0,0,0,0,0,1,0,
"NS84",0,0,0,0,1,0,0,"a"
"NS89",0,0,0,0,1,0,0,"a"
"NS96",0,0,0,0,0,1,0,
"NS97",1,0,0,0,1,0,0,"a"
"NS98",0,0,0,0,1,0,0,"a"
"NT06",0,0,0,1,1,1,0,"a"
"NT07",0,0,0,0,1,1,0,"a"
"NT16",0,0,0,0,1,0,0,
"NT17",0,0,0,1,1,1,0,"a"
"NT18",0,0,0,0,0,1,0,
"NT26",0,0,0,1,0,0,0,
"NT27",0,0,0,0,1,0,1,"a"
"NT28",0,0,0,0,0,0,1,
"NT36",0,0,1,0,1,0,0,"a"
"NT42",0,0,0,0,0,0,1,
"NT47",0,0,0,0,1,0,0,"a"
"NT51",0,0,0,0,0,0,1,
"NT57",0,0,0,0,0,0,1,
"NT67",0,0,0,0,1,0,0,"a"
"NU13",0,0,0,0,0,1,0,
"NX40",0,0,0,1,0,0,0,
"NX46",0,0,0,1,0,0,0,"a"
"NX86",0,0,0,0,1,0,0,"a"
"NX92",0,0,0,0,0,0,1,
"NX97",0,0,0,0,1,0,0,"a"
"NY35",0,0,0,1,0,0,0,"a"
"NY43",0,0,0,0,0,0,1,
"NY44",0,0,0,1,1,0,1,"a"
