"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B61",1,0,1,0,0,0,0,"a"
"B70",0,0,1,0,0,0,0,"a"
"B71",0,0,1,0,0,0,0,"a"
"B80",0,0,0,0,1,0,0,"a"
"C00",0,0,1,0,0,0,0,"a"
"C01",0,0,1,0,0,0,0,"a"
"C03",0,0,1,0,0,0,0,"a"
"C13",0,0,1,0,0,0,0,"a"
"C14",0,0,1,0,0,0,0,"a"
"C31",0,0,0,0,1,0,0,"a"
"C40",0,0,0,0,1,0,0,"a"
"C41",0,0,0,0,1,0,0,"a"
"C73",0,0,0,0,0,0,1,
"C81",0,0,0,0,1,0,0,"a"
"C83",0,0,0,0,1,0,0,"a"
"D23",0,0,0,0,1,0,0,"a"
"D31",0,0,0,0,0,0,1,
"F73",0,0,0,0,0,0,1,
"F82",0,0,1,0,0,0,0,"a"
"F92",0,0,1,0,0,0,0,"a"
"G02",1,0,1,0,0,0,0,"a"
"G04",0,0,1,0,0,0,0,"a"
"G20",0,0,0,0,0,1,0,
"G30",0,0,1,0,0,0,0,"a"
"G40",0,0,1,0,0,0,0,"a"
"G50",0,0,1,0,0,0,0,"a"
"G52",0,0,1,0,0,0,0,"a"
"G54",0,0,0,0,0,0,1,
"G61",0,0,1,0,0,0,1,"a"
"G64",0,0,1,0,0,0,0,"a"
"G71",0,0,0,0,1,0,0,"a"
"G72",0,0,1,0,0,0,0,"a"
"G73",0,0,0,0,0,1,1,
"G75",0,0,1,0,0,0,1,"a"
"G77",0,0,1,0,0,0,0,"a"
"G79",0,0,0,0,1,0,0,"a"
"G80",0,0,0,0,0,0,1,
"G81",0,0,1,0,0,0,0,"a"
"G82",0,0,1,0,0,0,0,"a"
"G83",0,0,0,0,0,1,0,
"G90",1,0,1,0,0,0,0,"a"
"G91",1,0,1,0,0,0,0,"a"
"G92",0,0,0,0,0,0,1,
"G96",0,0,0,0,1,0,0,"a"
"G97",0,0,0,0,1,0,0,"a"
"G98",1,0,1,0,0,0,0,"a"
"H00",1,0,1,0,1,0,0,"a"
"H05",0,0,0,0,1,0,0,"a"
"H10",1,0,1,0,0,1,0,"a"
"H11",1,0,1,0,0,0,1,"a"
"H15",0,0,0,0,1,1,0,"a"
"H16",0,0,0,1,1,0,0,"a"
"H20",0,0,1,0,0,0,0,"a"
"H21",0,0,1,0,0,0,0,"a"
"H22",0,0,1,0,0,0,0,"a"
"H24",1,0,0,0,0,0,0,"a"
"H26",0,0,0,0,1,0,0,"a"
"H28",0,0,0,0,0,0,1,
"H30",0,0,0,0,0,1,0,
"H31",0,0,1,0,0,0,0,"a"
"H32",0,0,1,0,0,0,0,"a"
"H35",0,0,0,0,0,0,1,
"H36",0,0,0,0,0,1,0,
"H41",0,0,0,0,0,1,1,
"H42",0,0,0,0,0,1,0,
"H43",0,0,1,0,0,0,0,"a"
"H47",0,0,0,0,1,0,0,"a"
"H50",0,0,1,0,0,0,0,"a"
"H52",0,0,0,0,0,1,0,
"H53",0,0,0,0,1,1,0,"a"
"H55",0,0,0,0,1,0,0,"a"
"H56",0,0,0,0,1,0,0,"a"
"H60",0,0,1,0,0,0,0,"a"
"H61",0,0,0,0,1,1,1,"a"
"H62",0,0,0,0,1,1,0,"a"
"H63",1,0,1,0,0,0,0,"a"
"H64",0,0,0,0,1,1,0,"a"
"H65",0,0,0,1,1,1,0,"a"
"H68",0,0,1,0,0,0,0,"a"
"H70",0,0,1,1,0,0,0,"a"
"H73",0,0,0,0,1,0,1,"a"
"H74",0,0,0,1,1,1,1,"a"
"H75",0,0,0,0,1,1,1,"a"
"H76",0,0,0,0,1,1,0,"a"
"H77",0,0,0,0,0,1,0,
"H78",0,0,0,1,0,0,0,"a"
"H80",0,0,0,0,1,1,0,"a"
"H81",0,0,0,0,1,0,0,"a"
"H82",0,0,0,0,1,0,0,"a"
"H83",0,0,0,0,1,1,0,"a"
"H84",0,0,1,0,0,0,0,"a"
"H85",1,0,1,0,1,1,1,"a"
"H86",0,0,0,0,1,1,0,"a"
"H87",0,0,0,1,0,0,1,"a"
"H88",0,0,0,0,1,0,0,"a"
"H90",0,0,1,0,1,1,0,"a"
"H94",0,0,0,0,0,1,0,"a"
"H95",0,0,1,0,1,1,0,"a"
"H96",0,0,0,0,0,1,0,
"H98",0,0,0,0,1,0,0,"a"
"HY22",0,0,0,0,1,0,0,"a"
"HY30",1,0,0,0,0,0,0,"a"
"HY31",0,0,0,0,1,0,0,"a"
"HY32",0,0,0,0,1,0,0,"a"
"HY62",1,0,0,0,0,0,0,"a"
"J03",0,0,0,0,0,0,1,
"J04",0,0,0,0,0,0,1,
"J05",0,0,0,0,0,1,0,
"J06",0,0,0,0,0,1,0,
"J08",0,0,0,0,0,1,0,
"J12",0,0,0,0,0,0,1,
"J14",0,0,0,0,1,0,0,"a"
"J16",0,0,0,0,1,0,0,
"J21",0,0,0,0,0,1,1,
"J24",0,0,1,0,0,0,0,"a"
"J26",0,0,0,0,0,0,1,
"J33",0,0,0,0,0,0,1,
"J37",0,0,0,0,1,1,0,"a"
"J44",0,0,0,0,0,1,1,
"J45",0,0,0,0,0,0,1,
"J47",0,0,0,0,0,1,0,
"J48",1,0,1,0,0,0,0,"a"
"J49",0,0,1,0,0,0,0,"a"
"J55",0,0,0,0,0,0,1,
"J58",0,0,0,0,0,1,0,
"J66",0,0,0,0,1,1,1,"a"
"L99",0,0,1,0,0,0,0,"a"
"M08",0,0,1,0,0,0,0,"a"
"M09",0,0,1,0,0,0,0,"a"
"M19",0,0,1,0,0,0,0,"a"
"M28",0,0,0,0,0,0,1,
"M33",0,0,0,0,1,0,0,"a"
"M34",0,0,1,0,0,0,0,"a"
"M40",0,0,1,0,0,0,0,"a"
"M41",0,0,0,1,0,0,0,"a"
"M46",0,0,1,0,0,0,0,"a"
"M47",0,0,1,0,0,0,0,"a"
"M49",0,0,1,0,0,0,0,"a"
"M51",0,0,1,0,0,0,0,"a"
"M55",0,0,1,0,0,0,1,"a"
"M56",0,0,1,0,0,0,0,"a"
"M59",0,0,1,0,0,0,0,"a"
"M60",1,0,1,0,0,0,0,"a"
"M63",0,0,0,0,0,0,1,
"M65",0,0,1,0,0,1,0,"a"
"M67",0,0,1,0,0,0,1,"a"
"M70",0,0,0,0,0,1,0,
"M71",0,0,1,0,0,0,0,"a"
"M72",0,0,1,0,0,0,0,"a"
"M74",0,0,1,0,0,0,0,"a"
"M78",0,0,1,0,0,0,0,"a"
"M80",0,0,0,0,1,0,0,"a"
"M82",0,0,1,0,0,0,0,"a"
"M83",0,0,1,0,0,0,0,"a"
"M84",0,0,1,0,0,0,0,"a"
"M87",0,0,1,0,0,0,0,"a"
"M88",0,0,1,0,0,0,0,"a"
"M89",0,0,0,0,1,0,0,"a"
"M91",0,0,1,0,1,0,1,"a"
"M93",1,0,1,0,0,0,0,"a"
"M96",1,0,1,0,0,0,0,"a"
"M97",0,0,1,0,0,0,0,"a"
"M98",0,0,1,0,0,0,0,"a"
"M99",0,0,1,0,1,1,0,"a"
"N00",0,0,0,0,0,0,1,
"N01",0,0,1,0,0,0,1,"a"
"N02",0,0,0,0,0,0,1,
"N03",0,0,1,0,0,0,0,"a"
"N09",1,0,1,0,0,0,0,"a"
"N10",0,0,0,0,1,0,0,"a"
"N11",0,0,1,0,0,0,1,"a"
"N12",0,0,0,0,0,0,1,
"N15",0,0,0,0,0,1,0,
"N16",0,0,1,0,0,0,0,"a"
"N19",1,0,1,0,0,0,0,"a"
"N20",1,0,1,0,0,0,0,"a"
"N21",0,0,1,0,0,1,0,"a"
"N22",0,0,0,0,0,0,1,
"N24",0,0,1,0,0,0,0,"a"
"N29",1,0,1,0,1,0,0,"a"
"N32",0,0,0,0,1,0,1,"a"
"N33",0,0,1,0,0,0,0,"a"
"N34",0,0,1,0,0,0,0,"a"
"N36",0,0,1,0,0,0,0,"a"
"N37",0,0,1,0,0,0,0,"a"
"N39",0,0,1,0,0,0,0,"a"
"N40",0,0,1,0,0,0,0,"a"
"N42",0,0,0,0,0,0,1,
"N43",0,0,1,0,0,0,0,"a"
"N45",0,0,0,0,0,0,1,
"N46",0,0,0,0,0,1,0,
"N49",0,0,1,0,0,0,0,"a"
"N50",1,0,1,0,0,1,0,"a"
"N54",0,0,1,0,0,0,0,"a"
"N55",0,0,1,0,0,0,0,"a"
"N60",0,0,1,0,0,0,1,"a"
"N61",0,0,1,0,0,0,1,"a"
"N62",0,0,0,0,0,0,1,
"N63",0,0,1,0,0,0,1,"a"
"N69",0,0,1,0,0,0,0,"a"
"N71",0,0,1,0,0,0,0,"a"
"N72",0,0,0,0,0,0,1,
"N73",0,0,1,0,0,0,0,"a"
"N74",0,0,1,0,0,0,1,"a"
"N78",0,0,1,0,0,0,0,"a"
"N80",1,0,1,0,0,0,0,"a"
"N81",0,0,1,0,0,1,1,"a"
"N86",0,0,1,0,0,1,0,"a"
"N88",0,0,1,0,0,0,0,"a"
"N89",1,0,1,1,0,0,0,"a"
"N99",0,0,0,0,0,0,1,
"NC30",0,0,0,0,1,0,1,
"NC50",0,0,0,0,0,0,1,
"NC60",0,0,1,0,0,0,0,"a"
"NC65",0,0,0,0,0,0,1,
"NC73",0,0,0,0,0,0,1,
"NC80",0,0,0,0,0,0,1,
"NC90",0,0,0,0,0,0,1,
"ND01",0,0,0,0,0,0,1,
"NG51",0,0,0,1,1,0,0,"a"
"NG53",0,0,0,0,1,0,0,"a"
"NG60",0,0,0,0,0,1,0,
"NG71",0,0,0,0,1,0,0,"a"
"NG74",0,0,1,0,0,0,0,"a"
"NG80",0,0,0,1,0,0,0,"a"
"NG92",1,0,0,0,0,0,0,"a"
"NG94",1,0,0,0,0,0,0,"a"
"NH19",1,0,0,0,0,0,0,"a"
"NH25",0,0,0,0,0,0,1,
"NH26",0,0,0,0,0,0,1,
"NH32",0,0,1,0,0,0,0,"a"
"NH35",0,0,0,1,1,0,0,"a"
"NH36",0,0,0,0,1,1,0,"a"
"NH43",0,0,0,1,0,0,0,
"NH44",0,0,0,1,0,0,1,"a"
"NH45",0,0,0,0,1,0,0,"a"
"NH51",0,0,1,0,0,0,0,"a"
"NH52",0,0,0,0,0,0,1,
"NH54",0,1,1,0,1,0,1,"a"
"NH55",0,0,1,0,1,1,1,"a"
"NH56",0,0,1,0,0,1,0,"a"
"NH64",0,0,0,1,0,0,1,
"NH65",0,0,1,0,0,0,0,"a"
"NH66",0,0,1,0,0,0,0,"a"
"NH68",0,0,0,1,0,0,0,"a"
