"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C01",0,0,0,0,0,0,1,"n"
"C12",0,0,0,0,0,0,1,"n"
"C14",0,0,1,0,0,0,0,"n"
"C22",0,0,0,0,0,0,1,"n"
"C23",1,0,0,0,0,0,0,"n"
"C31",1,0,0,0,0,0,0,"n"
"C53",0,0,0,0,1,0,0,"n"
"C81",0,1,0,0,0,0,0,"n"
"C83",0,1,0,0,0,0,0,"n"
"C90",0,0,0,0,1,1,0,"n"
"C91",0,0,1,0,0,0,0,"n"
"D00",1,0,0,0,0,0,0,"n"
"D21",0,0,0,1,1,0,0,"n"
"D22",1,0,0,0,0,0,0,"n"
"D23",1,0,0,0,0,0,0,"n"
"D31",0,0,0,1,1,0,0,"n"
"G00",0,0,0,0,1,0,0,"n"
"G20",0,0,0,0,0,0,1,"n"
"G50",0,0,1,0,1,0,1,"n"
"G61",0,0,0,0,1,1,1,"n"
"G62",0,0,1,0,1,0,1,"n"
"G67",1,0,0,0,0,0,1,"n"
"G70",0,0,0,0,0,1,0,"n"
"G71",1,0,0,0,1,0,1,"n"
"G72",0,0,1,0,1,0,1,"n"
"G73",1,0,0,1,1,1,0,"n"
"G78",0,0,0,0,1,0,1,"n"
"G79",0,0,0,0,0,1,0,"n"
"G80",1,0,0,0,1,0,0,"n"
"G82",0,0,0,0,1,0,0,"n"
"G83",1,0,0,0,0,0,0,"n"
"G85",0,0,0,0,0,1,0,"n"
"G90",0,0,1,0,1,1,0,"n"
"G91",0,0,0,0,0,1,1,"n"
"G92",0,0,1,0,1,1,1,"n"
"G94",0,0,0,0,1,0,0,"n"
"G95",1,0,0,0,0,0,0,"n"
"G96",0,0,0,0,1,0,0,"n"
"H00",0,0,0,0,1,1,1,"n"
"H01",0,0,0,0,0,0,1,"n"
"H03",0,0,0,0,1,1,1,"n"
"H04",0,0,0,0,1,0,1,"n"
"H05",0,1,1,0,0,1,1,"n"
"H06",0,0,0,0,1,0,0,"n"
"H10",0,0,0,0,1,1,0,"n"
"H11",0,0,0,0,0,1,1,"n"
"H13",0,1,1,0,1,0,0,"n"
"H14",0,0,1,1,1,0,0,"n"
"H15",1,1,1,1,1,1,0,"n"
"H16",1,1,0,1,1,0,0,"n"
"H20",0,0,0,0,1,0,1,"n"
"H21",0,0,0,0,1,1,1,"n"
"H22",0,0,1,0,0,0,0,"n"
"H23",0,1,1,1,1,1,1,"n"
"H24",0,1,1,1,1,0,1,"n"
"H25",1,0,1,0,1,0,0,"n"
"H26",0,0,1,0,0,0,0,"n"
"H30",1,0,0,0,1,1,1,"n"
"H31",0,0,1,0,1,0,1,"n"
"H32",1,1,1,1,1,1,1,"n"
"H33",0,0,1,1,1,1,1,"n"
"H38",1,0,1,0,1,1,1,"n"
"H41",0,0,0,1,1,1,1,"n"
"H42",0,1,1,1,1,1,1,"n"
"H43",0,0,0,0,1,0,0,"n"
"H44",0,0,0,0,0,1,0,"n"
"H45",0,0,1,0,0,0,0,"n"
"H48",1,0,0,0,0,0,0,"n"
"H54",0,0,0,0,1,0,0,"n"
"H55",0,0,0,1,0,0,0,"n"
"H60",1,0,0,0,1,1,1,"n"
"H61",0,0,0,0,0,1,1,"n"
"H64",0,0,0,0,0,1,0,
"H71",0,0,0,0,1,1,0,"n"
"H73",0,0,0,1,1,0,0,"n"
"H74",1,0,0,1,0,0,1,"n"
"H75",0,0,0,0,1,1,0,"n"
"H76",0,0,0,1,0,0,0,"n"
"H80",1,0,0,1,0,1,1,"n"
"H81",0,0,1,1,0,1,0,"n"
"H82",0,0,0,0,1,0,0,"n"
"H85",0,0,0,0,1,0,0,"n"
"H86",0,0,0,1,1,0,0,"n"
"H88",1,0,0,0,1,0,0,"n"
"H91",0,0,0,0,1,0,0,"n"
"H95",1,0,0,0,0,0,1,"n"
"H96",1,0,1,1,1,1,1,"n"
"H97",1,1,0,1,1,1,1,"n"
"H98",0,0,1,1,1,0,1,"n"
"H99",0,0,1,1,1,0,1,"n"
"HY32",0,0,0,1,0,0,0,"n"
"HY42",0,0,1,0,1,0,0,"n"
"HY43",0,0,1,0,1,0,0,"n"
"HY64",0,1,0,1,1,1,1,"n"
"HY75",1,0,0,0,0,0,0,"n"
"J03",0,0,1,1,0,0,0,"n"
"J04",1,1,0,1,1,0,0,"n"
"J05",0,0,1,0,1,0,1,"n"
"J06",0,0,1,1,1,1,1,"n"
"J07",0,0,0,1,0,0,0,"n"
"J08",0,0,0,1,1,0,1,"n"
"J10",0,0,0,0,0,0,1,"n"
"J13",0,0,1,0,0,0,0,"n"
"J14",1,0,1,1,0,0,0,"n"
"J15",0,0,0,0,1,1,0,"n"
"J16",0,0,1,0,1,0,1,"n"
"J17",0,0,1,1,1,0,0,"n"
"J18",1,0,1,1,1,0,1,"n"
"J24",0,0,1,0,0,0,0,"n"
"J25",0,0,0,1,1,0,1,"n"
"J26",1,0,0,0,0,0,0,"n"
"J33",0,0,0,0,0,0,1,"n"
"J35",0,0,1,1,1,1,0,"n"
"J36",0,0,1,0,0,0,0,"n"
"J37",1,0,1,0,0,0,0,"n"
"J44",1,0,0,1,1,1,1,"n"
"J45",1,0,0,1,1,0,1,"n"
"J46",1,0,1,0,1,0,0,"n"
"J54",0,0,0,0,1,0,0,"n"
"J55",1,0,1,1,1,1,0,"n"
"J58",0,0,0,0,0,1,0,"n"
"J65",1,0,0,0,0,0,0,"n"
"J66",0,0,0,0,1,0,0,"n"
"L66",1,0,0,0,0,0,0,"n"
"L73",0,0,0,0,1,0,0,"n"
"L83",0,0,1,0,0,0,0,"n"
"L92",1,0,1,0,0,0,0,"n"
"L98",0,0,0,0,0,0,1,"n"
"M02",1,0,0,0,0,0,0,"n"
"M04",0,0,0,0,1,0,1,"n"
"M05",0,0,1,0,1,0,1,"n"
"M06",1,0,1,0,0,0,0,"n"
"M09",0,0,1,0,1,0,0,"n"
"M14",1,0,0,0,1,1,1,"n"
"M15",0,0,0,0,1,0,1,"n"
"M17",0,0,1,0,0,1,1,"n"
"M18",0,0,0,0,0,0,1,"n"
"M19",0,0,1,0,0,0,1,"n"
"M22",0,0,0,1,0,1,1,"n"
"M23",0,0,0,1,1,1,0,"n"
"M25",0,0,0,0,0,0,1,"n"
"M40",1,0,0,0,0,0,0,"n"
"M43",0,0,1,0,0,0,0,"n"
"M50",0,0,0,0,1,0,0,"n"
"M69",0,0,0,0,0,1,1,"n"
"M70",0,0,0,0,0,0,1,"n"
"M73",0,0,0,0,1,0,0,"n"
"M79",0,0,0,0,1,0,0,"n"
"M80",1,0,0,0,1,1,1,"n"
"M82",1,0,0,0,0,0,0,"n"
"M87",0,0,0,0,1,0,0,"n"
"M90",0,0,0,0,0,0,1,"n"
"M91",0,0,0,0,0,0,1,"n"
"M92",0,0,0,0,1,0,0,"n"
"M95",0,0,0,0,1,0,1,"n"
"M96",0,0,1,0,0,1,1,"n"
"M97",0,0,1,0,0,0,0,"n"
"M98",1,0,1,0,0,1,0,"n"
"M99",0,0,0,0,1,1,1,"n"
"N01",0,0,0,0,1,0,1,"n"
