"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C91",1,0,0,0,0,0,0,"n"
"G10",0,0,1,0,0,0,0,"n"
"G62",0,0,0,0,0,0,1,
"G80",1,0,0,0,0,0,1,"n"
"H20",0,0,0,0,0,0,1,
"H21",0,0,0,0,1,1,1,"n"
"H22",1,0,1,0,0,0,0,"n"
"H23",1,0,0,0,0,0,0,"n"
"H30",0,0,0,0,0,1,0,
"H32",0,0,0,1,1,1,1,"n"
"H33",0,0,1,0,0,0,0,"n"
"H41",0,0,0,0,0,0,1,
"H42",0,0,0,0,0,0,1,
"H73",1,0,0,0,0,0,0,"n"
"H74",1,0,1,1,0,0,1,"n"
"H76",0,0,0,0,1,0,0,"n"
"H77",0,1,0,0,0,0,0,"n"
"H84",0,0,1,1,0,0,0,"n"
"H85",1,0,1,1,1,1,0,"n"
"H86",0,0,0,1,1,1,1,"n"
"H94",0,0,1,0,0,0,0,"n"
"H95",0,0,0,0,1,0,0,"n"
"H96",1,1,1,1,1,0,0,"n"
"H97",1,0,1,1,1,0,0,"n"
"H99",1,0,0,1,0,0,0,"n"
"J04",0,0,1,0,0,0,0,"n"
"J05",1,0,0,1,1,0,1,"n"
"J06",1,1,1,1,1,0,0,"n"
"J07",1,0,0,0,0,0,0,"n"
"J08",1,0,0,1,0,0,0,"n"
"J16",1,1,0,1,1,0,0,"n"
"J17",1,0,1,0,0,0,0,"n"
"J18",1,0,0,1,0,0,0,"n"
"M10",0,0,0,0,0,1,0,
"M17",0,0,0,0,0,0,1,
"M20",0,0,0,1,1,0,0,"n"
"M22",0,0,0,1,0,0,1,
"M23",0,0,0,1,0,0,0,
"M25",0,0,0,0,1,0,1,"n"
"M26",0,0,0,0,1,0,0,"n"
"M31",0,0,0,0,1,0,0,"n"
"M40",1,0,1,0,1,1,1,"n"
"M41",0,0,0,0,1,0,1,"n"
"M50",0,0,0,0,1,0,0,"n"
"M69",0,0,0,0,0,1,0,
"M70",0,0,0,0,0,0,1,
"M80",1,0,1,1,1,1,1,"n"
"M84",0,0,0,0,0,1,0,
"M90",0,0,0,0,0,0,1,
"M91",0,0,0,1,1,1,1,"n"
"M92",0,0,0,0,0,1,1,
"M93",0,0,0,0,0,0,1,
"M94",0,0,0,0,0,1,0,
"M95",1,0,0,1,0,1,1,"n"
"M98",0,0,0,0,0,1,0,
"N01",1,0,0,0,1,1,1,"n"
"N02",0,0,0,0,1,0,1,
"N03",1,0,0,0,1,1,1,"n"
"N04",1,0,1,0,1,0,1,"n"
"N05",0,0,0,1,0,1,1,"n"
"N06",0,0,0,0,0,0,1,
"N07",0,0,0,0,1,1,0,"n"
"N08",0,0,0,0,0,1,1,
"N09",0,0,0,1,0,1,0,"n"
"N14",0,0,0,0,0,1,0,
"N15",1,0,0,0,0,0,0,"n"
"N28",0,0,0,0,0,1,0,
"N29",0,0,1,0,0,0,0,"n"
"N36",0,0,1,1,1,0,0,"n"
"N37",0,0,0,0,1,0,0,"n"
"N38",1,0,0,0,0,0,1,"n"
"N39",0,0,0,0,0,1,1,
"N40",0,0,0,0,0,1,0,
"N41",1,0,1,0,0,0,0,"n"
"N48",1,0,0,0,0,1,0,"n"
"N50",1,0,1,0,0,0,0,"n"
"N56",0,0,0,1,0,0,1,"n"
"N60",0,0,1,0,0,0,1,"n"
"N61",0,0,1,0,0,1,0,"n"
"N82",1,0,0,0,0,0,0,"n"
"N85",0,0,1,0,0,0,0,"n"
"N86",1,0,0,0,1,0,0,"n"
"N97",1,0,1,0,1,1,1,"n"
"N99",0,0,0,0,0,1,0,
"NH41",0,0,0,0,0,0,1,
"NH55",0,0,0,0,1,0,0,"a"
"NJ73",0,0,0,1,0,0,0,
"NM66",0,0,0,0,0,0,1,
"NR75",0,0,0,1,0,0,0,"n"
"NR76",0,0,0,1,0,0,0,"n"
"NR96",1,0,0,0,0,0,0,
"NS02",1,0,0,0,0,0,0,"a"
"NS16",1,0,0,0,1,0,0,"a"
"NS17",1,0,0,0,0,0,0,"a"
"NS18",0,0,0,0,1,0,0,"a"
"NS28",1,0,0,1,0,0,0,"a"
"NS37",0,0,1,1,1,0,0,"a"
"NS46",1,0,0,0,0,0,0,"a"
"NS47",1,0,0,0,0,0,0,"a"
"NS56",0,0,0,0,0,1,0,
"NS66",1,0,0,0,0,0,0,"n"
"NS83",0,0,0,0,0,0,1,
"NT07",1,0,0,0,0,0,0,"n"
"NT08",0,0,0,0,1,0,0,
"NT17",0,0,0,0,1,0,0,
"NT26",1,0,0,0,0,0,0,"n"
"NT27",0,0,1,0,0,0,1,"a"
"NT77",1,0,0,0,0,0,0,"n"
"NT95",1,0,0,0,0,0,0,"n"
"NT96",1,0,0,0,0,0,0,"n"
"NU22",0,0,0,0,0,0,1,
"NX44",1,0,0,0,0,0,0,"n"
"NX46",1,0,0,0,0,0,0,"n"
"NX74",0,0,0,0,1,0,0,"a"
"NX85",1,0,0,0,0,1,0,"n"
"NY22",1,0,0,0,0,0,0,"n"
"NY23",0,0,0,0,0,0,1,
"NY34",1,0,0,0,0,0,0,"n"
"NY35",0,0,1,0,0,0,0,"n"
"NY41",0,0,0,0,0,0,1,
"NY42",0,0,0,0,0,0,1,
"NY53",0,0,1,0,0,0,0,"n"
"NY54",0,0,0,0,1,1,1,"n"
"NY65",0,0,0,0,1,0,0,"n"
"NY82",0,0,0,0,0,0,1,
"NY83",0,0,0,0,0,0,1,
"NY87",1,0,1,0,0,0,0,"n"
"NY88",1,0,0,0,0,0,0,"n"
"NY92",0,0,0,0,0,1,0,
"NY96",1,0,0,0,0,0,0,"n"
"NY98",0,0,0,0,0,1,0,
"NZ01",0,0,0,0,0,0,1,
"NZ02",0,0,1,1,0,0,0,"n"
"NZ05",1,0,1,0,0,0,0,"n"
"NZ06",1,0,0,0,0,0,0,"n"
"NZ20",1,0,0,0,0,0,0,"n"
"NZ21",1,1,1,1,1,1,1,"n"
"NZ22",0,1,0,0,0,0,0,"n"
"NZ25",1,0,1,0,0,0,0,"n"
"NZ30",1,0,1,0,0,0,0,"n"
"NZ31",1,0,1,1,0,1,1,"n"
"NZ32",1,0,1,1,0,1,1,"n"
"NZ35",1,0,0,0,0,0,0,"n"
"NZ36",0,0,1,0,0,0,0,
"NZ41",1,0,0,0,0,0,1,
"NZ42",1,1,1,0,0,0,0,"n"
"NZ43",0,0,0,0,0,0,1,
"NZ44",1,0,0,0,0,0,1,
"NZ52",0,0,0,0,0,1,0,
"NZ53",0,0,0,0,0,0,1,
"O07",0,0,0,0,1,1,1,"n"
"O17",0,0,0,0,0,0,1,
"R24",1,0,0,0,0,1,0,"n"
"R25",1,0,0,0,0,0,0,
"R28",1,0,0,0,0,0,0,"n"
"R34",1,0,0,0,1,1,1,"n"
"R35",1,0,0,0,0,0,1,
"R38",1,0,0,0,0,0,0,"n"
"R39",0,0,1,0,0,0,1,"n"
"R44",1,1,0,0,0,1,0,"n"
"R45",0,0,0,0,0,0,1,
"R46",0,0,0,1,0,0,0,"n"
"R49",0,0,0,0,1,0,1,"n"
