"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C32",0,0,0,0,1,0,0,"n"
"C41",0,0,0,1,0,0,1,"n"
"C42",0,0,0,0,1,0,0,"n"
"C50",0,0,0,1,1,0,1,"n"
"C51",0,0,0,0,1,0,1,"n"
"C52",0,0,0,0,0,0,1,
"C55",0,0,0,0,1,0,0,"n"
"C60",0,0,0,1,1,1,1,"n"
"C61",0,0,0,0,1,0,1,"n"
"C62",0,0,0,0,0,0,1,
"C63",0,0,0,0,0,0,1,
"C70",0,0,0,1,1,1,1,"n"
"C71",0,0,0,1,0,0,1,"n"
"C80",0,0,0,0,1,1,1,"n"
"C81",0,0,0,0,1,0,1,"n"
"C82",0,0,0,0,0,0,1,
"C83",0,0,0,0,0,1,1,
"C90",0,0,0,0,0,1,0,
"C91",0,0,0,0,1,1,0,"n"
"C92",0,0,0,0,0,1,0,
"D11",0,0,0,1,1,1,0,"n"
"D12",0,0,0,1,1,0,0,"n"
"D13",0,0,0,1,1,1,1,"n"
"D14",0,0,0,0,1,0,1,"n"
"D20",0,0,0,0,0,1,0,
"D21",0,0,0,0,1,1,1,"n"
"D22",0,0,0,0,0,1,0,
"D23",0,0,0,0,1,0,1,"n"
"D30",0,0,0,0,0,1,1,
"D31",0,0,0,0,1,0,0,"n"
"G01",0,0,0,0,1,0,0,"n"
"G20",0,0,0,0,1,0,0,"n"
"G22",0,0,0,0,0,0,1,
"G40",0,0,0,0,1,0,0,"n"
"G53",0,0,0,0,1,0,0,"n"
"G62",0,0,0,0,0,0,1,
"G77",0,0,0,0,0,1,0,
"G79",0,0,0,0,0,1,0,
"G86",0,0,0,0,1,0,0,"n"
"G87",0,0,0,0,1,0,0,"n"
"G88",0,0,0,0,1,0,0,"n"
"G95",0,0,0,0,1,0,0,"n"
"G96",0,0,0,0,1,0,0,"a"
"G97",0,0,0,0,1,0,0,"n"
"G98",0,0,0,0,1,0,0,"n"
"H05",0,0,0,0,1,1,1,"n"
"H06",0,0,0,0,1,0,1,"n"
"H15",0,0,0,0,1,0,0,"n"
"H16",0,0,0,0,0,0,1,
"H24",0,0,0,0,1,0,0,"n"
"H28",0,0,0,0,1,0,0,"n"
"H30",0,0,0,0,0,1,0,
"H32",0,0,0,0,0,0,1,
"H39",0,0,0,0,1,0,0,"n"
"H43",0,0,0,0,0,0,1,
"H44",0,0,0,0,1,0,0,"n"
"H48",0,0,0,1,0,0,0,"n"
"H54",0,0,0,0,0,0,1,
"H57",0,0,0,0,1,0,0,"n"
"H58",0,0,0,1,1,0,0,"n"
"H59",0,0,0,1,0,0,1,"n"
"H63",0,0,0,0,0,0,1,
"H64",0,0,0,1,0,1,0,"n"
"H65",0,0,0,0,1,0,1,"n"
"H66",0,0,0,0,1,0,0,"n"
"H69",0,0,0,1,0,0,0,"n"
"H73",0,0,0,0,0,0,1,
"H75",0,0,0,1,1,1,0,"n"
"H76",0,0,0,0,1,0,0,"n"
"H77",0,0,0,1,0,0,0,
"H78",0,0,0,1,0,1,1,"n"
"H79",0,0,0,1,0,1,1,"n"
"H80",0,0,0,0,0,0,1,
"H81",0,0,0,0,0,1,1,
"H82",0,0,0,0,0,0,1,
"H87",0,0,0,1,0,0,0,"n"
"H89",0,0,0,0,1,1,1,"n"
"H91",0,0,0,0,0,0,1,
"H97",0,0,0,0,1,0,0,"n"
"H98",0,0,0,1,1,1,1,"n"
"H99",0,0,0,0,1,1,1,"n"
"HU44",0,0,0,0,0,0,1,
"J03",0,0,0,0,0,1,0,
"J04",0,0,0,0,1,0,0,"n"
"J05",0,0,0,0,1,1,0,"n"
"J06",0,0,0,0,1,0,0,"n"
"J08",0,0,0,0,1,0,0,"n"
"J09",0,0,0,0,0,1,0,
"J11",0,0,0,0,1,0,0,"n"
"J12",0,0,0,0,1,1,0,"n"
"J14",0,0,0,0,1,0,1,"n"
"J15",0,0,0,0,1,0,0,"n"
"J16",0,0,0,0,1,0,0,"n"
"J17",0,0,0,0,1,1,0,"n"
"J18",0,0,0,0,1,1,1,"n"
"J19",0,0,0,0,0,0,1,
"J21",0,0,0,0,1,0,0,"n"
"J22",0,0,0,0,1,0,0,"n"
"J23",0,0,0,0,1,0,0,"n"
"J24",0,0,0,0,1,0,0,"n"
"J25",0,0,0,0,1,0,1,"n"
"J27",0,0,0,0,0,1,1,
"J28",0,0,0,0,0,1,0,
"J29",0,0,0,0,0,1,1,
"J31",0,0,0,0,0,0,1,
"J33",0,0,0,1,1,0,0,"n"
"J34",0,0,0,0,1,1,0,"n"
"J35",0,0,0,0,1,0,0,"n"
"J36",0,0,0,0,0,0,1,
"J37",0,0,0,0,0,1,1,
"J38",0,0,0,0,1,1,0,"n"
"J39",0,0,0,0,0,1,0,
"J43",0,0,0,0,1,0,0,"n"
"J44",0,0,1,1,1,0,1,"n"
"J45",0,0,0,0,1,1,0,"n"
"J46",0,0,0,0,1,0,0,"n"
"J47",0,0,0,0,1,1,1,"n"
"J48",0,0,0,0,1,0,1,"n"
"J54",0,0,0,0,1,0,0,"n"
"J55",0,0,0,0,1,0,0,"n"
"J57",0,0,0,0,0,1,0,
"J58",0,0,0,0,0,0,1,
"J65",0,0,0,0,1,0,1,"n"
"L87",0,0,0,0,1,0,0,"n"
"L94",0,0,0,0,0,1,0,
"L95",0,0,0,0,0,1,0,
"M14",0,0,0,0,0,1,1,
"M22",0,0,0,0,0,0,1,
"M23",0,0,0,0,0,1,0,
"M24",0,0,0,0,0,1,0,
"M31",0,0,0,0,0,0,1,
"M33",0,0,0,0,0,0,1,
"M50",0,0,0,0,0,0,1,
"M51",0,0,0,0,0,0,1,
"M52",0,0,0,0,0,0,1,
"M60",0,0,0,0,0,0,1,
"M64",0,0,0,0,0,1,1,
"M72",0,0,0,0,1,0,0,"n"
"M75",0,0,0,0,0,1,0,
"M80",0,0,0,0,0,0,1,
"M82",0,0,0,0,0,0,1,
"M83",0,0,0,0,0,1,1,
"M84",0,0,0,0,0,1,0,
"M85",0,0,0,0,0,1,0,
"M90",0,0,0,0,0,0,1,
"M91",0,0,0,0,0,0,1,
"N00",0,0,0,0,1,0,1,"n"
"N06",0,0,0,0,0,0,1,
"N20",0,0,0,0,0,1,0,
"N22",0,0,0,0,0,0,1,
"N26",0,0,0,0,0,0,1,
"N31",0,0,0,0,1,0,0,
"N38",0,0,0,0,0,0,1,
"N44",0,0,0,0,1,0,0,"n"
"N45",0,0,0,0,1,0,1,"n"
"N62",0,0,0,0,0,0,1,
"N64",0,0,0,0,1,0,0,"n"
"N66",0,0,0,0,0,0,1,
"N71",0,0,0,0,1,0,0,"n"
"N74",0,0,0,0,1,0,1,"n"
"N78",0,0,0,0,0,0,1,
"N82",0,0,0,0,1,0,1,"n"
"N86",0,0,0,0,1,0,0,"n"
"N89",0,0,0,0,0,1,1,
"N92",0,0,0,0,0,0,1,
"N99",0,0,0,0,0,0,1,
"NC30",0,0,0,0,0,0,1,
"NC32",0,0,0,0,0,0,1,
"NC40",0,0,0,0,0,0,1,
"NC50",0,0,0,0,0,0,1,
"NC51",0,0,0,0,0,0,1,
"NC61",0,0,0,0,0,0,1,
"NC70",0,0,0,0,0,0,1,
"NC71",0,0,0,0,0,0,1,
"NC80",0,0,0,0,0,0,1,
"NC81",0,0,0,0,1,0,0,"n"
"NC90",0,0,0,0,1,0,1,"n"
"NC91",0,0,0,0,1,0,0,"n"
"NC92",0,0,0,0,1,0,0,"n"
"ND16",0,0,0,1,0,0,0,"n"
"NG35",0,0,0,0,0,1,0,
"NG53",0,0,1,0,1,0,0,"n"
"NG54",0,1,0,0,1,0,0,"n"
"NG65",0,0,0,0,1,0,0,
"NH03",0,0,0,0,0,0,1,
"NH11",0,0,0,0,0,0,1,
"NH12",0,1,0,0,0,0,0,
"NH14",0,0,0,0,0,0,1,
"NH21",0,0,0,1,0,0,0,"n"
"NH30",0,0,0,0,0,0,1,
"NH36",1,0,0,0,0,0,0,
"NH41",0,0,0,0,0,0,1,
"NH43",0,0,0,0,0,1,0,
"NH54",0,0,0,0,0,0,1,
"NH59",0,0,0,0,0,0,1,
"NH63",0,0,0,0,0,0,1,
"NH68",0,0,0,0,0,0,1,
"NH69",0,0,0,0,0,0,1,
"NH75",0,0,0,0,0,0,1,
