"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C41",0,0,0,0,0,1,0,
"C60",0,0,0,0,0,1,0,
"C73",0,0,0,0,1,0,0,
"F92",0,0,0,0,0,0,1,
"H44",0,0,0,0,0,0,1,
"H74",0,0,0,0,0,1,0,
"H76",0,0,0,0,0,1,0,
"H79",0,0,0,0,0,1,0,
"H84",0,0,0,0,0,1,0,
"H94",0,0,0,0,0,1,0,
"J02",0,0,0,0,0,1,0,
"J03",0,0,0,0,0,1,0,
"J04",0,0,0,0,0,1,0,
"J07",0,0,0,0,0,1,0,
"J11",0,0,0,0,0,1,1,
"J25",0,0,0,0,0,1,1,
"J27",0,0,0,0,1,0,0,
"J28",0,0,0,0,0,1,0,
"J29",0,0,0,0,0,1,0,
"J33",0,0,0,1,0,1,0,"a"
"J34",0,0,0,0,0,1,0,
"J37",0,0,0,0,0,1,0,
"J44",0,0,0,0,0,1,1,
"J47",0,0,0,0,0,1,0,
"J48",0,0,0,0,0,1,0,
"J49",0,0,0,0,0,1,0,
"J54",0,0,0,0,0,1,0,
"J55",0,0,0,0,0,1,0,
"J56",0,0,0,0,0,0,1,
"J58",0,0,0,0,0,1,0,
"N00",0,0,0,0,0,0,1,
"N47",0,0,0,0,0,1,0,
"NC80",0,0,0,0,0,0,1,
"NC90",0,0,0,0,0,0,1,
"ND12",0,0,0,0,0,0,1,
"NG53",0,0,0,0,0,1,1,
"NG85",0,0,0,0,0,0,1,
"NG90",0,0,0,0,0,0,1,
"NH30",0,0,0,0,0,0,1,
"NH41",0,0,0,0,0,0,1,
"NH42",0,0,0,1,0,0,1,"a"
"NH45",0,0,0,0,1,1,1,"a"
"NH55",0,0,0,0,0,0,1,
"NH56",0,0,0,0,0,1,0,
"NH64",0,0,0,1,1,0,0,"a"
"NH65",0,0,0,0,0,1,1,
"NH66",0,0,0,0,0,1,0,
"NH77",0,0,0,0,1,0,1,"a"
"NH78",0,0,0,0,0,0,1,
"NH79",0,0,0,0,0,0,1,
"NH80",0,0,0,0,0,0,1,
"NH84",0,0,1,0,1,0,0,"a"
"NH89",0,0,0,0,0,0,1,
"NH95",1,0,0,0,0,1,0,
"NJ01",0,0,0,0,0,0,1,
"NJ02",0,0,0,0,0,0,1,
"NJ05",0,0,0,0,0,0,1,
"NJ06",0,0,1,0,0,1,0,
"NJ15",0,0,0,0,0,0,1,
"NJ24",0,0,1,0,0,1,1,
"NJ25",0,0,0,0,1,0,0,"a"
"NJ26",0,0,0,0,0,0,1,
"NJ40",0,0,0,0,0,0,1,
"NJ55",0,0,0,0,1,0,0,
"NJ61",0,0,0,0,0,0,1,
"NJ64",0,0,0,0,0,0,1,
"NJ70",0,0,0,1,0,0,1,
"NJ81",0,0,0,0,0,0,1,
"NJ82",0,0,0,0,0,1,0,
"NJ83",0,0,0,0,0,0,1,
"NJ90",0,0,0,0,0,1,1,
"NJ93",0,0,0,0,0,0,1,
"NM68",0,0,0,0,0,0,1,
"NM70",0,0,0,0,0,0,1,
"NM91",0,0,0,0,1,0,0,"a"
"NN18",0,0,0,0,0,0,1,
"NN28",0,0,0,0,1,0,1,"a"
"NN29",0,0,0,0,0,0,1,
"NN50",0,0,0,0,0,0,1,
"NN55",0,0,0,1,0,0,1,
"NN79",0,0,0,0,0,0,1,
"NN85",0,0,0,0,0,0,1,
"NN86",0,0,0,0,1,0,0,
"NN93",0,0,0,0,0,1,0,
"NN95",0,0,0,1,0,0,0,
"NO00",0,0,0,0,0,0,1,
"NO01",0,0,0,0,0,0,1,
"NO02",0,0,0,0,0,0,1,
"NO03",0,0,0,0,0,1,0,
"NO04",0,0,0,1,0,0,0,
"NO06",0,0,0,0,1,1,1,"a"
"NO11",0,0,0,0,0,0,1,
"NO14",0,0,0,0,1,0,0,
"NO20",0,0,0,0,1,0,0,"a"
"NO21",0,0,0,0,1,0,0,"a"
"NO22",0,0,0,1,1,0,0,
"NO23",0,0,0,1,0,0,0,
"NO24",0,0,0,0,0,0,1,
"NO30",0,0,0,0,1,0,0,"a"
"NO31",0,0,0,0,1,0,0,"a"
"NO32",0,0,0,0,1,0,1,"a"
"NO35",0,0,0,0,0,0,1,
"NO36",0,0,0,0,0,1,1,
"NO40",0,0,0,0,1,0,0,"a"
"NO41",0,0,0,0,1,0,0,"a"
"NO43",0,0,0,1,0,0,0,
"NO51",0,0,0,0,1,0,0,"a"
"NO67",0,0,0,0,0,0,1,
"NO69",0,0,0,0,0,1,1,
"NO76",0,0,0,1,0,0,0,
"NO77",0,0,0,0,0,1,0,
"NO79",0,0,0,0,1,1,1,
"NO89",0,0,0,0,0,1,1,
"NR36",0,0,0,0,1,0,0,"a"
"NR46",0,0,0,1,0,0,0,
"NR77",0,0,0,0,0,0,1,
"NR88",0,0,0,0,0,0,1,
"NS02",0,0,0,0,1,1,0,"a"
"NS03",0,0,0,0,0,1,1,
"NS18",0,0,0,0,1,0,0,"a"
"NS21",0,0,0,0,0,0,1,
"NS30",0,0,0,0,0,0,1,
"NS31",0,0,0,0,0,0,1,
"NS37",0,0,0,0,0,0,1,
"NS38",0,0,0,0,0,0,1,
"NS43",0,0,0,0,0,0,1,
"NS47",0,0,0,0,0,0,1,
"NS51",0,0,0,0,0,0,1,
"NS52",0,0,0,0,0,0,1,
"NS58",0,0,0,0,0,0,1,
"NS59",0,0,0,0,0,0,1,
"NS65",0,0,0,0,0,0,1,
"NS68",0,0,0,0,1,0,1,"a"
"NS79",0,0,0,0,0,0,1,
"NS89",0,0,0,0,1,0,1,
"NS93",0,0,0,0,0,0,1,
"NS97",0,0,0,0,1,0,1,"a"
"NS98",0,0,0,0,0,0,1,
"NS99",0,0,0,0,0,1,0,
"NT06",0,0,0,0,1,0,1,"a"
"NT07",0,0,0,0,1,1,0,"a"
"NT08",0,0,0,0,1,0,0,"a"
"NT13",0,0,0,0,0,0,1,
"NT15",0,0,0,0,0,0,1,
"NT16",0,0,0,0,0,0,1,
"NT17",0,0,0,0,1,1,1,"a"
"NT23",0,0,0,0,0,0,1,
"NT24",0,0,0,0,0,0,1,
"NT25",0,0,0,0,0,0,1,
"NT26",0,0,0,0,1,1,1,"a"
"NT27",0,0,0,0,1,1,1,"a"
"NT29",0,0,0,0,1,0,0,"a"
"NT35",0,0,0,0,0,1,1,
"NT36",0,0,0,1,1,0,1,"a"
"NT39",0,0,0,0,1,0,0,"a"
"NT41",0,0,0,0,0,0,1,
"NT42",0,0,0,0,1,0,1,"a"
"NT43",0,0,0,0,1,0,1,"a"
"NT46",0,0,0,0,1,0,0,"a"
"NT47",0,0,0,1,1,0,0,"a"
"NT50",0,0,0,0,0,0,1,
"NT51",0,0,0,0,0,0,1,
"NT52",0,0,0,0,1,0,1,"a"
"NT53",0,0,0,0,0,0,1,
"NT55",0,0,0,0,1,0,0,"a"
"NT56",0,0,0,0,1,0,1,"a"
"NT57",0,0,0,0,0,0,1,
"NT58",0,0,0,0,0,0,1,
"NT61",0,0,0,0,0,0,1,
"NT62",0,0,0,0,0,0,1,
"NT63",0,0,0,0,0,0,1,
"NT64",0,0,0,0,0,1,0,
"NT65",0,0,0,0,0,1,0,
"NT67",0,0,0,0,1,0,1,
"NT68",0,0,0,0,0,0,1,
"NT72",0,0,0,0,0,0,1,
"NT73",0,0,0,0,0,1,1,
"NT74",0,0,0,0,1,0,1,"a"
"NT75",0,0,0,0,1,0,0,"a"
"NT77",0,0,0,0,1,0,0,"a"
"NT82",0,0,0,0,0,0,1,
"NT83",0,0,0,0,1,0,1,"a"
