"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B61",0,0,0,0,0,0,1,
"B84",0,0,0,0,0,0,1,
"C23",0,0,0,0,0,0,1,
"C32",0,0,0,0,0,1,0,
"C34",0,0,0,0,0,0,1,
"C41",0,0,0,0,1,0,0,"n"
"C54",0,0,0,0,0,0,1,
"C73",0,0,0,1,1,0,0,"n"
"C83",0,0,0,0,1,0,0,"n"
"C94",0,0,0,0,0,1,0,
"D14",0,0,0,1,0,0,0,"n"
"D15",0,0,0,0,0,1,0,
"D31",0,0,0,0,0,0,1,
"D32",0,0,0,0,0,1,0,
"D40",0,0,0,0,0,0,1,
"F60",0,0,0,1,0,0,0,
"F61",0,0,0,0,1,0,1,"n"
"F63",0,0,0,0,0,1,0,
"F70",0,0,0,0,1,0,1,"n"
"F73",0,0,0,0,0,0,1,
"F83",0,0,0,0,0,1,0,
"F90",0,0,0,0,0,0,1,
"G00",0,0,0,0,1,0,0,"n"
"G01",0,0,0,0,1,0,1,"n"
"G02",0,0,0,0,0,0,1,
"G12",0,0,0,0,0,0,1,
"G13",0,0,0,0,0,0,1,
"G14",0,0,0,0,1,0,1,"n"
"G20",0,0,0,0,1,0,1,"n"
"G21",0,0,0,0,0,0,1,
"G22",0,0,0,0,1,1,1,"n"
"G23",0,0,0,0,0,0,1,
"G31",0,0,0,0,0,0,1,
"G32",0,0,0,0,1,0,1,"n"
"G40",0,0,0,0,0,0,1,
"G58",0,0,0,0,0,0,1,
"G61",0,0,0,0,0,0,1,
"G64",0,0,0,0,1,0,0,
"G73",0,0,0,0,1,0,0,
"G95",0,0,0,0,1,0,0,"n"
"H52",0,0,0,0,0,0,1,
"H65",0,0,0,0,0,0,1,
"H73",0,0,0,0,0,0,1,
"H74",0,0,0,0,1,0,0,"n"
"H80",0,0,0,0,0,0,1,
"H81",0,0,0,0,1,0,0,"n"
"H82",0,0,0,0,0,1,0,
"H93",0,0,0,0,1,0,0,"n"
"H95",0,0,0,0,1,0,0,"n"
"H99",1,1,0,0,0,0,0,"n"
"HP50",0,0,0,0,0,0,1,
"HP61",0,0,0,0,0,0,1,
"HU43",0,0,0,0,0,0,1,
"HY20",0,0,0,0,0,0,1,
"HY31",0,0,0,0,0,0,1,
"HY40",0,0,0,1,1,1,0,"n"
"HY41",0,0,0,0,0,1,0,
"HY53",0,0,0,0,0,0,1,
"HY74",0,0,0,0,0,0,1,
"HZ27",0,0,0,0,0,0,1,
"J02",0,0,0,0,0,0,1,
"J03",0,0,0,0,0,0,1,
"J04",0,0,0,0,0,0,1,
"J11",0,0,0,0,0,1,0,
"J12",0,0,0,0,0,0,1,
"J13",0,0,0,0,0,0,1,
"J14",0,0,0,0,0,0,1,
"J21",0,0,0,0,0,0,1,
"J22",0,0,0,0,0,1,1,
"J24",0,0,0,0,0,0,1,
"J26",0,0,0,0,0,0,1,
"J31",0,0,0,0,0,0,1,
"J32",0,0,0,0,0,0,1,
"J33",0,0,0,0,0,1,1,
"J35",0,0,0,0,0,0,1,
"J36",0,0,0,0,0,0,1,
"J37",0,1,0,0,0,1,1,"n"
"J43",0,0,0,0,0,0,1,
"J44",0,0,0,0,0,0,1,
"J45",0,0,0,0,0,0,1,
"J46",0,0,0,0,0,0,1,
"J47",0,0,0,0,0,1,1,
"J48",0,0,0,0,0,1,1,
"J53",0,0,0,0,0,0,1,
"J54",0,0,0,0,0,1,1,
"J55",0,0,0,0,0,0,1,
"J56",0,0,0,0,0,0,1,
"J57",0,0,0,0,0,0,1,
"J58",0,0,0,0,0,1,1,
"J64",0,0,0,0,0,0,1,
"J65",0,0,0,0,0,1,1,
"J66",0,0,0,0,0,1,1,
"J67",0,0,0,0,0,0,1,
"J68",0,0,0,0,0,0,1,
"L56",0,0,0,0,0,1,0,
"L64",0,0,0,0,0,1,0,
"L65",0,0,0,0,0,1,1,
"L66",0,0,0,0,0,1,0,
"L67",0,0,0,0,0,1,0,
"L69",0,0,0,0,1,0,0,"n"
"L73",0,0,0,0,0,1,0,
"L74",0,0,0,0,0,1,0,
"L77",0,0,0,0,0,0,1,
"L78",0,0,0,0,0,1,1,
"L89",0,0,0,0,0,0,1,
"L98",0,0,0,0,0,0,1,
"L99",0,0,0,0,0,0,1,
"M06",0,0,0,0,1,0,0,"n"
"M09",0,0,0,0,1,0,1,"n"
"M14",0,0,0,1,0,1,1,
"M18",0,0,0,0,0,0,1,
"M19",0,0,0,0,1,0,1,"n"
"M24",0,0,0,0,0,0,1,
"M26",0,0,0,0,1,0,1,"n"
"M27",0,0,0,0,1,0,0,"n"
"M32",0,0,0,0,0,0,1,
"M40",0,0,0,0,0,0,1,
"M46",0,0,0,0,0,0,1,
"M57",0,0,0,0,0,0,1,
"M64",0,0,0,0,0,1,0,
"M67",0,0,0,0,0,0,1,
"M74",0,0,0,0,0,1,0,
"M79",0,0,0,0,0,0,1,
"M80",0,0,0,0,0,1,0,
"M82",0,0,0,0,0,1,0,
"M85",0,0,0,0,0,1,0,
"M90",0,0,0,0,0,0,1,
"M91",0,0,0,0,0,1,0,
"M92",0,0,0,0,0,1,0,
"M96",0,0,0,0,0,1,0,
"N01",0,0,0,0,0,1,0,
"N02",0,0,0,0,0,1,0,
"N03",0,0,0,0,0,1,0,
"N09",0,0,0,0,0,1,0,
"N12",0,0,0,0,0,1,0,
"N14",0,0,0,0,0,0,1,
"N18",0,0,0,0,0,0,1,
"N21",0,0,0,0,0,1,0,
"N22",0,0,0,0,0,0,1,
"N25",0,0,0,0,0,0,1,
"N27",0,0,0,0,0,0,1,
"N38",0,0,0,0,0,0,1,
"N43",0,0,0,0,0,0,1,
"N45",0,0,0,0,0,0,1,
"N55",0,0,0,0,0,0,1,
"N61",0,0,0,0,0,1,0,
"N66",0,0,0,0,0,0,1,
"N67",0,0,0,0,0,0,1,
"N68",0,0,0,0,1,0,0,"n"
"N71",0,0,0,0,0,0,1,
"N73",0,0,0,0,0,0,1,
"N74",0,0,0,0,0,0,1,
"N75",0,0,0,0,0,0,1,
"N78",0,0,0,0,0,0,1,
"N79",0,0,0,0,0,0,1,
"N80",0,0,0,0,1,0,0,"n"
"N81",0,0,0,0,0,1,0,
"N84",0,0,0,0,0,0,1,
"N85",0,0,0,0,0,0,1,
"N87",0,0,0,0,0,0,1,
"N89",0,0,0,0,0,0,1,
"N90",0,0,0,0,0,1,0,
"N91",0,0,0,0,0,0,1,
"N92",0,0,0,0,0,0,1,
"N94",0,0,0,0,0,0,1,
"N95",0,0,0,0,0,0,1,
"N97",0,0,0,0,0,0,1,
"NC02",0,0,0,0,0,1,0,
"NC22",0,0,0,0,0,1,0,
"NC46",0,0,0,0,0,1,0,
"NC76",0,0,0,0,0,0,1,
"NC80",0,0,0,0,0,0,1,
"NC90",0,0,0,0,0,0,1,
"ND01",0,0,0,0,0,0,1,
"ND15",0,0,0,0,0,1,0,
"ND16",0,0,0,0,0,0,1,
"ND27",0,0,0,0,0,1,0,
"ND34",0,0,0,0,0,1,0,
"ND48",0,0,0,0,0,1,0,
"ND49",0,0,0,0,0,1,0,
"NF66",0,0,0,0,0,0,1,
"NF76",0,0,0,0,0,0,1,
"NF87",0,0,0,0,0,0,1,
"NG26",0,0,0,1,0,1,0,"n"
"NG35",0,0,0,0,0,1,0,
"NG36",0,0,0,0,1,0,0,
"NG44",0,0,0,0,1,1,0,
"NG53",0,0,0,0,0,1,0,
"NG60",0,0,0,0,1,1,0,
"NG62",0,0,0,0,0,1,0,
"NG72",0,0,0,0,0,1,0,
"NG73",0,0,0,0,0,1,0,
"NG74",0,0,0,0,0,0,1,
"NG77",0,0,0,0,1,0,0,"n"
"NG83",0,0,0,0,0,1,0,
"NG87",0,0,0,0,1,0,0,"n"
"NG88",0,0,0,0,1,1,1,"n"
"NG89",0,0,0,0,0,0,1,
"NG94",0,0,0,0,0,1,0,
"NH08",0,0,0,0,0,0,1,
"NH19",0,0,0,0,1,0,1,"n"
"NH41",0,0,0,0,0,0,1,
"NH43",0,0,0,0,0,1,0,
"NH54",0,0,0,0,0,1,0,
"NH65",0,0,0,0,0,1,0,
"NH69",0,0,0,0,0,0,1,
"NH75",0,0,0,0,0,0,1,
"NH77",0,0,0,1,0,0,0,"n"
"NH78",0,0,0,0,0,0,1,
"NH84",0,0,0,0,1,0,0,"n"
"NH85",1,0,0,0,0,0,0,
"NH91",0,0,0,0,1,1,0,"n"
"NH94",0,0,0,0,1,0,0,"n"
"NH95",0,0,0,0,1,0,0,"n"
"NH96",0,0,0,0,0,0,1,
"NJ02",0,0,0,0,1,0,1,"n"
"NJ05",0,0,0,0,1,0,0,"n"
"NJ14",1,0,0,0,1,0,0,"n"
"NJ16",0,0,0,0,1,1,1,"n"
"NJ25",0,0,0,0,1,0,1,"n"
"NJ26",0,0,0,0,1,0,1,"n"
