"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"D00",0,0,0,0,0,1,0,
"NG82",0,0,0,0,0,0,1,
"NG83",0,0,0,0,0,0,1,
"NN03",0,0,0,0,0,0,1,
"NN50",0,0,0,0,0,1,1,
"NN95",0,0,0,0,0,0,1,
"NO33",0,0,1,1,1,1,0,"a"
"NO40",0,0,0,0,0,0,1,
"NO43",0,0,0,0,1,0,1,"a"
"NR87",1,0,0,1,0,0,1,"a"
"NS28",0,0,0,1,1,0,0,"a"
"NS37",0,0,0,0,1,0,0,"a"
"NS38",0,0,1,1,1,0,0,"a"
"NS46",0,0,0,0,1,0,0,"a"
"NS47",0,0,0,0,1,1,0,"a"
"NS55",0,0,0,1,0,0,0,
"NS56",0,0,0,1,1,0,0,"a"
"NT08",0,0,0,0,1,0,0,"a"
"NT26",0,0,0,1,1,0,1,"a"
"NT32",0,0,0,0,1,1,1,"a"
"NT33",0,0,0,0,1,0,1,"a"
"NT35",0,0,0,0,0,0,1,
"NT36",0,0,0,0,1,1,0,"a"
"NT37",0,0,0,0,0,1,1,
"NT41",0,0,0,0,0,0,1,
"NT42",0,0,0,0,1,1,1,"a"
"NT43",0,0,0,0,1,1,0,"a"
"NT52",0,0,0,0,0,0,1,
"NT53",0,0,0,0,1,1,1,"a"
"NT82",0,0,0,0,0,0,1,
"NX46",0,0,0,0,0,0,1,
"NX55",0,0,0,0,0,0,1,
"NX65",0,0,0,0,1,1,1,"a"
"NX67",0,0,0,0,1,0,1,"a"
"NY17",0,0,0,1,0,0,0,"a"
"NY30",0,1,1,1,1,1,1,"a"
"NY40",0,0,0,1,0,1,1,"a"
"NY42",0,0,0,0,0,1,0,
"NY45",0,0,0,0,0,1,0,
"NZ51",0,0,0,1,1,1,0,"a"
"NZ70",0,0,0,0,1,0,0,"a"
"NZ80",0,1,0,0,1,0,0,"a"
"SD39",0,1,0,1,0,0,0,"a"
"SD45",0,0,0,0,0,0,1,
"SD48",0,0,0,1,1,1,1,"a"
"SD49",0,0,1,1,1,1,1,"a"
"SD53",0,0,0,0,0,0,1,
"SD62",0,0,0,1,1,1,1,"a"
"SD71",0,0,0,0,0,0,1,
"SD74",0,0,0,0,0,0,1,
"SD82",0,0,0,0,0,1,0,
"SD83",0,0,0,0,1,0,0,"a"
"SD86",0,0,0,0,0,0,1,
"SD87",0,0,0,0,0,0,1,
"SD95",0,0,0,0,0,0,1,
"SE04",0,0,0,0,0,0,1,
"SE13",0,0,0,0,0,1,1,
"SE14",0,0,0,0,0,1,1,
"SE19",0,0,0,0,0,0,1,
"SE23",0,0,0,0,1,0,0,"a"
"SE25",0,0,0,0,1,1,1,"a"
"SE32",0,0,0,0,0,0,1,
"SE35",0,0,0,0,0,0,1,
"SE64",0,0,0,0,0,0,1,
"SH55",0,0,0,0,0,0,1,
"SH66",0,0,0,0,0,0,1,
"SH71",0,0,0,0,0,1,0,
"SH75",0,0,0,0,0,0,1,
"SH76",0,0,0,0,0,0,1,
"SH77",0,0,0,0,1,1,1,"a"
"SK04",0,0,0,0,0,0,1,
"SK28",0,0,0,0,0,1,0,
"SK35",0,0,0,0,0,0,1,
"SK44",0,0,0,0,0,1,0,
"SK48",0,0,0,0,0,1,0,
"SN40",0,0,0,0,0,0,1,
"SN45",0,0,0,0,0,1,1,
"SN50",0,0,0,0,0,1,1,
"SO50",0,0,1,1,1,1,1,"a"
"SO51",0,0,0,1,0,0,0,"a"
"SO58",0,0,0,1,0,0,0,"a"
"SO76",0,0,0,1,1,0,0,"a"
"SO78",0,0,0,0,1,0,0,"a"
"SO97",0,0,0,0,1,0,0,"a"
"SP12",0,0,1,0,0,1,1,"a"
"SP85",0,0,0,1,0,0,0,"a"
"SP86",0,0,0,1,0,0,0,"a"
"SS20",0,0,0,0,1,0,0,"a"
"SS63",0,0,0,0,0,0,1,
"SS64",0,0,0,0,0,0,1,
"ST11",0,0,0,0,1,0,1,"a"
"ST12",0,0,0,0,0,0,1,
"ST30",0,0,0,0,1,0,1,
"ST49",0,0,0,0,0,0,1,
"ST54",0,0,0,0,0,1,0,
"ST63",0,0,0,0,0,1,0,
"ST89",0,0,0,1,1,0,1,"a"
"SU84",0,0,0,0,0,1,1,
"SU85",0,0,0,0,0,0,1,
"SW74",0,0,0,1,1,1,1,"a"
"SW84",0,0,0,1,1,1,0,"a"
"SW86",0,0,0,0,1,0,1,"a"
"SW96",0,0,0,0,1,0,1,"a"
"SX07",0,0,0,0,1,1,1,"a"
"SX15",0,0,0,0,0,0,1,
"SX16",0,0,0,0,0,1,0,
"SX18",0,0,0,0,0,0,1,
"SX35",0,0,0,0,0,0,1,
"SX36",0,0,0,0,0,0,1,
"SY08",0,0,1,0,0,0,0,"a"
"SY09",0,0,1,1,1,1,0,"a"
"SY29",0,0,0,0,0,0,1,
"TA08",0,0,0,0,0,1,0,
"TA09",0,1,1,1,1,0,1,"a"
"TL93",0,0,0,0,0,0,1,
"TQ54",1,0,0,0,0,0,0,"a"
"TQ59",0,0,0,1,0,0,0,"a"
