"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C34",0,0,0,0,0,0,1,
"F73",0,0,0,0,1,0,1,"a"
"HP50",0,0,0,0,0,0,1,
"HP60",0,0,0,0,0,0,1,
"HP61",0,0,0,0,0,0,1,
"HU31",0,0,0,0,0,0,1,
"HU36",0,0,0,0,0,0,1,
"HU42",0,0,0,0,0,0,1,
"HU43",0,0,0,0,0,0,1,
"HU44",0,0,0,0,0,0,1,
"HU47",0,0,0,0,0,0,1,
"HU48",0,0,0,0,0,0,1,
"HU59",0,0,0,0,0,0,1,
"HY40",0,0,0,0,0,0,1,
"HY42",0,0,0,0,0,0,1,
"J11",0,0,0,0,0,1,0,
"J21",0,0,0,0,0,0,1,
"J31",0,0,0,0,0,0,1,
"J32",0,0,0,1,1,0,0,"a"
"J33",0,0,0,0,0,1,0,
"J37",0,0,0,0,1,0,0,"a"
"J49",0,0,0,0,1,0,0,"a"
"J54",0,0,0,0,0,1,0,
"J55",0,0,0,0,0,0,1,
"J65",0,0,0,0,0,0,1,
"L65",0,0,0,0,0,1,0,
"L68",0,0,0,0,0,0,1,
"L86",0,0,0,0,0,0,1,
"L99",0,0,0,0,1,0,0,"a"
"M52",0,0,0,0,1,0,0,"a"
"NB10",0,0,0,0,0,1,1,
"NB21",0,0,0,0,0,0,1,
"NB42",0,0,0,0,0,1,0,
"NB43",0,0,0,0,0,0,1,
"NC80",0,0,0,0,0,0,1,
"NC90",0,0,0,0,0,0,1,
"ND17",0,0,0,0,0,0,1,
"ND29",0,0,0,0,0,0,1,
"ND39",0,0,0,0,0,0,1,
"NF87",0,0,0,0,0,1,1,
"NF98",0,0,0,0,0,1,0,
"NG19",0,0,0,0,0,0,1,
"NG24",0,0,0,0,0,0,1,
"NG53",0,0,0,0,0,0,1,
"NG72",0,0,0,0,0,0,1,
"NG76",0,0,0,0,0,0,1,
"NG77",0,0,0,0,0,0,1,
"NG82",0,0,0,0,0,0,1,
"NG83",0,0,0,0,0,0,1,
"NG85",0,0,0,0,0,0,1,
"NG88",0,0,0,0,0,0,1,
"NG90",0,0,0,0,0,0,1,
"NG92",0,0,0,0,0,0,1,
"NH78",0,0,0,0,0,0,1,
"NH89",0,0,0,0,0,0,1,
"NM04",0,0,0,0,1,0,0,"a"
"NM47",0,0,0,0,0,1,0,
"NM52",0,0,0,0,0,0,1,
"NR36",0,0,0,0,0,0,1,
"NR39",0,0,0,0,0,0,1,
"NR57",0,0,0,0,0,0,1,
"NR72",0,0,0,0,1,0,1,"a"
"NS16",0,0,0,0,0,1,0,
"NS17",0,0,0,0,1,0,0,"a"
"NS38",0,0,0,1,1,0,0,"a"
"NT27",0,0,0,0,0,0,1,
"NW95",0,0,0,1,0,0,0,"a"
"NX06",0,0,0,0,1,0,0,"a"
"NX30",0,0,0,0,1,1,0,"a"
"NX40",0,0,0,1,1,0,1,"a"
"NX45",0,0,1,0,0,0,0,"a"
"NY03",0,0,0,0,0,1,1,
"NZ36",0,0,0,0,0,1,0,
"NZ37",0,0,0,0,0,1,0,
"NZ52",0,0,0,0,0,1,0,
"NZ71",0,0,0,0,0,1,0,
"NZ90",0,0,0,0,0,1,0,
"Q51",0,0,0,0,0,1,0,
"R07",0,0,0,0,0,0,1,
"R18",0,0,0,0,0,0,1,
"R21",0,0,0,0,1,0,0,"a"
"R51",0,0,0,0,1,0,1,"a"
"S20",0,0,0,0,0,1,0,
"S30",0,0,0,0,1,1,0,
"S40",0,0,0,0,1,1,0,
"S42",0,0,0,0,0,1,0,
"S71",0,0,0,0,0,0,1,
"S72",0,0,0,0,0,0,1,
"S82",0,0,0,0,0,0,1,
"S91",0,0,0,0,0,0,1,
"SC16",0,0,0,0,1,1,0,"a"
"SC17",0,0,0,0,1,1,0,"a"
"SC26",0,0,0,0,1,0,1,"a"
"SC27",0,0,0,0,1,1,1,"a"
"SC28",0,0,0,0,1,1,1,"a"
"SC37",0,0,1,0,1,1,1,"a"
"SC38",0,0,0,0,1,0,1,"a"
"SC39",0,0,0,0,1,0,1,"a"
"SC47",0,0,0,0,1,0,1,"a"
"SC48",0,0,0,0,1,1,1,"a"
"SC49",0,0,0,0,1,1,1,"a"
"SD20",0,0,0,0,0,1,0,
"SD31",0,0,0,0,1,0,1,
"SD33",0,0,0,0,0,1,1,
"SD34",0,0,1,0,1,0,1,"a"
"SD38",0,0,0,0,0,0,1,
"SD46",0,0,0,0,0,0,1,
"SD47",0,0,0,1,0,0,0,"a"
"SD70",0,0,0,0,0,1,1,
"SE13",0,0,0,0,0,1,0,
"SE33",0,0,0,0,0,0,1,
"SE50",0,0,0,0,0,1,0,
"SH32",0,0,0,0,1,0,0,"a"
"SH37",0,0,0,0,1,0,0,"a"
"SH39",0,0,0,0,1,0,0,"a"
"SH56",0,0,0,0,0,1,0,
"SH57",0,0,0,1,0,1,0,"a"
"SH78",1,0,0,0,1,1,1,"a"
"SJ39",0,0,0,0,1,1,0,
"SJ49",0,0,0,0,0,1,0,
"SJ58",0,0,0,0,0,1,0,
"SJ89",0,0,0,0,0,1,0,
"SK36",0,0,0,0,0,0,1,
"SK38",0,0,0,0,0,1,0,
"SM93",0,0,0,0,0,1,0,
"SN03",0,0,0,0,0,0,1,
"SN40",0,0,0,0,0,1,0,
"SN42",0,0,0,0,1,0,0,"a"
"SO98",0,0,0,0,0,1,0,
"SS42",0,0,0,0,1,0,0,"a"
"SS43",0,0,0,0,1,0,0,"a"
"SS53",0,0,0,0,1,0,1,"a"
"SS59",0,0,0,0,1,1,0,"a"
"SS64",0,0,0,0,0,1,0,
"SS68",0,0,0,0,1,1,0,
"SS69",0,0,0,0,0,0,1,
"SS94",0,0,0,0,0,1,1,
"SS96",0,0,0,0,0,1,0,
"ST38",0,0,0,0,0,1,0,
"ST49",0,0,0,1,1,0,0,"a"
"SU41",0,0,0,0,0,0,1,
"SU56",0,0,0,0,0,0,1,
"SU77",0,0,0,0,0,0,1,
"SU86",0,0,0,0,0,0,1,
"SU87",0,0,0,0,0,0,1,
"SU88",0,0,0,0,0,0,1,
"SU96",0,0,0,0,0,0,1,
"SU97",0,0,0,0,0,0,1,
"SV81",0,0,0,0,1,1,1,"a"
"SV91",0,0,0,0,0,1,0,
"SW32",0,0,0,1,1,0,1,"a"
"SW33",0,0,0,0,0,0,1,
"SW42",0,0,0,0,0,1,0,
"SW43",0,0,1,0,0,0,1,
"SW53",0,0,0,0,1,1,1,
"SW54",0,0,0,0,0,1,0,
"SW62",0,0,0,0,0,1,0,
"SW63",0,0,0,0,0,0,1,
"SW64",0,0,0,0,0,0,1,
"SW71",0,0,0,0,0,0,1,
"SW72",0,0,0,0,1,1,1,"a"
"SW73",0,0,0,0,1,0,1,"a"
"SW74",0,0,0,0,1,0,1,"a"
"SW75",0,0,0,0,0,1,1,
"SW83",0,0,0,0,1,0,1,"a"
"SW84",0,0,0,1,0,0,0,"a"
"SW87",0,0,0,0,0,0,1,
"SW95",0,0,0,0,0,0,1,
"SW97",0,0,0,0,0,1,1,
"SX04",0,0,0,0,0,1,0,
"SX05",0,0,0,0,1,0,0,"a"
"SX08",1,0,0,0,0,0,0,
"SX25",0,0,0,0,0,1,1,
"SX36",0,0,0,0,1,0,0,"a"
"SX38",0,0,0,0,0,1,1,
"SY78",0,0,0,0,1,0,0,"a"
"SZ09",0,0,0,0,0,1,1,
"SZ19",0,0,0,0,0,1,1,
"SZ29",0,0,0,0,0,0,1,
"SZ39",0,0,0,0,0,0,1,
"SZ69",0,0,0,0,0,0,1,
"T04",0,0,0,0,0,0,1,
"T10",0,0,0,0,1,0,1,
"TA08",0,0,0,0,0,1,0,
"TF18",0,0,0,0,0,0,1,
"TF36",0,0,0,1,0,0,0,
"TG04",0,0,0,1,1,0,0,"a"
"TL46",0,0,0,0,0,1,0,
"TM14",0,0,0,1,0,0,0,"a"
"TQ16",0,0,0,0,0,1,1,
"TQ17",0,0,0,0,0,0,1,
"TQ18",0,0,0,0,0,0,1,
"TQ25",0,0,0,0,0,0,1,
"TQ26",0,0,0,0,0,0,1,
"TQ27",0,0,0,0,0,0,1,
"TQ28",0,0,0,0,0,1,1,
"TQ29",0,0,0,0,0,0,1,
"TQ35",0,0,0,0,0,0,1,
"TQ36",0,0,0,0,0,0,1,
"TQ37",0,0,0,0,0,0,1,
"TQ38",0,0,0,0,0,0,1,
"TQ39",0,0,0,0,0,0,1,
"TQ47",0,0,0,0,0,0,1,
"TQ48",0,0,0,0,0,0,1,
"TQ67",0,0,0,0,0,0,1,
"TQ70",0,0,0,0,0,0,1,
"V47",0,0,0,0,1,1,0,"a"
"V48",0,0,0,0,1,0,0,"a"
"V55",0,0,0,0,0,1,0,
"V57",0,0,0,0,1,0,0,"a"
"V58",0,0,0,0,1,0,0,"a"
"V74",0,0,0,0,0,0,1,
"V83",0,0,0,0,1,0,0,"a"
"V85",0,0,0,0,1,0,1,"a"
"V86",0,0,0,0,0,1,0,
"V94",0,0,0,0,1,0,0,"a"
"V95",0,0,0,0,0,0,1,
"V96",0,0,0,0,0,0,1,
"V98",0,0,0,0,0,1,1,
"W03",0,0,0,0,0,0,1,
"W04",0,0,0,0,1,0,1,"a"
"W05",0,0,0,0,1,0,1,"a"
"W15",0,0,0,0,1,0,1,"a"
"W16",0,0,0,0,0,0,1,
"W17",0,0,0,0,1,0,0,"a"
"W27",0,0,0,0,1,0,0,"a"
"W28",0,0,0,0,0,0,1,
"W36",0,0,0,0,1,0,1,"a"
"W37",0,0,0,0,0,0,1,
"W38",0,0,0,0,1,0,0,"a"
"W58",0,0,0,0,0,0,1,
"WA50",0,0,0,0,1,0,0,"a"
