"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C44",0,0,0,0,0,0,1,
"C54",0,0,0,0,0,0,1,
"F70",0,0,0,0,0,0,1,"n"
"G13",0,0,0,0,0,0,1,
"G53",0,0,0,0,1,0,1,"n"
"G54",0,0,0,0,0,0,1,
"G63",0,0,0,0,0,0,1,"n"
"G64",0,0,0,0,0,0,1,"n"
"G65",0,0,0,0,0,0,1,"n"
"J11",0,0,0,0,0,0,1,"n"
"J21",0,0,0,0,0,0,1,"n"
"J43",0,0,0,0,0,0,1,"n"
"J54",0,0,0,0,0,1,0,"n"
"J55",0,0,0,0,0,0,1,"n"
"J56",0,0,0,0,0,0,1,"n"
"J58",0,0,0,0,0,0,1,"n"
"J66",0,0,1,0,0,0,0,"n"
"J67",0,0,1,0,0,0,0,"n"
"L72",1,0,0,0,0,0,0,"n"
"L99",0,0,0,0,0,0,1,"n"
"M11",0,0,0,0,1,0,0,"n"
"M21",0,0,0,1,0,0,0,"n"
"M32",0,0,0,0,1,0,1,"n"
"NB23",0,0,0,0,0,1,0,"n"
"NB43",0,0,0,0,0,1,1,"n"
"NC46",0,0,0,0,0,1,0,
"NF60",0,1,0,0,0,0,0,"n"
"NF70",0,0,0,0,0,1,0,"n"
"NF71",0,0,0,0,0,1,0,"n"
"NF72",0,1,0,0,0,1,0,"n"
"NF74",0,1,0,0,0,1,0,"n"
"NF75",0,1,0,0,0,0,0,"n"
"NF76",0,0,0,0,0,1,0,"n"
"NF83",0,1,0,0,0,0,0,"n"
"NF85",0,1,0,0,0,1,0,"n"
"NF87",0,1,0,0,1,0,0,"n"
"NF98",0,0,0,0,0,1,0,"n"
"NH55",0,0,1,0,1,0,0,"n"
"NH65",0,0,1,0,0,0,0,"n"
"NH76",0,0,1,1,0,0,0,"n"
"NH77",0,0,0,0,0,1,0,"n"
"NH78",0,0,1,0,0,0,0,"n"
"NH87",0,0,0,0,0,1,0,"n"
"NH88",0,0,0,0,0,1,0,"n"
"NH96",0,0,0,0,1,0,1,"n"
