"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C34",1,0,0,0,0,0,0,"a"
"C94",1,0,0,0,0,0,0,"a"
"D04",1,0,1,0,0,0,0,"a"
"D05",1,0,0,0,0,0,0,"a"
"D21",1,0,0,0,0,0,0,"a"
"D24",0,0,0,1,0,0,0,"a"
"D40",1,0,0,0,0,0,0,"a"
"G43",1,0,0,0,0,0,0,"a"
"G61",1,0,0,0,0,0,0,"a"
"G63",1,0,0,0,0,0,0,"a"
"G87",1,0,0,0,0,0,0,"a"
"H24",1,0,0,0,0,0,0,"a"
"H63",1,0,0,0,0,0,0,"a"
"H84",1,0,0,0,0,0,0,
"H95",1,0,0,0,0,0,0,
"HU44",0,0,0,0,1,0,0,"a"
"HY20",1,0,0,0,0,0,0,"a"
"HY21",1,0,0,0,0,0,0,"a"
"HY31",1,0,0,0,0,0,0,"a"
"HY32",1,0,0,0,0,0,0,"a"
"HY33",1,0,0,0,0,0,0,
"HY50",1,0,0,0,0,0,0,"a"
"J00",1,0,0,0,0,0,0,"a"
"J11",1,0,0,0,0,0,0,"a"
"J21",0,0,1,0,0,0,0,"a"
"J26",1,0,0,0,0,0,0,"a"
"J31",0,1,0,0,0,0,0,"a"
"J35",1,0,0,0,0,0,0,"a"
"J37",1,0,0,0,0,0,0,"a"
"J43",1,0,0,0,0,0,0,"a"
"J44",1,0,0,0,0,0,0,"a"
"J46",1,0,0,0,0,0,0,"a"
"J47",1,0,0,0,0,0,0,"a"
"J48",1,0,0,0,0,0,0,"a"
"J49",1,0,0,0,0,0,0,"a"
"J54",1,0,0,0,0,0,0,"a"
"J55",1,0,0,0,0,0,0,"a"
"J56",1,0,0,0,0,0,0,"a"
"J57",1,0,0,0,0,0,0,"a"
"J58",1,0,0,0,0,0,0,"a"
"J66",1,0,0,0,0,0,0,"a"
"M11",1,0,0,0,0,0,0,"a"
"M16",1,0,0,0,0,0,0,"a"
"M20",1,0,0,0,0,0,0,"a"
"M24",1,0,0,0,0,0,0,"a"
"M30",1,0,0,0,0,0,0,"a"
"M32",1,0,0,0,0,0,0,"a"
"M37",1,0,0,0,0,0,0,"a"
"M40",1,0,0,0,0,0,0,"a"
"M42",1,0,0,0,0,0,0,"a"
"M73",1,0,0,0,0,0,0,"a"
"M83",1,0,0,0,0,0,0,"a"
"N01",1,0,0,0,0,0,0,"a"
"N03",1,0,0,0,0,0,0,"a"
"N05",1,0,0,0,0,0,0,"a"
"N06",1,0,0,0,0,0,0,
"N07",1,0,0,0,0,0,0,"a"
"N11",1,0,0,0,0,0,0,"a"
"N32",1,0,0,0,0,0,0,"a"
"N38",1,0,0,0,0,0,0,"a"
"N39",0,1,0,0,0,0,0,"a"
"N48",1,0,0,0,0,0,0,"a"
"N55",1,0,0,0,0,0,0,"a"
"N58",1,0,0,0,0,0,0,"a"
"N76",1,0,0,0,0,0,0,"a"
"N86",1,0,0,0,0,0,0,"a"
"N93",1,0,0,0,0,0,0,"a"
"NB43",1,0,0,0,0,0,0,
"NC86",1,0,0,0,0,0,0,"a"
"ND49",1,0,0,0,0,0,0,"a"
"NG87",1,0,0,0,0,0,0,"a"
"NG94",1,0,0,0,0,0,0,"a"
"NJ05",1,1,1,0,0,0,0,"a"
"NJ14",1,1,0,0,0,0,0,
"NJ16",1,0,0,0,0,0,0,
"NJ26",1,1,0,0,0,0,0,
"NJ33",1,0,0,0,0,0,0,"a"
"NJ36",0,1,1,0,0,0,0,"a"
"NJ45",1,0,0,0,0,0,0,"a"
"NJ56",1,0,0,0,0,0,0,"a"
"NJ66",1,0,0,0,0,0,0,"a"
"NJ90",1,0,0,0,0,0,0,
"NK05",1,0,0,0,0,0,0,
"NK14",1,0,0,0,0,0,0,
"NK15",1,0,0,0,0,0,0,"a"
"NO19",1,0,0,0,0,0,0,"a"
"NO21",1,0,0,0,0,0,0,"a"
"NO22",1,0,0,0,0,0,0,"a"
"NO40",1,0,0,0,0,0,0,"a"
"NO42",0,0,1,0,0,0,0,"a"
"NO51",0,0,1,0,0,0,0,"a"
"NO60",0,0,0,0,0,0,1,
"NO64",1,0,0,0,0,0,0,"a"
"NO76",1,0,0,0,0,0,0,"a"
"NO87",1,0,0,0,0,0,0,"a"
"NO88",1,0,0,0,0,0,0,"a"
"NS24",1,0,0,0,0,0,0,
"NS31",0,1,0,0,0,0,0,"a"
"NS32",0,0,1,0,0,0,0,"a"
"NS33",1,0,0,0,0,0,0,"a"
"NS34",1,0,0,0,0,0,0,"a"
"NS37",1,0,0,0,0,0,0,"a"
"NS67",1,0,0,0,0,0,0,"a"
"NS75",1,0,0,0,0,0,0,"a"
"NS77",1,0,0,0,0,0,0,"a"
"NS93",1,1,0,0,0,0,0,"a"
"NS97",1,0,0,0,0,0,0,"a"
"NS98",1,0,0,0,0,0,0,"a"
"NT00",1,0,0,0,0,0,0,"a"
"NT06",1,1,0,0,0,0,0,"a"
"NT07",1,1,0,0,0,0,0,"a"
"NT17",1,1,0,0,0,0,0,"a"
"NT18",1,0,0,0,0,0,0,"a"
"NT27",1,1,0,0,0,0,0,"a"
"NT28",1,0,0,0,0,0,0,"a"
"NT29",0,0,1,0,0,0,0,"a"
"NT36",1,1,0,0,0,0,0,"a"
"NT37",1,0,0,0,0,0,0,"a"
"NT47",1,0,0,0,0,0,0,"a"
"NT54",1,0,0,0,0,0,0,"a"
"NT57",1,0,0,0,0,0,0,"a"
"NT58",1,0,0,0,0,0,0,"a"
"NT84",1,0,1,0,0,0,0,"a"
"NT95",1,0,1,0,0,0,0,"a"
"NT96",1,0,1,0,0,0,0,"a"
"NU22",1,0,0,0,0,0,0,"a"
"NX40",1,0,1,1,0,0,0,"a"
"NX87",1,0,0,0,0,0,0,"a"
"NX92",1,0,0,0,0,0,0,"a"
"NX97",1,0,0,0,0,0,0,"a"
"NX98",1,0,0,0,0,0,0,"a"
"NY03",1,0,0,0,0,0,0,"a"
"NY05",0,0,0,0,0,1,0,
"NY13",1,0,0,0,0,0,0,"a"
"NY15",1,0,1,0,0,0,0,"a"
"NY20",1,1,0,0,0,0,0,"a"
"NY35",0,0,1,0,0,0,0,"a"
"NY53",0,0,1,0,0,0,0,"a"
"NY60",1,1,0,0,0,0,0,"a"
"NY82",1,0,0,0,0,0,0,
"NZ03",1,0,0,0,0,0,0,
"NZ08",1,0,0,0,0,0,0,
"NZ10",1,0,1,0,0,0,0,"a"
"NZ22",1,0,1,0,0,0,0,"a"
"NZ25",0,1,0,0,0,0,0,"a"
"NZ26",1,0,0,0,0,0,0,"a"
"NZ28",1,0,1,0,0,0,0,"a"
"NZ33",0,0,1,0,0,0,0,"a"
"NZ34",0,0,1,1,0,0,0,"a"
"NZ37",1,0,0,1,0,0,0,"a"
"NZ62",1,0,1,0,0,0,0,"a"
"NZ80",1,0,1,0,0,0,0,"a"
"NZ81",0,0,1,0,1,0,0,"a"
"O13",1,1,0,0,0,0,0,"a"
"O20",0,0,1,0,0,0,0,"a"
"O23",1,1,0,0,0,0,0,"a"
"O25",1,0,0,0,0,0,0,"a"
"O30",1,1,1,0,0,0,0,"a"
"Q40",1,0,0,0,0,0,0,"a"
"Q61",1,0,0,0,0,0,0,"a"
"Q71",1,0,0,0,0,0,0,"a"
"Q82",1,0,0,0,0,0,0,"a"
"Q92",1,0,0,0,0,0,0,"a"
"Q95",1,0,0,0,0,0,0,"a"
"R04",1,0,0,0,0,0,0,"a"
"R24",1,0,0,0,0,0,0,
"R25",1,0,0,0,0,0,0,"a"
"R28",1,0,0,0,0,0,0,"a"
"R35",1,0,0,0,0,0,0,"a"
"R45",1,0,0,0,0,0,0,"a"
"R87",0,0,1,0,0,0,0,"a"
"S05",1,0,0,0,0,0,0,"a"
"S13",1,0,0,0,0,0,0,"a"
"S23",1,0,0,0,0,0,0,"a"
"S37",1,0,0,0,0,0,0,"a"
"S50",0,0,0,0,0,1,0,"a"
"S54",1,0,0,0,0,0,0,"a"
"S66",1,1,0,0,0,0,0,"a"
"S69",1,0,0,0,0,0,0,
"S70",1,0,1,0,0,0,0,"a"
"S76",1,0,0,0,0,0,0,"a"
"S94",1,0,0,0,0,0,0,"a"
"SC26",1,0,1,0,0,0,0,"a"
"SC27",1,0,0,0,0,0,0,"a"
"SD31",1,0,0,0,0,0,0,
"SD33",1,1,0,0,0,0,0,"a"
"SD41",0,1,0,0,0,0,0,
"SD44",1,0,0,0,0,0,0,"a"
"SD45",1,0,0,0,0,0,0,
"SD49",1,0,0,0,0,0,0,"a"
"SD52",1,0,0,0,0,0,0,
"SD53",1,0,0,0,0,0,0,"a"
"SD56",0,0,1,1,0,0,0,"a"
"SD61",1,0,0,0,0,0,0,
"SD69",1,0,0,0,0,0,0,"a"
"SD80",1,0,0,0,0,0,0,
"SD81",1,0,0,0,0,0,0,
"SD86",0,0,0,0,1,0,0,"a"
"SD98",1,0,0,0,0,0,0,"a"
"SE02",0,0,1,0,0,0,0,"a"
"SE12",0,0,1,0,0,0,0,"a"
"SE13",0,0,0,0,1,0,0,"a"
"SE14",1,0,1,0,0,0,0,"a"
"SE27",0,0,1,0,0,0,0,"a"
"SE29",1,1,1,0,0,0,0,"a"
"SE34",0,0,1,0,0,0,0,"a"
"SE36",0,0,1,0,0,0,0,"a"
"SE37",1,0,1,0,0,0,0,"a"
"SE47",1,0,1,0,0,0,0,"a"
"SE48",1,1,1,0,0,0,0,"a"
"SE55",0,0,0,0,0,1,0,
"SE57",0,1,0,0,0,0,0,"a"
"SE61",0,0,1,0,0,0,0,"a"
"SE62",1,0,0,0,0,0,0,
