"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"D40",0,0,0,0,0,0,1,
"J55",0,0,0,0,0,0,1,
"NH78",0,0,0,0,0,0,1,"a"
"NO21",1,0,1,1,1,0,0,"a"
"NO31",0,0,0,0,1,0,0,"a"
"NO33",0,0,0,0,1,0,0,"a"
"NO40",1,0,1,1,0,0,0,"a"
"NO79",0,0,0,0,1,0,0,
"NS37",1,0,0,0,0,0,0,"a"
"NS47",1,0,0,0,0,0,0,"a"
"NS79",1,0,0,0,0,0,0,"a"
"NT27",0,0,0,0,1,0,0,"a"
"NT37",0,0,0,0,0,0,1,"a"
"NT46",0,0,1,0,0,0,0,"a"
"NW96",0,0,0,0,0,0,1,"a"
"NZ25",0,0,0,0,0,1,0,"a"
"NZ26",0,0,0,0,0,1,0,"a"
"NZ31",0,0,0,0,1,0,0,"a"
"SD31",0,0,0,0,0,0,1,"a"
"SD80",0,0,0,0,0,1,0,"a"
"SD81",0,0,0,0,0,0,1,
"SE02",1,0,0,0,0,0,0,"a"
"SE23",0,0,0,0,0,0,1,
"SE29",1,0,0,0,0,0,0,"a"
"SE39",1,0,0,0,0,0,0,"a"
"SE91",1,0,0,0,0,0,0,"a"
"SH61",0,0,1,0,1,0,0,"a"
"SH72",1,0,1,1,0,0,0,"a"
"SJ17",1,0,0,0,0,0,0,"a"
"SJ25",0,0,0,1,0,0,0,"a"
"SJ26",0,0,0,1,0,0,0,"a"
"SJ27",0,0,1,1,1,0,1,"a"
"SJ35",1,0,1,1,1,1,1,"a"
"SJ36",0,0,1,0,1,0,0,"a"
"SJ39",0,0,0,0,1,1,1,"a"
"SJ40",1,0,0,0,0,0,0,
"SJ44",1,0,1,0,0,0,0,"a"
"SJ46",0,0,1,0,0,0,0,"a"
"SJ47",0,0,1,0,1,0,0,"a"
"SJ50",1,0,0,0,0,0,0,"a"
"SJ60",1,0,0,0,0,0,0,
"SJ86",1,0,0,0,0,0,0,"a"
"SJ89",0,0,0,0,1,1,0,"a"
"SJ99",0,0,0,0,1,0,0,"a"
"SK10",1,0,0,0,0,0,0,"a"
"SK22",1,0,0,0,0,0,0,"a"
"SK26",1,0,0,0,1,0,1,"a"
"SK38",0,0,0,1,1,0,0,"a"
"SK43",0,0,0,0,0,1,1,"a"
"SK49",0,0,0,1,0,1,1,
"SK53",1,0,0,0,1,0,0,"a"
"SK57",1,0,0,0,0,0,0,
"SK73",0,0,0,0,0,0,1,
"SK82",1,0,0,0,0,0,0,"a"
"SK89",1,0,0,0,0,0,0,"a"
"SK90",1,0,0,0,0,0,0,"a"
"SK91",1,0,0,0,0,0,0,"a"
"SK97",0,0,0,1,0,0,0,"a"
"SN14",0,0,0,1,0,0,0,"a"
"SN52",0,0,0,0,0,0,1,
"SN55",0,0,0,1,1,0,0,"a"
"SN62",1,0,0,0,0,0,0,"a"
"SN74",0,0,1,0,1,1,0,"a"
"SO50",1,0,0,0,0,0,0,"a"
"SO55",0,0,0,0,1,0,1,"a"
"SO57",1,0,0,0,0,0,0,"a"
