"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"G63",0,0,0,0,0,1,0,"a"
"L64",0,0,0,0,0,0,1,
"L74",0,0,0,0,0,0,1,"a"
"L76",0,0,0,0,0,0,1,
"L84",0,0,0,0,0,0,1,
"L92",0,0,0,0,0,0,1,
"M22",0,0,0,0,0,0,1,
"M23",0,0,0,0,0,1,0,
"M24",0,0,0,0,0,0,1,"a"
"M32",0,0,0,0,0,0,1,
"M68",0,0,0,0,0,0,1,
"N01",0,0,0,0,1,0,0,
"N03",0,0,0,0,0,0,1,
"N63",0,0,0,1,0,0,0,"a"
"N96",0,0,0,0,0,0,1,
"ND15",0,0,0,0,0,1,0,
"NF96",0,0,0,0,1,0,0,
"NG87",0,0,0,0,0,0,1,
"NH19",0,0,0,0,0,0,1,
"NH59",0,0,0,0,0,1,0,
"NH65",0,0,0,0,0,1,0,
"NM69",0,0,0,0,0,1,0,"a"
"NM81",0,0,0,0,1,0,0,"a"
"NM82",0,0,1,0,0,0,0,"a"
"NM83",0,0,0,1,1,0,0,"a"
"NM94",0,0,0,0,1,0,0,"a"
"NN13",0,0,0,0,1,0,0,"a"
"NN90",0,0,0,0,0,0,1,
"NR36",0,0,0,1,0,1,0,"a"
"NR71",0,0,0,1,0,0,0,"a"
"NR78",0,0,0,1,0,0,0,"a"
"NR79",0,0,0,0,1,0,0,"a"
"NR87",0,0,0,1,0,0,0,"a"
"NS28",0,0,0,1,0,0,0,"a"
"NS38",0,0,0,0,1,0,0,"a"
"NS56",0,0,0,0,0,0,1,"a"
"NS66",0,0,0,0,0,1,0,"a"
"NS67",0,0,0,0,1,0,0,"a"
"NT27",0,0,0,1,0,0,0,"a"
"NT36",0,0,0,1,1,0,0,"a"
"NT51",0,0,0,1,0,0,0,"a"
"NT67",0,0,0,0,0,0,1,
"NU03",0,0,0,1,0,0,0,"a"
"NY99",0,0,0,1,0,0,0,"a"
"NZ16",0,0,0,1,0,0,0,"a"
"NZ21",0,0,0,0,0,0,1,
