"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"HU59",0,0,0,0,1,0,0,"a"
"NC12",0,0,0,0,1,0,0,"a"
"NM24",1,0,0,0,0,0,0,"a"
"NM44",1,0,0,0,0,0,0,"a"
"NM53",0,0,0,0,1,0,0,"a"
"NN63",0,0,0,0,1,0,0,"a"
"NO02",0,0,0,0,0,1,0,
"NO04",0,0,0,0,1,0,0,"a"
"NS55",0,0,0,1,0,0,0,"a"
"NS97",0,0,0,1,0,0,0,"a"
"NT08",0,0,0,0,0,0,1,
"NT25",0,0,0,0,1,0,0,
"NT27",0,0,0,0,1,0,0,"a"
"NT36",0,0,0,0,1,0,0,"a"
"NT67",0,0,0,0,0,1,0,
"NZ24",0,0,0,0,1,0,0,"a"
"NZ53",0,0,0,0,0,1,0,
"NZ81",0,0,0,0,0,1,0,
"R55",0,0,0,0,0,1,0,
"SD31",0,0,0,0,0,1,1,
"SD40",0,0,0,0,0,1,1,
"SD52",0,0,0,0,0,1,1,
"SD72",0,0,0,0,0,1,0,
"SE13",0,0,0,0,1,0,1,
"SE67",0,0,0,0,1,0,0,
"SE68",0,0,0,0,1,0,0,"a"
"SE76",0,0,0,0,1,0,0,"a"
"SJ58",0,0,0,0,0,1,1,
"SJ66",0,0,0,0,1,0,0,"a"
"SJ67",0,0,0,0,0,1,0,
"SJ69",0,0,0,0,0,0,1,
"SJ87",0,0,0,0,0,0,1,
"SJ88",0,0,0,0,1,0,1,"a"
"SJ97",0,0,0,0,1,0,0,"a"
"SJ98",0,0,0,0,0,0,1,
"SJ99",0,0,0,0,1,1,0,
"SK09",0,0,0,0,0,0,1,
"SK27",0,0,0,0,0,1,0,
"SK42",0,0,0,0,0,0,1,
"SK43",0,0,0,0,0,1,0,
"SK44",0,0,0,0,0,0,1,
"SK45",0,0,0,0,1,1,0,"a"
"SK52",0,0,0,0,0,0,1,
"SK53",0,0,0,0,1,0,1,"a"
"SK54",0,0,0,0,0,1,0,
"SK55",0,0,0,0,0,1,1,
"SK56",0,0,0,0,0,1,1,
"SK57",0,0,0,0,0,0,1,
"SK63",0,0,0,0,0,1,1,
"SK64",0,0,0,0,1,1,1,"a"
"SK65",0,0,0,0,0,1,1,
"SK66",0,0,0,0,1,1,1,"a"
"SK67",0,0,0,0,0,1,1,
"SK68",0,0,0,0,0,1,0,
"SK74",0,0,0,0,1,0,1,"a"
"SK85",0,0,0,0,0,0,1,
"SK86",0,0,0,0,1,0,0,"a"
"SK87",0,0,0,0,0,1,0,
"SN40",0,0,0,0,0,1,0,
"SN58",0,0,0,0,0,1,0,
"SN61",0,0,0,0,0,1,0,
"SN66",0,0,0,0,0,1,0,
"SN67",0,0,0,0,0,1,0,
"SN68",0,0,0,0,0,1,0,
"SN80",0,0,0,0,0,1,0,
"SO11",0,0,0,1,0,0,0,"a"
"SO70",0,0,0,0,1,0,0,"a"
"SO81",0,0,0,1,0,0,0,"a"
"SP16",0,0,0,0,1,0,0,"a"
"SP28",0,0,0,0,1,0,0,"a"
"SP38",0,0,0,0,1,0,0,"a"
"SP39",0,0,0,0,1,0,0,"a"
"SP47",0,0,0,0,1,0,0,"a"
"SP93",0,0,0,1,0,0,0,"a"
"ST14",0,0,0,0,0,0,1,
"ST47",0,0,0,0,0,0,1,
"ST65",0,0,0,0,0,0,1,
"SU11",0,0,0,0,1,0,0,"a"
"SU29",0,0,0,0,0,1,0,
"SU53",0,0,0,0,0,0,1,
"SU73",1,0,0,1,0,0,0,"a"
"SU83",1,0,0,0,1,0,0,"a"
"SU85",0,0,0,0,0,1,0,
"SU96",0,0,0,0,1,0,1,"a"
"SW73",0,0,0,1,0,0,0,"a"
"SX99",0,0,0,0,1,0,0,"a"
"SY08",0,0,0,0,1,0,0,"a"
"SZ19",0,0,0,0,0,1,0,
"SZ49",0,0,0,0,0,1,0,
"SZ68",0,0,0,0,0,1,0,
"SZ69",0,0,0,0,1,0,0,"a"
"SZ79",0,0,0,0,1,0,0,"a"
"TF22",0,0,0,0,0,0,1,
"TF30",0,0,0,0,0,0,1,
"TF36",0,0,0,0,0,0,1,
"TF40",0,0,0,0,0,0,1,
"TF61",0,0,0,1,1,0,1,"a"
"TF62",0,0,0,1,1,0,0,"a"
"TF81",1,0,0,0,0,0,0,"a"
"TF91",1,0,0,1,1,0,0,"a"
"TG10",1,0,0,1,0,0,0,"a"
"TG20",1,0,0,1,0,1,0,"a"
"TG31",0,0,0,0,0,0,1,
"TL11",0,0,0,0,1,0,0,"a"
"TL12",0,0,0,0,1,0,0,"a"
"TL20",0,0,0,0,1,0,0,"a"
"TL22",0,0,0,0,1,0,0,"a"
"TL25",0,0,0,0,0,0,1,
"TL28",0,0,0,0,1,0,0,"a"
"TL40",0,0,0,0,0,1,0,
"TL43",0,0,0,0,1,0,0,"a"
"TL45",0,0,0,0,0,0,1,
"TL46",0,0,0,0,0,0,1,
"TL57",0,0,0,0,0,1,0,
"TL60",0,0,0,0,1,0,0,"a"
"TL61",0,0,0,0,1,0,0,"a"
"TM02",0,0,0,0,1,0,0,"a"
"TM07",0,0,0,0,0,1,0,
"TM08",0,0,0,1,1,0,0,"a"
"TM17",0,0,0,0,0,0,1,
"TM18",0,0,0,1,1,0,0,"a"
"TM49",0,0,0,0,0,0,1,
"TM58",0,0,0,0,0,0,1,
"TM59",0,0,0,0,0,1,0,
"TQ04",0,0,0,0,0,0,1,
"TQ14",0,0,0,0,0,0,1,
"TQ16",0,0,0,0,1,1,0,"a"
"TQ17",0,0,0,1,1,1,0,"a"
"TQ18",0,0,0,1,0,0,0,"a"
"TQ28",0,0,0,0,1,0,0,"a"
"TQ29",0,0,0,0,1,1,0,"a"
"TQ38",0,0,0,0,1,0,0,"a"
"TQ39",0,0,0,0,1,0,0,"a"
"TQ41",0,0,0,0,0,1,0,
"TQ44",0,0,0,1,0,0,0,"a"
"TQ57",0,0,0,0,0,0,1,
"TQ58",0,0,0,0,0,1,1,
