"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NS03",0,0,0,0,0,0,1,
"NT36",0,0,0,1,0,0,1,"a"
"NX74",0,0,0,0,1,0,0,"a"
"S30",0,0,0,0,0,0,1,
"SC27",0,0,0,0,1,0,0,"a"
"SE18",0,0,0,0,1,0,0,
"SE23",0,0,0,0,0,0,1,
"SJ79",0,0,0,0,0,1,1,
"SJ85",0,0,0,0,0,0,1,
"SN52",0,0,0,0,0,1,0,
"ST17",0,0,0,0,0,0,1,
"ST50",0,0,0,0,0,1,0,
"ST74",0,0,0,0,1,0,0,"a"
"SU68",0,0,0,0,0,0,1,
"SU94",0,0,0,0,1,0,0,"a"
"SX15",0,0,0,0,0,0,1,
"TF41",0,0,0,0,0,1,0,
"TL05",0,0,0,0,0,1,0,
"TQ65",0,0,0,1,0,0,0,"a"
"WA50",0,0,0,0,1,0,0,"a"
"WV65",1,0,0,0,1,0,0,"a"
"X39",0,0,0,0,0,1,0,
