"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C73",1,0,0,0,0,0,0,"a"
"H37",0,0,0,0,1,0,0,"a"
"H76",0,0,0,0,1,0,0,"a"
"H87",0,0,0,0,0,1,0,
"J11",0,0,0,0,0,0,1,
"J57",0,0,0,0,0,1,1,
"N84",0,0,0,0,0,1,0,
"N92",0,0,0,0,0,0,1,
"NG88",0,0,0,0,0,0,1,
"NH64",0,0,0,1,0,0,0,
"NH95",0,0,0,1,0,0,0,
"NJ05",0,0,0,0,0,0,1,
"NJ06",0,0,0,0,0,0,1,
"NJ16",0,0,0,0,0,0,1,
"NJ26",0,0,0,1,0,1,0,
"NJ36",0,0,0,0,0,1,1,
"NO41",0,0,1,0,0,0,1,"a"
"NO75",0,0,0,0,0,1,0,
"NS06",0,0,0,0,0,0,1,
"NS24",0,0,0,0,0,1,0,
"NS98",0,0,0,0,0,1,0,
"NT08",0,0,0,0,0,1,0,
"NT29",0,0,0,0,0,0,1,
"NT43",1,0,0,0,0,0,0,
"NT53",1,0,0,0,0,0,0,
"NT62",0,0,0,0,0,1,0,
"NX34",0,0,0,0,0,0,1,
"NX40",0,0,0,0,1,0,0,"a"
"NY00",0,0,0,0,0,0,1,
"NY22",0,0,0,0,0,1,0,
"NY35",0,0,0,0,0,0,1,
"NY42",0,0,0,0,0,1,1,
"NY54",0,0,0,0,0,0,1,
"NY65",0,0,0,0,0,0,1,
"NZ15",0,0,0,0,0,0,1,
"NZ16",0,0,0,0,0,1,0,
"NZ40",0,0,0,0,0,1,0,
"NZ52",0,0,0,0,1,0,0,
"R97",0,0,0,0,0,0,1,
"S61",0,0,0,0,0,0,1,
"S72",0,0,0,0,0,0,1,
"SC27",0,0,1,0,0,0,0,
"SC28",0,0,0,0,1,0,0,"a"
"SC37",0,0,0,0,1,0,0,"a"
"SC39",0,0,0,1,0,1,0,"a"
"SC49",0,0,0,0,1,0,0,"a"
"SD20",0,0,0,0,0,1,0,
"SD30",0,0,0,0,0,1,0,
"SD31",0,0,0,1,0,1,1,
"SD32",1,0,1,1,1,0,0,"a"
"SD33",1,0,1,0,0,0,0,"a"
"SD34",1,0,1,0,0,0,0,"a"
"SD40",0,0,0,0,0,1,0,
"SD42",0,0,0,0,0,1,0,
"SD48",0,0,0,0,0,0,1,
"SD50",0,0,0,0,0,0,1,
"SD52",0,0,0,0,0,0,1,
"SD59",0,0,0,0,0,1,0,
"SD62",0,0,0,1,0,0,0,"a"
"SD70",0,0,1,0,0,1,0,
"SE02",0,0,0,0,0,0,1,
"SE13",0,0,0,1,1,0,1,"a"
"SE14",0,0,0,0,0,0,1,
"SE23",0,0,0,0,0,0,1,
"SE24",0,0,0,1,0,0,0,
"SE38",0,0,1,0,0,0,0,
"SE39",0,0,0,0,0,1,0,
"SE40",0,0,0,1,0,0,0,
"SE46",0,0,0,0,0,1,0,
"SE60",0,0,0,0,0,0,1,
"SE61",0,0,0,0,0,0,1,
"SE70",0,0,0,0,0,1,0,
"SE71",0,0,0,0,0,0,1,
"SE81",0,0,0,0,0,1,0,
"SE83",0,0,0,0,0,0,1,
"SE90",0,0,0,0,0,1,0,
"SH33",1,0,0,0,0,0,0,"a"
"SH46",0,0,0,0,0,1,0,
"SH56",0,0,0,0,0,0,1,
"SH57",0,0,0,0,0,0,1,
"SH78",0,0,0,0,1,0,1,"a"
"SH97",0,0,0,0,0,1,1,
"SJ07",0,0,0,0,0,0,1,
"SJ28",0,0,0,0,0,1,0,
"SJ29",0,0,0,0,1,1,0,"a"
"SJ31",0,0,0,1,0,0,0,"a"
"SJ35",0,0,0,0,0,0,1,
"SJ36",0,0,0,0,1,1,0,
"SJ37",0,0,0,0,0,1,0,
"SJ39",0,0,0,0,1,1,0,
"SJ41",0,0,0,0,0,0,1,
"SJ43",0,0,0,0,1,0,0,"a"
"SJ48",0,0,0,0,1,0,1,"a"
"SJ58",0,0,0,0,0,1,0,
"SJ59",0,0,0,0,1,0,0,
"SJ68",0,0,0,0,0,1,0,
"SJ69",0,0,0,0,0,0,1,
"SJ76",0,0,0,0,1,0,0,"a"
"SJ77",0,0,0,0,0,0,1,
"SJ82",0,0,0,0,0,0,1,
"SJ84",0,0,0,0,1,1,0,"a"
"SJ85",0,0,0,0,0,0,1,
"SJ89",0,0,0,0,1,0,0,"a"
"SJ90",0,0,0,0,0,1,0,
"SJ91",0,0,0,0,0,1,0,
"SK00",0,0,0,0,0,1,0,
"SK03",0,0,0,0,1,0,0,"a"
"SK10",0,0,0,0,0,1,0,
"SK11",0,0,0,0,1,0,0,"a"
"SK13",0,0,0,0,0,1,0,
"SK14",0,0,0,1,0,0,0,
"SK22",0,0,0,0,0,0,1,
"SK23",0,0,0,0,0,0,1,
"SK26",0,0,0,0,0,0,1,
"SK30",0,0,0,0,0,0,1,
"SK32",0,0,0,0,0,1,0,
"SK33",0,0,0,0,0,1,1,
"SK34",0,0,0,0,0,1,0,
"SK38",0,0,0,0,0,1,0,
"SK39",0,0,0,0,0,1,0,
"SK43",0,0,0,0,0,1,0,
"SK44",0,0,0,0,0,0,1,
"SK45",0,0,0,0,0,1,1,
"SK46",0,0,0,0,0,0,1,
"SK48",0,0,0,0,0,0,1,
"SK49",0,0,0,0,0,1,1,
"SK50",0,0,0,0,0,0,1,
"SK52",0,0,0,0,0,1,0,
"SK53",1,0,0,0,0,1,1,"a"
"SK54",0,0,0,0,0,1,1,
"SK62",0,0,0,0,0,0,1,
"SK63",0,0,0,0,0,1,0,
"SK66",0,0,0,0,0,0,1,
"SK68",0,0,0,0,1,1,0,"a"
"SK71",0,0,0,0,0,0,1,
"SK73",0,0,0,0,0,0,1,
"SK75",1,0,0,0,0,1,0,"a"
"SK78",0,0,0,0,0,0,1,
"SK83",0,0,0,0,0,1,0,
"SK84",0,0,0,0,0,1,0,
"SK85",0,0,0,0,0,1,0,
"SK91",0,0,0,0,1,0,0,"a"
"SM72",0,0,0,0,0,1,0,
"SM93",0,0,0,0,0,0,1,
"SN03",0,0,0,0,0,1,1,
"SN20",0,0,0,0,0,0,1,
"SN31",0,0,0,0,0,0,1,
"SN40",0,0,0,0,0,1,1,
"SN42",0,0,0,0,0,1,0,
"SN50",0,0,0,0,0,1,0,
"SN51",0,0,0,0,1,0,0,"a"
"SN58",0,0,0,0,0,1,1,
"SN62",0,0,0,0,1,0,0,"a"
"SN64",0,0,0,0,0,0,1,
"SN68",0,0,0,0,0,1,0,
"SO00",0,0,0,0,1,0,0,"a"
"SO05",0,0,0,0,0,0,1,
"SO14",0,0,0,0,0,1,0,
"SO24",0,0,0,0,0,0,1,
"SO30",0,0,0,1,0,0,0,
"SO40",0,0,0,1,0,0,1,"a"
"SO45",0,0,0,0,1,0,0,"a"
"SO47",0,0,0,0,0,0,1,
"SO50",0,0,0,0,0,0,1,
"SO51",0,0,0,1,0,1,0,
"SO56",0,0,0,0,0,0,1,
"SO61",0,0,0,1,0,0,0,"a"
"SO70",0,0,0,0,0,1,0,
"SO74",0,0,0,1,0,1,1,"a"
"SO80",0,0,1,1,0,0,1,"a"
"SO84",0,0,0,0,0,1,0,
"SO85",0,0,0,1,0,1,0,"a"
"SO86",0,0,0,0,0,0,1,
"SO87",0,0,0,0,0,1,1,
"SO88",0,0,0,0,1,0,1,"a"
"SO89",0,0,0,0,1,1,0,"a"
"SO92",0,0,0,1,1,0,0,"a"
