"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"H76",0,0,0,0,0,1,0,
"NX40",0,0,0,0,1,0,0,"a"
"S71",0,0,0,0,0,0,1,
"SD53",0,0,0,0,0,1,0,
"SH78",0,0,0,0,0,1,1,
"SJ39",0,0,0,0,0,0,1,
"SJ89",0,0,0,0,0,1,1,
"SK37",0,0,0,0,0,0,1,
"SK92",0,0,0,0,0,0,1,
"SM90",0,0,0,0,0,0,1,
"SO62",0,0,0,0,0,0,1,
"SP12",0,0,0,0,0,1,0,
"SP36",0,0,0,0,0,1,0,
"SP40",0,0,0,0,0,0,1,
"SS43",0,0,0,0,1,0,0,"a"
"SS48",0,0,0,0,0,0,1,
"SS63",0,0,0,0,0,0,1,
"SS94",0,0,0,0,0,1,0,
"ST04",0,0,0,0,0,1,0,
"ST12",0,0,0,0,0,1,0,
"ST16",0,0,0,0,0,0,1,
"ST23",0,0,0,0,0,0,1,
"ST31",0,0,0,0,1,0,0,"a"
"ST32",0,0,0,0,1,0,0,"a"
"ST33",0,0,0,0,1,0,1,"a"
"ST35",0,0,0,0,0,0,1,
"ST42",0,0,0,1,1,1,1,"a"
"ST47",0,0,0,0,0,0,1,
"ST53",0,0,0,0,1,0,0,"a"
"ST76",0,0,0,0,0,0,1,
"ST85",0,0,0,0,0,0,1,
"SU33",0,0,0,0,0,1,0,
"SU36",0,0,0,0,0,0,1,
"SU40",0,0,0,0,0,1,0,
"SU41",0,0,0,0,0,1,1,
"SU42",0,0,0,0,0,1,0,
"SU70",0,0,0,0,0,1,0,
"SU77",0,0,0,0,1,0,1,"a"
"SU80",0,0,1,0,1,0,0,"a"
"SU95",0,0,0,0,0,0,1,
"SU96",0,0,0,0,0,0,1,
"SU97",0,0,0,0,0,0,1,
"SV91",0,0,1,0,1,1,1,"a"
"SW43",1,0,0,1,1,0,0,"a"
"SW61",0,0,1,1,0,0,0,"a"
"SW83",1,0,0,1,1,0,1,"a"
"SW84",0,0,0,1,0,0,1,"a"
"SX05",0,0,0,0,0,1,1,
"SX08",0,0,0,0,1,0,0,"a"
"SX45",0,0,1,0,1,1,0,"a"
"SX55",0,0,0,0,0,1,0,
"SX73",0,0,0,0,1,0,0,"a"
"SX87",0,0,0,0,0,1,1,
"SX96",0,0,0,0,0,1,1,
"SX98",0,0,0,0,0,1,0,
"SY08",0,0,0,0,1,0,1,"a"
"SY49",0,0,0,0,1,0,0,"a"
"SY58",1,0,1,0,0,1,0,"a"
"SY59",0,0,0,0,1,0,0,"a"
