"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C71",0,0,0,0,0,1,0,
"HP50",0,0,0,1,0,0,1,"a"
"HP60",0,0,0,0,1,0,1,"a"
"HP61",0,0,0,0,0,0,1,
"HU24",0,0,0,0,0,0,1,
"HU25",0,0,0,0,1,0,0,"a"
"HU31",0,0,0,0,0,0,1,
"HU32",0,0,0,0,0,0,1,
"HU33",0,0,0,0,0,0,1,
"HU34",0,0,0,0,0,0,1,
"HU42",0,0,0,0,1,0,0,"a"
"HU43",0,0,0,1,0,0,1,"a"
"HU44",0,0,0,0,0,0,1,
"HU46",0,0,0,0,0,0,1,
"HU47",0,0,0,0,0,0,1,
"HU48",0,0,0,0,0,0,1,
"HY30",0,0,0,0,0,0,1,
"HY40",0,0,0,0,0,1,0,
"HY62",0,0,0,0,0,0,1,
"HY75",0,0,0,0,0,0,1,
"J02",0,0,0,0,0,0,1,
"NC31",0,0,0,0,0,0,1,
"NC33",0,0,0,0,0,0,1,
"NC40",0,0,0,0,0,0,1,
"NC50",0,0,0,0,0,0,1,
"NC51",0,0,0,0,0,0,1,
"NC70",0,0,0,0,0,0,1,
"NC80",0,0,0,0,0,0,1,
"NC83",0,0,0,0,0,0,1,
"NC90",0,0,0,0,0,0,1,
"ND01",0,0,0,0,0,0,1,
"ND16",0,0,0,1,0,0,1,"a"
"ND35",0,0,0,0,0,0,1,
"ND49",0,0,0,0,0,0,1,
"NG72",0,0,0,0,0,0,1,
"NG77",0,0,0,0,0,0,1,
"NH36",0,0,0,0,0,0,1,
"NH45",0,0,0,0,0,1,0,
"NH54",0,0,0,0,0,0,1,
"NH56",0,0,0,0,0,0,1,
"NH59",0,0,0,0,0,0,1,
"NH64",0,0,0,0,0,0,1,
"NH65",0,0,1,0,0,0,0,"a"
"NH66",0,0,0,0,0,1,1,
"NH69",0,0,0,0,0,0,1,
"NH70",0,0,0,0,0,0,1,
"NH72",0,0,0,0,0,0,1,
"NH74",0,0,0,0,0,0,1,
"NH75",1,0,0,1,0,0,1,"a"
"NH76",0,0,0,0,0,1,1,
"NH78",0,0,0,0,0,0,1,
"NH79",0,0,0,0,0,0,1,
"NH84",0,0,0,0,0,0,1,
"NH87",0,0,0,0,0,1,1,
"NH88",0,0,0,0,0,0,1,
"NH89",0,0,0,0,0,1,1,
"NH91",0,0,0,0,0,0,1,
"NH92",0,0,0,0,1,0,1,"a"
"NH95",0,0,0,0,1,0,0,"a"
"NH98",0,0,0,0,0,0,1,
"NJ02",0,0,0,0,0,0,1,
"NJ03",0,0,0,0,0,1,0,
"NJ05",1,1,0,0,1,0,1,"a"
"NJ06",0,0,0,0,1,1,1,"a"
"NJ12",0,0,0,0,0,1,1,
"NJ16",0,0,0,0,1,1,1,"a"
"NJ17",0,0,0,0,1,0,0,"a"
"NJ22",0,0,0,0,0,1,0,
"NJ24",0,0,1,1,0,0,0,
"NJ26",1,0,1,0,1,1,1,"a"
"NJ27",0,0,0,0,0,0,1,
"NJ35",0,0,0,0,1,0,1,"a"
"NJ36",0,0,0,0,1,1,0,"a"
"NJ45",0,0,0,1,0,0,1,"a"
"NJ72",0,0,0,0,0,1,0,
"NJ80",0,0,0,0,0,1,0,
"NJ83",0,0,0,0,0,1,0,
"NK04",0,0,0,0,1,0,0,"a"
"NM35",0,0,0,0,0,0,1,
"NM55",0,0,0,0,0,0,1,
"NN07",0,0,0,0,1,0,0,"a"
"NN40",0,0,0,1,1,0,0,"a"
"NN72",0,0,0,1,0,0,0,
"NN79",0,0,0,0,0,0,1,
"NN95",0,0,1,0,0,0,1,
"NO08",0,0,0,0,0,0,1,
"NO12",0,0,0,0,0,0,1,
"NO19",0,0,0,0,0,0,1,
"NO32",0,0,0,0,1,0,0,"a"
"NO33",0,0,0,0,0,1,0,
"NO40",0,0,0,0,1,0,0,"a"
"NO41",0,0,0,0,1,0,0,"a"
"NO53",0,0,0,1,1,0,1,"a"
"NR62",0,0,0,0,1,0,0,"a"
"NR64",0,0,0,0,0,1,0,
"NS18",0,0,0,0,1,0,0,"a"
"NS28",0,0,0,1,1,1,0,"a"
"NS29",0,0,0,1,0,0,0,"a"
"NS37",0,0,0,0,1,0,0,
"NS38",0,0,0,0,1,0,0,"a"
"NS46",0,0,0,0,1,0,0,"a"
"NS47",0,0,0,1,1,0,0,"a"
"NS56",0,0,0,0,0,0,1,
"NS57",0,0,0,1,0,0,0,"a"
"NS65",0,0,0,1,1,0,0,"a"
"NS66",0,0,0,0,0,0,1,
"NS67",0,0,0,0,1,0,1,
"NS69",0,0,0,1,0,0,0,"a"
"NS77",0,0,0,0,1,0,0,"a"
"NS83",0,0,0,0,1,0,0,"a"
"NS86",0,0,0,0,0,0,1,
"NS96",0,0,0,0,1,1,0,
"NS97",0,0,0,0,1,0,0,"a"
"NS98",0,0,0,0,1,0,0,"a"
"NT05",0,0,0,0,1,0,0,"a"
"NT07",0,0,0,0,1,1,0,"a"
"NT08",0,0,0,0,1,0,0,"a"
"NT16",0,0,0,0,1,0,0,"a"
"NT17",0,0,0,0,0,1,0,
"NT27",0,0,0,0,0,0,1,
"NT28",0,0,0,0,1,0,0,"a"
"NT33",0,0,0,0,0,0,1,
"NT39",0,0,1,0,0,0,0,"a"
"NT43",0,0,0,0,1,0,0,"a"
"NT44",0,0,0,0,1,0,0,"a"
"NT47",0,0,0,0,0,1,0,
"NT48",0,0,0,1,0,1,0,"a"
"NT49",0,0,1,0,0,0,0,"a"
"NT51",0,0,0,0,0,0,1,
"NT57",0,0,0,1,0,0,0,
"NT58",0,0,1,0,0,0,0,"a"
"NT61",0,0,0,0,1,1,0,"a"
"NT62",0,0,0,0,1,0,1,"a"
"NT64",0,0,0,0,0,1,0,
"NT74",0,0,0,0,0,0,1,
"NT75",0,0,0,0,1,0,1,"a"
"NT83",0,0,0,0,1,0,0,"a"
"NT85",0,0,0,0,0,0,1,
"NT96",0,0,0,0,0,1,0,
"NU01",0,0,0,0,0,0,1,
"NU02",0,0,0,0,0,0,1,
"NU12",0,0,0,0,0,0,1,
"NU13",0,0,0,1,1,0,1,"a"
"NU21",0,0,0,1,0,0,0,"a"
"NU22",0,0,0,0,0,0,1,
"NU23",0,0,0,0,1,0,0,"a"
"NX25",0,0,0,1,0,0,0,"a"
"NX36",0,0,0,0,1,0,0,"a"
"NX40",0,0,0,1,0,0,1,"a"
"NX65",0,0,0,0,0,0,1,
"NX74",0,0,0,0,0,0,1,
"NX75",0,0,0,0,0,0,1,
"NX76",0,0,0,1,0,0,1,"a"
"NX85",0,0,0,0,0,0,1,
"NX86",0,0,0,1,1,0,0,"a"
"NX91",0,0,0,0,0,0,1,
"NX97",0,0,0,0,0,0,1,
"NY02",0,0,0,0,0,1,0,
"NY04",0,0,0,1,1,1,1,"a"
"NY05",0,0,0,0,0,1,0,
"NY14",0,0,0,0,0,0,1,
"NY24",0,0,0,1,1,1,1,"a"
"NY32",0,0,0,1,0,0,0,"a"
"NY34",0,0,0,1,1,1,0,"a"
"NY35",0,0,0,0,1,1,1,
"NY42",0,0,0,0,0,1,1,
"NY43",0,0,0,1,1,0,1,"a"
"NY46",0,0,0,1,0,0,0,"a"
"NY48",0,0,0,0,1,0,0,"a"
"NY51",0,0,0,0,0,0,1,
"NY52",0,0,0,1,0,0,1,"a"
"NY53",0,0,0,0,1,0,0,"a"
"NY60",0,0,0,1,1,1,1,"a"
"NY89",0,0,0,1,0,0,0,"a"
"NZ03",0,0,0,0,0,0,1,
"NZ16",0,0,0,0,0,1,0,
"NZ24",0,0,0,0,0,0,1,
"NZ26",0,0,0,0,0,1,1,
"NZ31",0,0,0,0,0,1,0,
"NZ41",0,0,0,0,0,1,0,
"NZ52",0,0,0,0,0,0,1,
"NZ53",0,0,0,0,0,0,1,
"NZ81",0,0,0,0,0,1,0,
"NZ90",0,0,0,0,0,0,1,
"O21",0,0,0,0,0,1,0,
"SC16",0,0,0,0,1,0,0,"a"
"SC39",0,0,0,0,1,0,1,"a"
"SC48",0,0,0,0,1,0,0,"a"
"SC49",0,0,0,0,1,0,0,"a"
"SD09",0,0,0,1,0,1,0,"a"
"SD20",0,0,0,0,1,1,1,"a"
"SD27",0,0,0,0,0,1,0,
"SD30",0,0,0,0,1,1,0,
"SD31",0,1,0,0,1,1,1,"a"
"SD32",0,0,1,0,1,1,1,"a"
"SD34",0,0,1,0,0,1,1,
"SD38",0,0,0,1,1,0,0,"a"
"SD40",0,0,0,0,0,1,0,
"SD41",0,0,0,0,1,1,0,"a"
"SD46",0,0,0,0,0,0,1,
"SD48",0,0,0,0,1,1,0,"a"
"SD49",0,0,0,0,1,0,0,
"SD50",0,0,0,0,0,1,0,
"SD52",0,0,0,0,0,0,1,
"SD56",0,0,0,0,0,0,1,
"SD57",0,0,0,0,1,1,0,"a"
"SD59",0,0,0,1,1,1,0,"a"
"SD60",0,0,0,0,0,1,0,
"SD61",0,0,0,0,0,1,1,
"SD62",0,0,0,0,1,0,0,"a"
"SD63",0,0,0,0,0,0,1,
"SD66",0,0,0,0,0,0,1,
"SD70",0,0,0,0,0,0,1,
"SD72",0,0,0,0,0,0,1,
"SD80",0,0,0,0,0,0,1,
"SD82",0,0,0,0,0,1,0,
"SD83",0,0,0,0,0,0,1,
"SD84",0,0,0,0,0,0,1,
"SD91",0,0,0,0,0,0,1,
"SE13",0,0,0,1,1,1,1,"a"
"SE25",0,0,0,0,0,0,1,
"SE30",0,0,0,0,0,0,1,
"SE33",0,0,0,1,0,0,0,
"SE49",0,0,0,0,0,0,1,
"SE54",0,0,0,0,0,0,1,
"SE62",0,0,0,0,0,0,1,
"SE67",0,0,0,0,0,1,1,
"SE93",0,0,0,0,1,0,0,"a"
"SH27",0,0,0,0,0,0,1,
"SH28",0,0,0,0,0,0,1,
"SH45",0,0,0,0,0,1,0,
"SH46",0,0,0,0,0,0,1,
"SH49",0,0,0,0,0,0,1,
"SH57",1,0,1,0,0,0,0,"a"
"SH58",0,0,0,0,1,0,0,"a"
"SH67",0,0,0,0,0,0,1,
"SJ17",0,0,0,0,0,0,1,
"SJ18",0,0,0,0,1,1,1,"a"
"SJ27",0,0,0,0,0,1,0,
"SJ28",0,0,0,0,1,1,0,"a"
"SJ29",0,0,0,0,0,1,0,
"SJ36",0,0,0,0,0,1,0,
"SJ39",0,1,0,0,1,1,1,
"SJ48",0,0,0,0,0,0,1,
"SJ53",0,0,0,0,1,0,0,
"SJ59",0,0,0,0,0,1,1,
"SJ61",0,0,0,0,0,1,0,
"SJ62",0,0,0,0,0,1,0,
"SJ69",0,0,0,0,0,0,1,
"SJ71",0,0,0,0,0,0,1,
"SJ72",0,0,0,0,0,0,1,
"SJ76",0,0,0,0,1,0,0,"a"
"SJ79",0,0,0,0,0,0,1,
"SJ80",0,0,0,0,1,0,0,"a"
"SJ89",0,0,0,0,0,1,0,
"SJ99",0,0,0,0,0,1,0,
"SK00",0,0,0,0,1,1,1,"a"
