"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"G84",0,0,0,0,0,0,1,
"HY22",0,0,0,0,0,0,1,
"NH68",0,0,0,0,0,0,1,
"NH80",0,0,0,1,0,0,0,"a"
"NH91",0,0,0,0,0,0,1,
"NH95",0,0,0,0,0,0,1,
"NJ02",0,0,0,0,0,0,1,
"NJ05",0,0,0,0,0,1,0,
"NJ16",0,0,0,0,0,0,1,
"NN07",0,0,0,0,0,0,1,
"NS31",0,0,0,0,1,0,0,"a"
"NS32",0,0,0,0,1,0,0,"a"
"NS65",0,0,0,0,1,0,0,"a"
"NS80",0,0,0,0,0,1,0,
"NT05",0,0,0,0,0,0,1,
"NT14",0,0,0,0,0,0,1,
"NT51",0,0,0,0,0,0,1,
"NX46",0,0,0,0,1,0,0,"a"
"NX56",0,0,0,1,0,0,0,"a"
"NY35",0,0,0,1,1,1,0,"a"
"NY43",0,0,0,0,1,0,0,"a"
"NY45",0,0,0,1,1,0,0,"a"
"NY60",0,0,0,0,0,1,0,
"NY62",0,0,0,0,0,0,1,
"NZ35",0,0,0,0,0,0,1,
"SD31",0,0,0,0,0,1,0,
"SD32",0,0,0,0,1,0,0,"a"
"SD33",1,0,1,0,0,0,0,"a"
"SD34",0,0,0,0,0,1,0,
"SD47",0,0,0,1,1,0,0,"a"
"SD55",0,0,0,0,0,0,1,
"SD61",0,0,0,0,0,1,0,
"SD62",0,0,0,1,0,0,0,
"SD80",0,0,0,0,0,1,0,
"SH38",0,0,0,0,0,0,1,
"SH77",0,0,0,0,0,0,1,
"SJ49",0,0,0,0,1,0,0,"a"
"SJ94",0,0,0,0,0,1,0,
"SJ95",0,0,0,0,0,1,0,
"SK66",1,0,1,0,0,0,0,"a"
"SK82",0,0,0,0,0,0,1,
"SN40",0,0,0,0,0,1,0,
"SN50",0,0,0,0,0,0,1,
"SN61",0,0,1,0,0,0,0,"a"
"SN73",0,0,0,0,0,0,1,
"SO88",0,0,0,0,0,1,0,
"SO99",0,0,0,0,0,0,1,
"SP50",0,0,1,1,0,0,0,"a"
"SP80",0,0,0,0,1,0,0,
"SS69",0,0,0,0,0,1,0,
"SS78",0,0,0,0,0,0,1,
"SS79",0,0,0,0,0,0,1,
"SS93",0,0,0,1,1,0,0,
"ST12",0,0,0,0,1,0,0,"a"
"ST40",0,0,0,0,1,0,0,"a"
"ST41",0,0,0,0,1,0,0,"a"
"ST55",0,0,0,1,1,1,1,"a"
"ST63",0,0,0,0,1,0,0,"a"
"ST64",0,0,0,0,1,0,0,"a"
"ST75",0,0,0,0,1,0,0,"a"
"SU26",0,0,0,0,0,0,1,
"SU53",0,0,0,0,0,0,1,
"SU77",0,0,1,0,0,0,0,"a"
"SU93",0,1,0,0,0,0,0,"a"
"SU96",0,0,1,0,0,0,0,"a"
"SW97",1,0,0,0,0,0,0,"a"
"SX09",0,0,0,0,1,1,0,"a"
"SX26",1,0,0,0,0,0,0,"a"
"SX87",0,0,0,0,0,1,0,
"SZ29",0,0,0,0,0,0,1,
"SZ48",0,0,0,0,0,0,1,
"SZ57",0,0,0,0,0,0,1,
"TF18",0,0,0,0,0,0,1,
"TL02",0,0,0,0,0,1,1,
"TQ26",0,0,0,0,1,0,0,"a"
