"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NT27",1,0,0,0,0,0,0,"a"
"NT37",1,0,0,0,0,0,0,"a"
"O13",0,0,0,0,0,0,1,
"SE13",0,0,1,0,0,1,0,"a"
"SJ84",0,0,0,0,0,0,1,
"SO74",0,0,0,0,0,0,1,
"SP07",0,0,0,0,0,1,0,
"SP08",0,0,0,0,0,1,0,
"SP36",0,0,0,0,0,1,0,
"ST38",0,1,0,1,0,0,0,"a"
"ST57",0,1,0,0,0,0,0,"a"
"ST67",1,0,0,1,0,0,0,"a"
"ST76",0,0,0,0,0,0,1,
"SU73",0,0,1,0,0,0,0,"a"
"SU77",0,0,0,0,0,0,1,
"SU96",0,0,0,0,0,0,1,
"SW73",0,1,0,0,0,0,0,"a"
"SZ19",0,0,0,0,0,0,1,
"TL03",0,0,1,1,0,0,0,"a"
"TL13",0,0,0,0,1,0,0,
"TL45",0,0,0,0,0,1,0,
"TL66",0,0,0,0,1,0,0,"a"
"TM59",0,0,0,0,0,0,1,
"TQ06",0,0,0,0,0,0,1,
"TQ28",0,0,0,0,0,0,1,
"TQ38",0,0,0,0,0,0,1,
"TQ39",0,0,0,0,0,0,1,
"TQ57",0,0,0,1,0,0,0,"a"
"TQ59",0,0,0,0,0,0,1,
"TQ88",0,0,0,0,0,0,1,
"TV59",0,0,0,0,0,0,1,
"WV64",0,0,0,0,1,0,1,"a"
