"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"L99",0,0,0,0,0,0,1,
"NM25",0,0,0,0,0,0,1,"n"
"NN10",0,0,1,0,0,0,0,
"NY82",0,0,0,0,0,0,1,
"NZ12",0,0,0,1,0,0,0,"n"
"NZ25",0,0,0,1,0,0,0,"n"
"NZ31",0,0,0,0,1,0,0,"n"
"NZ41",0,0,0,0,1,0,0,"n"
"NZ42",0,0,0,0,1,0,0,"n"
"NZ43",0,0,0,0,1,0,0,"n"
"NZ51",0,0,0,0,1,0,0,"n"
"NZ52",0,0,0,0,1,0,0,
"NZ53",0,0,0,0,1,0,0,
"SD42",0,0,1,0,0,0,0,"n"
"SD56",0,0,0,0,0,1,0,
"SD62",0,0,0,1,0,0,0,"n"
"SD98",0,0,0,0,0,0,1,
"SE30",0,0,0,0,0,0,1,
"SE31",0,0,0,0,0,1,0,
"SE50",0,0,0,0,0,1,0,
"SE61",0,0,0,0,0,1,0,
"SJ04",0,0,0,0,0,1,0,"n"
"SJ64",0,0,0,0,0,0,1,"n"
"SJ68",0,0,0,0,0,0,1,
"SJ84",0,0,0,0,0,0,1,
"SJ85",0,0,0,0,0,0,1,"n"
"SK15",1,0,0,0,0,0,0,"n"
"SK45",0,0,0,0,1,1,0,"n"
"SK52",0,0,1,0,1,1,1,"n"
"SK63",0,0,0,1,1,0,1,"n"
"SK64",0,0,0,0,0,1,0,
"SK66",0,0,0,1,0,0,1,"n"
"SK69",0,0,1,0,0,0,0,
"SK96",0,0,0,1,0,0,0,"n"
"SK97",0,0,0,0,1,0,0,
"SN74",0,0,0,1,0,1,0,"n"
"SN81",0,0,0,0,0,1,1,
"SO02",0,0,0,0,1,0,0,
"SO12",0,0,0,1,0,0,0,"n"
"SO20",0,0,0,0,0,0,1,"n"
"SO22",0,0,0,0,0,0,1,
"SP63",0,0,0,1,0,0,0,
"SP82",0,0,0,1,0,0,0,"n"
"SS44",0,0,0,1,0,0,0,"n"
"SS61",0,0,0,1,0,0,0,"n"
"SS83",1,0,0,0,0,0,0,
"SS84",0,0,0,0,0,1,0,
"SS94",1,0,0,0,0,0,0,"n"
"SS98",0,0,0,0,0,0,1,"n"
"ST08",0,0,0,0,0,0,1,"n"
"ST18",0,0,0,1,0,0,0,"n"
"ST19",0,0,0,1,0,0,0,
"ST95",0,1,0,0,0,0,0,
"ST96",0,0,0,0,0,0,1,"n"
"SU01",0,1,0,0,0,0,0,
"SU09",0,1,0,0,0,0,0,
"SU10",0,0,0,0,0,0,1,"n"
"SU20",0,1,0,0,0,0,1,"n"
"SU30",0,1,0,0,0,0,0,"n"
"SU31",0,0,0,1,0,0,0,
"SU40",0,0,0,0,0,0,1,"n"
"SU51",0,1,0,0,0,0,0,"n"
"SU55",0,0,1,0,0,0,0,"n"
"SU61",0,1,0,0,0,0,0,"n"
"SU73",0,0,0,0,0,1,0,
"SU74",0,0,0,0,0,0,1,"n"
"SU84",0,0,0,1,0,0,0,"n"
"SU93",1,0,0,0,0,0,0,"n"
"SU96",0,0,0,0,0,0,1,"n"
"SU97",0,0,0,1,0,0,0,"n"
"SU98",0,0,0,1,0,0,0,"n"
"SU99",0,0,0,1,0,0,0,"n"
"SY99",0,0,0,0,0,0,1,"n"
"SZ19",0,1,0,0,0,0,1,
"SZ29",0,0,0,0,0,1,1,"n"
"SZ39",0,0,0,1,0,0,1,"n"
"SZ59",0,1,0,0,0,0,0,
"SZ79",0,0,0,1,0,0,0,
"TF38",1,0,0,0,0,0,0,
"TF41",0,0,0,0,1,0,0,
"TF62",0,0,0,1,1,1,0,"n"
"TL30",0,0,0,0,1,0,0,"n"
"TL52",0,0,0,0,0,1,0,
"TL99",0,0,0,1,0,0,0,
"TQ07",0,0,1,0,0,0,1,"n"
"TQ09",0,0,1,0,0,0,0,"n"
"TQ16",0,0,1,0,0,0,0,"n"
"TQ17",0,0,1,0,0,0,0,"n"
"TQ18",0,0,1,0,0,0,0,"n"
"TQ19",0,0,1,0,0,0,1,"n"
"TQ26",0,0,1,0,0,0,0,"n"
"TQ27",0,0,1,0,0,0,0,"n"
"TQ29",0,0,1,0,0,0,0,"n"
"TQ39",0,0,0,0,1,0,1,"n"
"TQ45",0,0,1,0,0,0,0,
"TQ48",0,0,0,0,0,0,1,
"TQ49",0,0,0,0,0,0,1,"n"
"TQ59",0,0,0,0,0,1,1,"n"
"TQ83",0,0,0,0,0,0,1,
