"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"SC37",1,0,0,0,0,0,0,"a"
"SS84",0,0,0,1,1,0,0,"a"
"ST55",0,0,0,0,0,0,1,
"SV91",0,0,0,0,0,1,0,
"SW32",0,0,0,0,0,0,1,
"SW53",1,0,1,1,0,0,0,"a"
"SW61",0,0,0,1,0,0,0,
"SW63",0,0,0,0,1,0,0,"a"
"SW73",0,0,0,0,0,0,1,
"SW75",1,0,0,1,0,0,0,"a"
"SW85",0,0,0,0,0,0,1,
"SW87",0,1,0,0,0,0,0,"a"
"SX35",0,0,0,0,1,0,0,"a"
"SY67",0,0,0,0,1,0,0,"a"
"SZ38",0,0,0,0,1,0,0,"a"
"SZ47",0,0,0,0,1,0,0,"a"
"SZ57",0,0,0,0,0,0,1,
"WA50",0,1,0,0,1,0,0,"a"
"WA60",0,0,0,0,0,1,1,
"WV27",0,0,0,0,1,0,0,"a"
"WV38",0,0,0,0,1,0,0,"a"
"WV64",0,0,1,1,0,0,0,"a"
