"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"N10",0,0,0,0,0,0,1,
"N92",0,0,0,0,0,0,1,
"NS02",0,0,0,0,1,0,0,"a"
"O12",0,0,0,0,0,0,1,
"O13",0,0,0,0,1,1,0,
"O22",0,0,0,0,1,1,0,
"O23",0,0,0,0,0,0,1,
"SC26",0,0,0,0,1,1,0,"a"
"SJ37",0,0,0,0,0,1,0,
"SJ80",0,0,0,0,0,1,0,
"SS84",0,0,0,0,1,0,0,"a"
"ST04",0,0,0,0,1,0,0,
"ST57",0,0,0,0,0,0,1,
"SU60",0,0,0,0,0,1,0,
"SV81",1,0,1,0,1,1,1,"a"
"SV90",0,0,0,0,0,1,0,
"SV91",0,0,0,0,1,1,1,"a"
"SW42",0,0,0,0,0,0,1,
"SW43",0,0,0,1,0,1,0,
"SW53",1,0,0,0,0,0,0,"a"
"SW54",0,0,1,1,0,0,1,"a"
"SW73",1,0,0,0,0,0,0,"a"
"SW74",0,0,0,1,0,0,0,
"SW75",0,0,0,1,0,0,0,"a"
"SW83",1,0,1,0,0,0,1,"a"
"SW84",0,0,0,0,0,1,0,
"SW95",0,0,0,0,0,0,1,
"SY07",0,0,0,0,1,0,0,"a"
"SZ38",0,0,0,0,0,0,1,
"SZ58",0,0,0,0,1,0,1,
"SZ68",0,0,0,0,1,0,1,"a"
"SZ69",0,0,0,0,1,1,1,"a"
"T01",0,0,0,0,0,0,1,
"TL02",0,0,0,1,0,0,0,"a"
"TM33",0,0,0,0,1,1,0,"a"
"TQ16",0,0,0,0,0,0,1,
"TQ20",0,0,0,0,0,1,0,
"TQ26",0,0,0,0,0,0,1,
"TQ27",0,0,0,1,0,1,1,"a"
"TQ28",0,0,0,0,0,1,0,
"TQ30",0,0,0,0,0,1,1,
"TQ37",0,0,0,0,0,0,1,
"TQ38",0,0,0,0,0,1,1,
"TQ40",0,0,0,0,0,0,1,
"TQ43",0,0,0,0,0,0,1,
"TQ48",0,0,0,0,0,0,1,
"TQ76",0,0,0,0,0,0,1,
"TQ82",1,0,0,0,0,0,0,"a"
"TQ98",0,0,0,0,0,0,1,
"TV69",0,0,0,0,1,0,0,"a"
"WV27",0,0,0,1,1,1,0,"a"
"WV37",0,0,0,0,1,1,1,"a"
"WV38",0,0,0,1,1,1,1,"a"
"WV47",0,0,0,0,1,1,0,"a"
"WV54",0,0,1,0,1,0,1,"a"
"WV55",0,0,0,0,1,1,0,"a"
"WV64",0,0,1,0,1,0,1,"a"
"WV65",1,0,1,0,0,0,1,"a"
"WV74",0,0,0,0,0,0,1,
"WV75",0,0,0,0,1,0,1,"a"
