"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"HP50",0,0,0,0,0,0,1,
"HU33",0,0,0,0,0,0,1,
"NC40",0,0,0,0,0,0,1,
"NC50",0,0,0,0,0,0,1,
"NC90",0,0,0,0,0,0,1,
"ND01",0,0,0,0,0,0,1,
"NG85",0,0,0,0,0,0,1,
"NG87",0,0,0,0,0,0,1,
"NH59",0,0,0,0,0,0,1,
"NH69",0,0,0,0,0,0,1,
"NH78",0,0,0,0,0,0,1,
"NH89",0,0,0,0,0,0,1,
"NJ36",0,0,0,0,0,1,1,
"NN07",0,0,0,0,0,0,1,
"NN95",0,0,0,0,0,0,1,
"NS06",0,0,0,0,0,1,1,
"NS65",0,0,0,0,0,0,1,
"NS66",0,0,0,0,1,0,0,
"NS76",0,0,0,0,0,0,1,
"NT03",0,0,0,0,0,0,1,
"NT26",0,0,0,0,0,0,1,
"NT27",0,0,0,0,0,0,1,
"NT37",0,0,0,0,0,0,1,
"NU03",0,0,0,0,0,0,1,
"NU22",0,0,0,0,0,0,1,
"NX65",0,0,0,0,0,0,1,
"NX74",0,0,0,0,0,0,1,
"NX76",0,0,0,0,0,0,1,
"NX97",0,0,0,0,0,0,1,
"NY60",0,0,0,0,0,0,1,
"NZ25",0,0,0,0,0,0,1,
"NZ26",0,0,0,0,0,0,1,
"NZ41",0,0,0,0,0,0,1,
"NZ70",0,0,0,0,0,1,0,
"NZ71",0,0,0,0,0,0,1,
"S71",0,0,0,0,0,0,1,
"S83",0,0,0,0,0,0,1,
"SC26",0,0,0,0,0,1,0,
"SC27",0,0,0,0,1,0,0,"a"
"SC28",0,0,0,0,1,0,0,"a"
"SC37",0,0,0,0,1,0,0,"a"
"SC39",0,0,0,0,1,1,0,"a"
"SC47",0,0,0,0,1,0,0,"a"
"SD84",0,0,0,0,0,0,1,
"SD85",0,0,0,0,0,0,1,
"SD95",0,0,0,0,0,0,1,
"SE13",0,0,0,0,0,0,1,
"SE24",0,0,0,0,0,0,1,
"SE57",0,0,0,0,0,0,1,
"SE68",0,0,0,0,0,1,0,
"SE76",0,0,0,0,0,0,1,
"SH70",0,0,0,0,0,0,1,
"SH75",0,0,0,0,0,0,1,
"SH77",0,0,0,0,0,0,1,
"SH98",0,0,0,0,0,0,1,
"SJ32",0,0,0,0,0,1,0,
"SJ41",0,0,0,0,0,1,0,
"SJ66",0,0,0,0,0,0,1,
"SJ85",0,0,0,0,0,0,1,
"SJ90",0,0,0,0,0,0,1,
"SK08",0,0,0,0,0,0,1,
"SK26",0,0,0,0,0,0,1,
"SK41",0,0,0,0,0,0,1,
"SK50",0,0,0,0,0,0,1,
"SK51",0,0,0,0,0,0,1,
"SK53",0,0,0,0,0,1,0,
"SK81",0,0,0,0,0,0,1,
"SM91",0,0,0,0,0,1,0,
"SO72",0,0,0,0,0,0,1,
"SO81",0,0,0,0,0,1,1,
"SO95",0,0,0,0,0,0,1,
"SO98",0,0,0,0,0,0,1,
"SP05",0,0,0,0,0,0,1,
"SP09",0,0,0,0,0,0,1,
"SP18",0,0,0,0,1,0,0,"a"
"SP26",0,0,0,0,0,0,1,
"SP27",0,0,0,0,0,0,1,
"SP39",0,0,0,0,0,0,1,
"SP40",0,0,0,0,0,0,1,
"SP43",0,0,0,0,0,0,1,
"SP59",0,0,0,0,0,0,1,
"SP69",0,0,0,0,0,0,1,
"SP89",0,0,0,0,0,0,1,
"ST62",0,0,0,0,0,0,1,
"ST64",0,0,0,0,0,0,1,
"SU11",0,0,0,0,0,0,1,
"SU32",0,0,0,0,0,0,1,
"SU38",0,0,0,0,1,0,1,"a"
"SU39",0,0,0,0,0,0,1,
"SU46",0,0,0,0,0,0,1,
"SU49",0,0,0,0,0,0,1,
"SU51",0,0,0,0,0,0,1,
"SU56",0,0,0,0,0,0,1,
"SU58",0,0,0,0,0,0,1,
"SU59",0,0,0,0,0,0,1,
"SU67",0,0,0,0,0,0,1,
"SU76",0,0,0,0,1,0,1,
"SU77",0,0,0,0,1,0,1,"a"
"SU86",0,0,0,0,1,0,1,"a"
"SU87",0,0,0,0,1,0,1,"a"
"SU88",0,0,0,0,1,0,0,"a"
"SU89",0,0,0,0,0,0,1,
"SU95",0,0,0,0,0,0,1,
"SU96",0,0,0,0,0,0,1,
"SU97",0,0,0,0,1,0,1,"a"
"SU98",0,0,0,0,1,0,0,
"SW53",0,0,0,0,0,0,1,
"SW75",0,0,0,0,0,1,0,
"SW76",0,0,0,0,0,1,0,
"SW95",0,0,0,0,0,0,1,
"SX05",0,0,0,0,0,0,1,
"SX06",0,0,0,0,0,0,1,
"SX07",0,0,0,0,0,1,0,
"SX25",0,0,0,0,0,1,0,
"SX26",0,0,0,0,0,0,1,
"SX28",0,0,0,0,0,0,1,
"SX29",0,0,0,0,0,0,1,
"SX36",0,0,0,0,0,0,1,
"SX37",0,0,0,0,0,0,1,
"SX45",0,0,0,0,0,0,1,
"SY39",0,0,0,0,1,0,0,"a"
"SY59",0,0,0,0,1,0,0,"a"
"SZ08",0,0,0,0,0,0,1,
"T11",0,0,0,0,0,0,1,
"TF16",0,0,0,0,0,0,1,
"TG10",0,0,0,0,0,0,1,
"TL00",0,0,0,0,0,0,1,
"TL10",0,0,0,0,0,1,1,
"TL20",0,0,0,0,0,1,0,
"TL30",0,0,0,0,0,0,1,
"TL31",0,0,0,0,0,0,1,
"TL40",0,0,0,0,0,0,1,
"TL45",0,0,0,0,0,0,1,
"TQ05",0,0,0,0,1,0,0,
"TQ06",0,0,0,0,0,1,1,
"TQ07",0,0,0,0,0,1,1,
"TQ08",0,0,0,0,0,1,1,
"TQ09",0,0,0,0,0,1,1,
"TQ15",0,0,0,0,0,0,1,
"TQ16",0,0,0,0,0,0,1,
"TQ17",0,0,0,0,0,0,1,
"TQ18",0,0,0,0,0,1,1,
"TQ19",0,0,0,0,0,0,1,
"TQ25",0,0,0,0,0,1,1,
"TQ26",0,0,0,0,0,0,1,
"TQ27",0,0,0,0,0,0,1,
"TQ28",0,0,0,0,0,0,1,
"TQ29",0,0,0,0,0,0,1,
"TQ35",0,0,0,0,0,0,1,
"TQ36",0,0,0,0,0,0,1,
"TQ37",0,0,0,0,0,0,1,
"TQ38",0,0,0,0,0,0,1,
"TQ39",0,0,0,0,0,0,1,
"TQ45",0,0,0,0,0,0,1,
"TQ46",0,0,0,0,0,0,1,
"TQ47",0,0,0,0,0,0,1,
"TQ48",0,0,0,0,0,0,1,
"TQ49",0,0,0,0,0,0,1,
"TQ55",0,0,0,0,0,0,1,
"TQ56",0,0,0,0,0,0,1,
"TQ57",0,0,0,0,0,1,1,
"TQ58",0,0,0,0,0,0,1,
"TQ59",0,0,0,0,0,0,1,
"TQ60",0,0,0,0,0,0,1,
"TQ66",0,0,0,0,0,0,1,
"TQ67",0,0,0,0,0,0,1,
"TQ68",0,0,0,0,0,0,1,
"TR01",0,0,0,0,0,0,1,
"TV69",0,0,0,0,0,0,1,
