"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"M96",0,0,0,0,1,0,0,"a"
"NS33",0,0,0,0,1,0,0,"a"
"NX40",0,0,0,0,1,0,0,"a"
"NY14",0,0,0,0,1,0,0,"a"
"NZ80",0,0,0,0,0,1,0,
"SD32",1,0,1,0,0,0,0,"a"
"SD46",0,0,0,0,0,0,1,
"SJ28",0,0,0,0,0,1,0,
"SJ72",0,0,0,0,0,1,0,
"SJ84",0,0,0,0,0,0,1,
"SJ85",0,0,0,0,0,0,1,
"SJ95",0,0,0,0,0,1,0,
"SK00",0,0,0,0,0,1,0,
"SK03",0,0,0,0,0,1,0,
"SK52",0,0,0,0,0,1,0,
"SK53",0,0,0,0,0,1,0,
"SK54",0,0,0,0,0,0,1,
"SK60",0,0,0,0,1,0,0,"a"
"SK62",0,0,0,0,0,1,0,
"SK63",0,0,0,0,0,1,0,
"SK66",0,0,0,0,0,1,1,
"SK77",0,0,0,0,0,1,0,
"SK85",0,0,1,1,0,1,0,
"SN50",0,0,0,0,0,1,0,
"SN70",0,0,0,0,0,0,1,
"SO74",0,0,0,0,0,0,1,
"SO84",0,0,0,0,1,1,0,"a"
"SO85",0,0,0,0,1,0,0,"a"
"SO97",0,0,0,0,0,1,0,
"SP05",0,0,0,0,0,1,0,
"SP25",0,0,0,1,0,0,0,"a"
"SP40",0,0,0,1,0,0,0,"a"
"SP50",0,0,1,1,0,0,0,"a"
"SP51",0,0,0,1,0,0,0,"a"
"SP66",0,0,0,0,0,0,1,
"SS49",0,0,0,0,1,0,0,"a"
"SS53",0,0,0,0,1,1,0,"a"
"SS68",0,0,0,0,0,0,1,
"SS94",0,0,0,0,0,1,0,
"ST30",0,0,0,0,0,0,1,
"ST35",0,0,0,0,1,0,0,"a"
"ST44",0,0,0,0,0,1,0,
"ST47",0,0,0,0,0,0,1,
"ST57",0,1,0,0,0,0,0,"a"
"ST61",1,0,1,0,1,0,0,"a"
"ST63",0,0,0,0,1,0,0,"a"
"ST74",0,0,0,0,0,1,0,
"ST77",0,0,0,1,0,0,0,"a"
"ST80",0,0,0,0,1,0,1,"a"
"ST81",0,0,0,0,1,0,0,"a"
"ST84",0,0,0,0,1,0,0,"a"
"SU11",0,0,0,0,0,0,1,
"SU42",0,0,0,0,0,1,0,
"SU60",0,0,0,0,0,0,1,
"SU62",0,0,0,0,1,0,0,"a"
"SU66",0,0,1,0,0,0,0,"a"
"SU71",0,0,0,0,0,0,1,
"SU76",0,0,1,0,1,0,0,"a"
"SU77",0,0,0,0,1,0,0,"a"
"SU84",0,0,0,0,0,0,1,
"SU86",0,0,0,0,1,0,0,"a"
"SU87",0,0,0,0,1,0,1,"a"
"SU88",0,0,0,0,0,1,1,
"SU89",0,0,0,0,0,1,0,
"SU94",0,0,0,0,1,0,0,"a"
"SU96",0,0,0,0,1,0,0,"a"
"SU97",0,0,0,0,1,0,1,"a"
