"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C23",0,0,0,0,1,0,0,
"G57",1,0,0,0,0,0,0,"n"
"G73",0,0,0,0,1,0,0,
"HY20",0,0,1,1,0,1,1,
"HY32",0,0,0,0,0,1,1,
"HY33",0,0,1,1,1,1,0,"n"
"HY40",1,0,0,0,0,0,0,
"J22",1,0,1,1,0,0,0,"n"
"J32",1,0,0,0,0,0,0,"n"
"L86",0,0,1,1,0,0,1,
"NB00",0,0,0,0,0,1,1,
"NB10",0,0,1,0,0,0,1,"n"
"NB11",0,0,0,0,1,0,1,"n"
"NB13",0,0,0,0,0,0,1,
"NB24",0,1,0,0,0,0,0,"n"
"NC11",0,0,1,0,0,0,0,"n"
"NC12",0,0,0,0,0,1,0,
"NC13",0,0,0,0,0,1,0,
"NC21",0,0,1,0,0,0,0,"n"
"NC22",0,0,0,0,0,1,0,
"NC25",0,1,0,0,0,0,0,"n"
"NC26",0,0,1,0,0,0,0,"n"
"NC27",0,0,1,0,0,0,0,"n"
"NC31",0,0,0,0,1,0,0,"n"
"NC32",1,0,0,0,0,0,0,"n"
"NC33",0,0,1,1,0,0,0,"n"
"NC35",0,0,0,0,1,0,0,"n"
"NC42",1,0,0,0,0,0,0,"n"
"NC43",0,0,0,0,1,0,0,"n"
"NC44",1,0,0,0,1,0,0,"n"
"NC96",0,0,1,1,0,0,0,"n"
"ND13",0,0,0,0,1,0,0,"n"
"ND34",0,0,0,1,0,0,0,"n"
"NG14",0,0,0,0,0,1,1,
"NG15",0,0,0,0,0,0,1,
"NG25",0,0,0,0,0,0,1,
"NG32",0,0,0,0,0,0,1,
"NG33",0,0,0,0,0,0,1,
"NG35",0,0,0,0,0,0,1,
"NG42",0,1,1,1,1,1,1,"n"
"NG45",0,0,0,0,0,1,1,
"NG46",0,0,1,1,0,0,1,"n"
"NG47",0,0,0,0,0,0,1,
"NG51",0,0,0,1,0,1,0,"n"
"NG52",0,0,1,1,0,1,0,"n"
"NG53",0,0,0,1,1,0,0,
"NG54",0,0,0,1,1,1,0,"n"
"NG62",0,0,1,1,1,1,0,"n"
"NG70",0,0,0,0,1,0,1,"n"
"NG71",0,0,1,1,1,0,0,"n"
"NG72",0,0,0,1,1,0,0,"n"
"NG74",0,0,1,0,1,0,0,"n"
"NG81",0,0,1,1,0,0,1,"n"
"NG82",0,0,0,0,1,0,0,"n"
"NG84",0,0,0,0,0,0,1,
"NG90",1,0,1,0,0,0,1,"n"
"NG93",0,0,0,0,0,0,1,
"NG97",0,0,0,0,1,0,0,"n"
"NG98",0,0,0,0,0,1,0,
"NH00",0,0,0,0,0,0,1,
"NH01",0,0,0,1,0,1,0,"n"
"NH02",0,0,0,1,1,0,1,"n"
"NH04",0,0,0,0,0,0,1,
"NH05",0,0,0,0,0,0,1,
"NH06",0,0,0,0,1,1,1,"n"
"NH07",0,0,0,0,1,0,0,"n"
"NH08",0,0,0,0,1,0,0,"n"
"NH10",0,0,0,0,0,0,1,
"NH11",0,0,1,1,1,0,1,"n"
"NH14",0,0,0,0,1,0,0,"n"
"NH16",1,0,0,0,0,0,1,"n"
"NH17",0,0,0,0,1,0,1,"n"
"NH19",0,0,0,0,0,0,1,
"NH25",0,0,0,0,1,0,0,"n"
"NH26",0,0,0,0,1,0,0,"n"
"NH27",1,0,1,0,1,0,0,"n"
"NH28",0,0,1,0,1,0,0,"n"
"NH29",0,0,0,0,0,1,0,
"NH40",0,0,1,0,0,0,0,"n"
"NH41",0,0,1,1,0,0,0,"n"
"NH52",0,0,0,0,0,0,1,
"NH60",0,0,1,1,0,0,0,"n"
"NH79",0,0,1,0,0,0,0,"n"
"NH81",0,0,0,0,1,0,0,"n"
"NJ10",0,0,0,1,0,0,0,"n"
"NL69",0,0,0,0,0,1,0,
"NM21",1,0,1,0,0,0,1,"n"
"NM22",1,0,1,0,0,0,1,"n"
"NM32",1,0,1,0,0,0,0,"n"
"NM34",1,0,1,0,0,0,1,"n"
"NM35",1,0,1,0,0,1,0,"n"
"NM39",1,0,1,1,1,1,0,"n"
"NM42",1,0,1,0,0,1,0,"n"
"NM43",1,0,1,0,0,1,0,"n"
"NM44",1,0,1,0,0,1,1,"n"
"NM45",1,0,1,0,0,1,1,"n"
"NM46",0,0,0,0,0,0,1,
"NM47",0,0,0,0,0,1,0,
"NM48",0,0,0,0,0,1,0,
"NM49",0,0,0,0,0,1,0,
"NM52",0,0,0,0,0,1,1,
"NM53",0,0,1,0,1,1,1,"n"
"NM54",0,0,1,0,1,1,0,"n"
"NM55",1,0,1,0,0,0,0,"n"
"NM56",0,0,1,1,1,1,1,"n"
"NM60",0,0,0,0,1,0,0,"n"
"NM62",1,0,1,0,0,1,1,"n"
"NM63",1,0,1,0,0,0,1,"n"
"NM65",0,0,1,0,0,0,0,"n"
"NM66",0,0,0,0,0,1,0,
"NM67",1,0,0,1,0,0,0,"n"
"NM73",0,0,0,0,0,1,0,
"NM75",0,0,1,0,1,0,0,"n"
"NM77",1,0,0,0,0,0,0,"n"
"NM78",0,0,1,0,0,0,0,"n"
"NM80",0,0,1,0,1,0,0,"n"
"NM81",0,0,1,0,1,0,0,"n"
"NM85",0,0,1,0,0,0,1,"n"
"NM86",0,0,0,0,1,0,1,"n"
"NM87",0,0,1,0,0,0,0,"n"
"NM89",0,0,0,0,1,0,0,"n"
"NM90",0,0,1,0,1,0,0,"n"
"NM92",0,0,0,0,1,0,0,"n"
"NM95",0,0,1,0,0,0,0,"n"
"NM96",0,0,1,0,1,0,1,"n"
"NM98",0,0,0,1,0,0,0,"n"
"NN00",0,0,1,0,1,0,0,"n"
"NN01",0,0,0,0,1,0,0,"n"
"NN02",0,0,0,0,1,0,0,"n"
"NN03",0,0,0,0,1,0,0,"n"
"NN04",1,0,1,0,1,0,0,"n"
"NN06",0,0,0,0,1,0,0,"n"
"NN07",1,0,0,0,0,0,0,"n"
"NN08",1,0,1,0,0,0,0,"n"
"NN11",1,0,1,0,0,0,0,"n"
"NN12",0,0,0,0,1,0,0,"n"
"NN13",0,0,0,0,1,0,0,"n"
"NN14",1,0,1,0,0,0,0,"n"
"NN15",1,0,0,0,0,0,1,"n"
"NN16",0,0,0,0,1,1,0,"n"
"NN17",0,0,1,1,0,1,1,"n"
"NN18",0,0,0,1,0,0,0,"n"
"NN20",1,0,1,0,1,0,0,"n"
"NN21",0,0,1,1,1,0,0,"n"
"NN22",0,0,1,0,1,1,1,"n"
"NN23",0,0,1,1,1,0,0,"n"
