"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B90",0,0,0,0,0,0,1,
"B92",0,0,1,0,1,0,1,"n"
"C02",0,0,0,0,1,0,0,"n"
"C10",0,0,1,0,1,0,1,"n"
"C12",0,0,0,0,0,1,0,
"C20",0,0,0,0,0,0,1,
"C21",0,0,0,0,0,0,1,
"C22",1,0,0,0,0,1,0,"n"
"C23",1,0,0,0,0,0,0,"n"
"C24",1,0,0,0,0,0,0,"n"
"C30",1,0,0,0,1,1,0,"n"
"C32",0,0,0,0,1,0,0,"n"
"C40",0,0,1,0,1,1,1,"n"
"C41",0,0,0,1,1,1,1,"n"
"C50",1,0,0,1,0,1,1,"n"
"C51",1,0,0,1,1,1,1,"n"
"C54",0,0,0,0,1,0,0,"n"
"C60",1,0,0,1,1,1,1,"n"
"C61",0,0,0,1,1,1,1,"n"
"C62",1,0,0,1,1,1,1,"n"
"C63",0,0,0,0,0,1,0,
"C70",0,0,0,1,1,1,1,"n"
"C71",0,0,0,1,1,0,1,"n"
"C72",0,0,0,0,1,1,1,"n"
"C73",0,0,0,0,1,1,0,"n"
"C80",0,0,0,1,1,1,1,"n"
"C81",0,0,0,1,1,1,1,"n"
"C82",0,0,1,0,1,1,1,"n"
"C83",0,0,0,1,0,1,0,"n"
"C90",0,0,0,0,0,0,1,
"C91",1,0,0,1,1,1,1,"n"
"C92",0,0,0,0,1,1,0,"n"
"C93",0,0,0,0,1,0,0,"n"
"D00",0,0,0,1,1,1,1,"n"
"D01",1,0,0,1,0,1,1,"n"
"D02",0,0,0,0,1,1,1,"n"
"D03",0,0,0,1,1,0,1,"n"
"D04",0,0,0,0,1,0,0,"n"
"D10",0,0,0,0,1,1,1,"n"
"D11",1,0,1,0,1,1,1,"n"
"D12",1,0,0,1,1,0,0,"n"
"D13",1,0,0,1,1,0,0,"n"
"D14",1,0,0,0,1,0,1,"n"
"D15",1,0,1,0,0,0,0,"n"
"D20",0,0,0,0,1,1,1,"n"
"D21",1,0,0,1,1,1,1,"n"
"D22",1,0,0,1,1,1,1,"n"
"D23",0,0,0,1,0,1,1,"n"
"D24",0,0,0,0,0,0,1,
"D30",1,0,0,1,1,1,1,"n"
"D31",1,0,0,1,1,1,1,"n"
"D40",0,0,0,0,1,0,0,"n"
"F92",0,0,0,0,0,0,1,
"G10",0,0,1,0,0,0,0,"n"
"G12",0,0,0,0,1,0,1,"n"
"G13",0,0,1,0,0,0,0,"n"
"G14",0,0,0,0,1,0,0,"n"
"G22",0,0,0,0,1,0,0,"n"
"G30",0,0,1,0,1,0,0,"n"
"G31",0,0,0,0,1,0,1,"n"
"G32",0,0,0,0,1,0,0,"n"
"G33",0,0,1,0,1,0,1,"n"
"G40",0,0,0,0,0,0,1,
"G41",0,0,0,0,1,0,1,"n"
"G43",0,0,0,0,1,0,1,"n"
"G50",0,0,0,0,1,0,1,"n"
"G51",0,0,0,0,1,0,1,"n"
"G52",1,0,0,1,1,1,1,"n"
"G53",0,0,0,0,0,0,1,
"G60",0,0,1,0,0,0,1,"n"
"G61",0,0,0,0,1,1,0,"n"
"G62",0,0,0,0,1,1,1,"n"
"G63",1,0,1,0,0,0,0,"n"
"G64",0,0,0,0,1,0,1,"n"
"G70",0,0,0,0,1,0,1,"n"
"G71",0,0,1,0,1,1,0,"n"
"G72",0,0,0,0,0,1,1,
"G73",1,0,0,0,0,1,1,
"G74",1,0,0,0,1,1,0,"n"
"G77",1,0,0,0,0,0,0,"n"
"G78",0,0,0,0,1,1,0,"n"
"G81",0,0,0,0,0,0,1,
"G82",0,0,0,0,1,1,1,"n"
"G84",1,1,0,0,0,1,0,"n"
"G85",0,0,0,0,0,0,1,
