"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"G73",0,0,1,1,1,1,1,"n"
"G83",1,1,1,0,1,1,1,"n"
"G95",0,0,0,0,1,0,0,"n"
"NC22",0,0,1,1,1,1,1,"n"
"NH19",0,1,1,0,1,1,1,"n"
"NO27",0,0,0,0,0,1,0,"n"
"NT27",1,0,0,1,0,0,0,"a"
"NT85",0,0,0,1,1,0,1,"n"
"NT95",0,0,0,0,1,1,0,"n"
"NY61",0,0,0,1,1,1,1,"n"
"NY82",1,0,1,0,0,0,0,"n"
"SD67",1,0,0,1,1,0,1,"n"
"SD68",0,0,1,1,1,0,0,"n"
"SD76",0,1,1,0,1,0,1,"n"
"SD77",0,1,1,1,1,1,1,"n"
"SD78",0,1,0,0,1,0,1,"n"
"SD86",0,0,1,1,1,0,1,"n"
"SD87",0,1,0,1,1,0,1,"n"
"SD88",0,1,1,0,1,1,1,"n"
"SD96",0,1,1,0,1,1,1,"n"
"SD97",0,1,0,0,1,1,1,"n"
"SD98",1,1,1,1,1,1,1,"n"
"SD99",1,0,1,0,0,0,0,"n"
"SE09",1,0,1,1,0,0,1,"n"
"SE16",0,0,0,0,0,1,0,"n"
"SE19",0,0,1,0,0,0,0,"n"
"SE24",0,0,0,0,0,0,1,
"SE25",0,0,0,0,0,1,1,"a"
"SE98",1,0,0,0,0,0,0,"a"
"SU93",1,0,0,0,0,0,0,"a"
