"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"G64",0,0,0,0,0,1,0,
"G95",0,0,0,0,0,1,0,
"H96",0,0,0,0,0,0,1,
"HP60",0,0,0,0,1,0,0,"a"
"HU31",0,0,0,1,0,0,0,"a"
"HU43",1,0,0,0,0,0,0,"a"
"HY31",0,0,1,0,0,0,0,"a"
"HY41",0,0,0,0,1,0,0,"a"
"HY43",0,0,0,0,1,0,0,"a"
"HY50",1,0,0,0,1,0,0,"a"
"J08",0,0,0,0,0,0,1,
"J33",0,1,0,0,0,0,0,"a"
"J37",1,1,0,0,0,0,1,"a"
"J43",1,0,0,0,0,0,0,
"J48",0,0,0,0,0,0,1,
"J57",0,1,0,0,0,0,0,"a"
"M41",1,0,0,0,0,0,0,"a"
"N26",0,0,0,0,0,0,1,
"N92",1,0,0,0,0,0,0,"a"
"N93",1,1,0,0,0,0,0,"a"
"NB43",0,0,0,0,0,1,0,
"ND01",0,0,0,1,0,0,0,"a"
"ND48",0,0,0,0,1,0,0,"a"
"NH18",0,0,1,0,0,0,0,"a"
"NH42",0,0,0,1,0,0,0,"a"
"NH45",0,0,1,0,0,0,0,"a"
"NH55",0,0,1,0,0,0,0,"a"
"NH59",0,0,0,0,0,0,1,"a"
"NH64",0,0,1,1,0,0,0,"a"
"NH66",0,0,1,0,0,0,1,"a"
"NH67",0,0,1,0,0,0,0,"a"
"NH75",0,0,1,0,0,0,0,"a"
"NH78",0,0,1,0,0,0,0,"a"
"NH85",0,0,1,1,0,0,1,"a"
"NH88",0,0,0,0,1,0,0,"a"
"NH94",0,0,1,0,0,0,0,"a"
"NH95",0,1,1,0,0,0,0,"a"
"NJ02",0,0,0,1,0,0,0,"a"
"NJ03",0,0,0,0,0,1,0,
"NJ05",1,1,1,1,0,1,0,"a"
"NJ06",0,0,1,0,0,0,0,"a"
"NJ14",0,0,1,0,0,0,0,"a"
"NJ15",0,0,1,0,0,0,0,"a"
"NJ16",0,0,1,0,0,0,0,"a"
"NJ24",1,0,0,0,0,0,0,"a"
"NJ25",0,0,1,0,0,0,0,"a"
"NJ26",1,1,1,0,0,0,0,"a"
"NJ32",1,0,0,0,0,0,0,"a"
"NJ33",1,0,0,0,0,0,0,"a"
"NJ36",1,1,1,0,0,1,0,"a"
"NJ45",1,0,1,1,0,0,0,"a"
"NJ46",0,0,1,0,0,0,0,"a"
"NJ51",0,0,0,0,0,0,1,
"NJ90",1,0,0,0,0,0,0,"a"
"NM35",0,0,0,0,0,0,1,
"NM54",1,0,1,0,0,0,0,"a"
"NM55",1,0,1,0,0,0,0,"a"
"NM84",0,0,0,0,1,0,0,"a"
"NM94",0,0,0,0,1,0,0,
"NN36",0,0,0,1,0,0,0,"a"
"NO01",0,0,1,0,0,0,0,"a"
"NO21",1,0,0,0,0,0,0,"a"
"NO22",0,0,1,0,0,0,0,"a"
"NO31",0,0,0,0,1,0,0,"a"
"NO35",0,0,0,0,1,0,0,"a"
"NO42",1,0,0,0,0,0,0,"a"
"NO53",0,0,1,0,0,0,0,"a"
"NO60",1,0,0,0,0,0,0,"a"
"NO66",0,0,0,0,1,0,0,"a"
"NO75",1,0,0,0,0,0,0,"a"
"NR39",1,0,0,0,0,0,0,
"NS06",0,0,0,0,0,1,0,"a"
"NS14",1,0,0,0,0,0,0,"a"
"NS24",1,0,0,0,0,0,0,"a"
"NS31",1,0,0,0,0,0,0,"a"
"NS32",1,0,0,0,0,0,0,"a"
"NS38",0,0,0,0,1,0,0,"a"
"NS47",1,0,0,1,0,0,0,"a"
"NS52",0,0,1,0,0,0,0,"a"
"NS64",1,0,0,0,0,0,0,"a"
"NS67",1,0,0,0,0,0,0,"a"
"NS91",0,0,1,0,0,0,0,"a"
"NS97",1,0,0,0,1,0,0,"a"
"NS98",0,0,0,0,0,0,1,
"NT06",0,0,0,1,0,1,0,
"NT07",1,0,0,0,0,0,0,"a"
"NT08",1,0,0,1,0,0,0,"a"
"NT17",0,0,1,0,0,1,1,"a"
"NT18",0,1,1,0,0,0,0,"a"
"NT26",1,0,0,0,0,0,0,"a"
"NT27",1,0,1,0,1,0,1,"a"
"NT28",1,0,0,0,0,0,0,"a"
"NT29",0,0,1,0,0,0,0,"a"
"NT36",0,0,1,0,0,0,0,"a"
"NT37",0,0,0,0,0,1,0,"a"
"NT41",0,0,0,1,0,0,0,"a"
"NT47",1,0,0,0,0,0,0,"a"
"NT53",1,0,1,0,0,0,0,"a"
"NT57",0,0,0,0,0,1,0,
"NT58",0,0,1,0,0,1,0,"a"
"NT63",1,0,1,0,0,1,0,"a"
"NT64",0,0,0,0,0,1,0,
"NT69",0,0,1,0,0,0,0,"a"
"NT73",1,0,1,0,0,0,0,"a"
"NT75",1,0,0,0,0,0,0,"a"
"NT76",1,0,0,0,0,0,0,"a"
"NT77",1,1,0,0,0,0,1,
"NT82",1,0,1,0,0,0,0,"a"
"NT84",0,0,1,0,0,0,0,
"NT85",1,0,0,0,0,0,0,"a"
"NT86",1,1,0,0,0,0,0,"a"
"NT93",1,0,0,0,0,0,0,"a"
"NT94",1,0,0,0,0,1,1,"a"
"NT95",1,0,0,0,0,1,0,"a"
"NU03",1,0,0,0,0,0,0,"a"
"NU04",1,0,0,0,0,0,0,"a"
"NU11",0,0,1,1,0,0,0,"a"
"NU13",1,0,0,0,0,0,0,"a"
"NU21",0,0,0,1,0,0,0,"a"
"NX30",0,0,0,1,0,0,0,"a"
"NX64",1,0,0,0,0,0,0,"a"
"NX74",0,0,0,0,0,0,1,
"NY01",1,0,0,0,0,0,0,"a"
"NY02",0,0,1,0,0,0,0,"a"
"NY14",0,0,0,1,0,0,0,"a"
"NY15",0,0,1,0,0,0,0,"a"
"NY24",1,0,0,0,0,0,0,"a"
"NY32",1,0,0,0,0,0,0,"a"
"NY45",0,0,0,0,0,0,1,
"NY46",0,0,0,0,0,1,0,
"NY62",1,0,0,0,0,0,0,"a"
"NY63",0,0,0,0,0,1,0,
"NY84",0,0,0,0,0,0,1,
"NY96",0,0,0,0,0,1,0,
"NZ00",0,0,0,0,0,1,0,
"NZ10",0,0,0,0,1,0,0,"a"
"NZ12",0,0,0,0,0,0,1,"a"
"NZ16",0,0,0,0,0,1,0,"a"
"NZ18",0,0,0,1,0,0,0,"a"
"NZ21",0,0,0,1,0,0,1,"a"
"NZ24",0,0,0,1,0,0,1,"a"
"NZ25",0,0,0,0,0,1,1,"a"
"NZ26",1,0,0,1,0,1,1,"a"
"NZ28",0,0,0,0,0,1,0,"a"
"NZ31",0,0,0,1,0,0,1,"a"
"NZ35",0,0,0,0,1,0,1,"a"
"NZ36",0,0,0,0,0,1,0,
"NZ37",0,0,0,0,1,0,1,
"NZ41",0,0,1,0,0,0,0,"a"
"NZ42",0,0,0,0,1,0,0,"a"
"NZ43",0,0,0,1,0,0,0,"a"
"NZ44",0,0,0,1,0,0,0,"a"
"NZ50",0,0,0,1,1,0,0,"a"
"NZ52",0,0,1,0,1,0,0,"a"
"NZ62",1,0,1,0,1,0,0,"a"
"O13",1,0,0,0,1,0,0,"a"
"O17",1,0,0,0,0,0,0,"a"
"O21",1,0,0,0,0,0,0,
"O23",1,0,1,0,0,0,1,"a"
"O24",1,0,0,0,1,0,0,"a"
"O25",1,0,0,0,0,0,0,
"O31",1,0,0,0,0,0,0,"a"
"Q71",0,0,0,0,0,1,0,
"R55",1,0,0,0,0,0,0,"a"
"R62",0,0,0,0,1,0,0,"a"
"R97",0,0,0,0,0,1,0,
"SC26",0,0,0,0,1,0,0,"a"
"SC28",1,1,0,1,0,0,0,"a"
"SC37",0,0,0,0,1,1,0,"a"
"SC39",0,0,0,1,0,1,0,
"SC47",1,0,0,0,0,0,0,"a"
"SC48",1,0,0,0,0,0,0,"a"
"SC49",0,0,0,0,1,0,0,"a"
"SD18",0,0,1,0,0,0,0,"a"
"SD20",0,0,0,0,0,1,0,
"SD21",1,1,0,0,0,0,0,"a"
"SD27",0,0,0,1,1,0,0,"a"
"SD31",0,1,0,0,0,1,1,
"SD32",0,0,1,0,1,1,0,"a"
"SD33",1,0,1,0,0,0,1,"a"
"SD34",0,0,0,0,0,0,1,
"SD39",0,0,0,0,0,1,0,
"SD40",0,0,0,0,0,1,1,
"SD41",1,1,0,0,0,1,1,"a"
"SD42",0,0,1,0,0,0,0,
"SD43",0,0,1,0,0,0,0,
"SD44",0,0,0,0,0,0,1,
"SD45",1,0,0,0,0,0,0,"a"
"SD47",1,0,1,1,0,0,1,"a"
"SD48",0,0,0,1,1,1,0,"a"
"SD50",0,0,0,0,0,0,1,
"SD51",0,0,0,0,0,0,1,
"SD52",0,0,0,0,0,0,1,
"SD53",0,0,0,0,0,0,1,
"SD55",0,0,0,0,0,0,1,
"SD57",0,0,0,0,1,0,0,
"SD60",0,1,1,0,0,0,1,"a"
"SD62",0,0,0,1,0,0,1,"a"
"SD64",1,0,1,0,0,0,0,"a"
"SD67",0,0,0,0,1,0,0,"a"
"SD70",1,0,0,0,1,0,0,
"SD71",1,0,0,0,0,0,1,
"SD72",1,0,1,0,1,0,1,"a"
"SD73",0,0,1,0,0,0,0,"a"
"SD75",0,0,0,0,0,0,1,
"SD80",0,0,0,0,0,1,1,
"SD82",0,0,0,0,0,0,1,
"SD83",1,0,0,0,0,0,1,"a"
"SD88",1,0,1,0,0,0,0,"a"
"SD91",0,0,0,0,0,0,1,
"SE02",1,0,0,0,0,0,1,"a"
"SE10",0,0,0,0,1,0,0,
"SE11",1,0,0,0,0,0,0,"a"
"SE13",0,0,0,1,1,1,0,"a"
"SE14",0,0,1,0,0,0,0,"a"
"SE21",1,0,0,1,1,0,0,"a"
"SE29",1,1,1,0,0,0,0,"a"
"SE32",1,0,0,0,0,0,0,"a"
"SE36",0,0,0,0,1,0,0,"a"
"SE37",0,0,1,0,0,0,1,"a"
"SE41",0,0,0,1,1,0,0,"a"
"SE44",0,0,1,0,0,0,0,"a"
"SE50",0,0,0,0,0,1,0,
"SE51",0,0,0,0,0,0,1,
"SE52",0,0,0,0,0,0,1,
"SE55",0,0,1,0,0,0,0,"a"
"SE58",1,1,1,0,0,0,0,"a"
"SE60",0,0,0,0,1,1,1,"a"
"SE63",0,0,0,0,1,0,0,"a"
"SE66",0,0,0,0,0,0,1,
"SE70",1,0,1,0,0,0,0,"a"
"SE74",0,0,0,0,1,1,0,"a"
"SE75",0,0,0,0,1,0,0,"a"
"SE76",0,0,1,0,0,0,0,"a"
"SE78",1,0,1,0,0,0,1,"a"
"SE79",1,0,0,0,0,0,0,"a"
"SE80",0,1,1,1,0,0,0,"a"
"SE81",0,0,1,1,0,0,0,"a"
"SE83",0,0,1,0,1,1,0,"a"
"SE86",0,0,1,0,0,0,0,"a"
"SE88",0,0,0,0,1,0,0,"a"
"SE90",0,0,1,0,1,0,0,"a"
"SE95",0,0,0,1,0,0,0,"a"
"SE96",1,0,1,0,0,0,0,"a"
"SH37",1,0,0,0,0,0,0,"a"
"SH44",0,0,0,0,1,0,0,"a"
"SH61",1,0,0,0,0,0,0,"a"
"SH67",0,0,0,0,1,0,0,"a"
"SH77",0,0,0,0,0,1,1,"a"
